period,field,row_count,missing_count,missing_share,diagnostic_only
ALL,monthly_revenue_yoy,171494,21186,0.12353784972068994,True
ALL,monthly_revenue_3m_yoy,171494,23269,0.13568404725529756,True
ALL,eps,171494,10338,0.06028199237291101,True
ALL,gross_margin,171494,18654,0.10877348478663977,True
ALL,operating_margin,171494,18500,0.10787549418638553,True
ALL,roe,171494,171494,1.0,True
ALL,traded_value_5d,171494,0,0.0,True
ALL,listing_status,171494,0,0.0,True
P1,monthly_revenue_yoy,119053,20753,0.17431732085709725,True
P1,monthly_revenue_3m_yoy,119053,22841,0.19185572812108892,True
P1,eps,119053,10003,0.08402140223261909,True
P1,gross_margin,119053,15883,0.13341116981512435,True
P1,operating_margin,119053,15786,0.13259640664241976,True
P1,roe,119053,119053,1.0,True
P1,traded_value_5d,119053,0,0.0,True
P1,listing_status,119053,0,0.0,True
P2,monthly_revenue_yoy,52149,429,0.008226428119427026,True
P2,monthly_revenue_3m_yoy,52149,424,0.008130549003815988,True
P2,eps,52149,331,0.006347197453450689,True
P2,gross_margin,52149,2752,0.0527718652323151,True
P2,operating_margin,52149,2696,0.051698019137471476,True
P2,roe,52149,52149,1.0,True
P2,traded_value_5d,52149,0,0.0,True
P2,listing_status,52149,0,0.0,True
2024_latest,monthly_revenue_yoy,37387,250,0.006686816273036082,True
2024_latest,monthly_revenue_3m_yoy,37387,237,0.006339101826838206,True
2024_latest,eps,37387,184,0.004921496776954556,True
2024_latest,gross_margin,37387,1931,0.0516489688929307,True
2024_latest,operating_margin,37387,1882,0.05033835290341562,True
2024_latest,roe,37387,37387,1.0,True
2024_latest,traded_value_5d,37387,0,0.0,True
2024_latest,listing_status,37387,0,0.0,True
2026YTD,monthly_revenue_yoy,7544,16,0.0021208907741251328,True
2026YTD,monthly_revenue_3m_yoy,7544,20,0.002651113467656416,True
2026YTD,eps,7544,6,0.0007953340402969247,True
2026YTD,gross_margin,7544,335,0.044406150583244965,True
2026YTD,operating_margin,7544,320,0.042417815482502653,True
2026YTD,roe,7544,7544,1.0,True
2026YTD,traded_value_5d,7544,0,0.0,True
2026YTD,listing_status,7544,0,0.0,True
