date,classification,market_stat,http_status,reason,source_url,response_sha256,silent_fill_allowed,feature_missingness_required
2017-01-04,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170104&type=ALLBUT0999&response=json,5c005745fe1df6db9c4e939bc24c8c244374b7e2e22418adb8459535fd9e01a6,False,True
2017-03-24,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170324&type=ALLBUT0999&response=json,6dec954eba2e894d75a3174996fc49b1d9bf2aea9d7afe19f4d24a988814a867,False,True
2017-03-27,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170327&type=ALLBUT0999&response=json,41d68f26c8ad35295099990552fff4d2f1342a33920a25ec6fa5adb1558f4e63,False,True
2017-03-28,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170328&type=ALLBUT0999&response=json,f711550eb30b1385e6153f93a5d91c8ddbdb24c2318f7098ca0afcb12c0e2f2a,False,True
2017-03-29,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170329&type=ALLBUT0999&response=json,6eac8e08365f081b657ff17a5c41ca786ae0f3aa68477e0b005445eb0dc28941,False,True
2017-03-30,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170330&type=ALLBUT0999&response=json,7fe1785dbecd20e449619a61000fb55f6ab87ce64fe889b4e11a0f2980ed7a4c,False,True
2017-04-06,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170406&type=ALLBUT0999&response=json,d56b6d6380bd371cb4f604b2b20a1a7c514e06b857585449b1515d1165a1b10a,False,True
2017-05-25,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170525&type=ALLBUT0999&response=json,8f75962961a75e64872da0a191f368b46ba6e4f7e0f0b2ebe79c8b5ba001c33b,False,True
2017-05-26,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170526&type=ALLBUT0999&response=json,813b325ce8301de5c67693fae3d666419cfea14238e0aa0a16e37d3be56380d2,False,True
2017-05-31,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170531&type=ALLBUT0999&response=json,44da987fb481cb55fc4451908cf67505a77b4af0ebdd43910efd78e70bf691fa,False,True
2017-06-01,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170601&type=ALLBUT0999&response=json,b1acd93a8e25bcc5d7eae0ef36ca6dbb5a5172b8479dd84e937674a0c3cd4eaa,False,True
2017-06-06,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170606&type=ALLBUT0999&response=json,40483dbb598ced3f1004312f8639587c007470094c95544c99e9fc69d58368f2,False,True
2017-07-24,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170724&type=ALLBUT0999&response=json,b0353a351676905652f0966e48510ad48963ea714cdf3aa613762fcd6a337fa9,False,True
2017-07-25,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170725&type=ALLBUT0999&response=json,1da17bb9d07ee01936e5d56ce602426701c3918a2619ec377bf62de9c8dee8f0,False,True
2017-07-26,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170726&type=ALLBUT0999&response=json,931215ace5f78aba91c8f3b324e6dbae8094291817d9a388dda3300d96d16f24,False,True
2017-07-27,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170727&type=ALLBUT0999&response=json,9f8849dfb9022682ed19f4ec90118960674272ac0802a7bc5ca5c4854255d9f0,False,True
2017-08-01,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170801&type=ALLBUT0999&response=json,fd2a91ee76475fb423abb54467e369ee1f7ded106e18cd7fde874370d207aab8,False,True
2017-09-15,market_trading_day_margin_source_gap,OK,200,OK,https://www.twse.com.tw/rwd/zh/afterTrading/MI_INDEX?date=20170915&type=ALLBUT0999&response=json,da80b42b01c9d2a9142fc77cbbea1cad74c578381951f1847ae032da2574adfb,False,True
