family,path,rows,unique_rows,gzip_integrity,utf8_roundtrip,expected_sha256,actual_sha256,checksum_match,ingest_priority
twse_three_institutional,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact_rebuilt\twse_three_institutional\TWSE_2017.csv.gz,31210,31210,pass,pass,c487b4f12fc4ba1508372dda782286899f6a93a3b33e8cfabb2ff6d89bbe9dc0,c487b4f12fc4ba1508372dda782286899f6a93a3b33e8cfabb2ff6d89bbe9dc0,True,atomic_rebuilt_only
twse_margin_short,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact_rebuilt\twse_margin_short\TWSE_2017.csv.gz,46115,46115,pass,pass,380a2b574a3fff20a2223e91068b160c9d9e07771e892609a5ab9d110f2bd210,380a2b574a3fff20a2223e91068b160c9d9e07771e892609a5ab9d110f2bd210,True,atomic_rebuilt_only
