family,date,retry_result,http_status,official_stat,reason,source_url,response_sha256,final_ingest_status,silent_fill_allowed
twse_margin_short,2016-12-20,accepted_official_response,200,OK,OK,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20161220&selectType=ALL&response=json,23c7914a771995bb4424956cb2e2ede4b683a750898c24959005d8025fb1980c,accepted_official_response,False
twse_margin_short,2017-01-02,no_rows_official_response,200,很抱歉，沒有符合條件的資料,很抱歉，沒有符合條件的資料,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20170102&selectType=ALL&response=json,1857ef3a55678c4757560d15a68c3b7823fd0023b6762656faa31acce2d13538,no_rows_official_response,False
twse_margin_short,2020-08-13,accepted_official_response,200,OK,OK,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN?date=20200813&selectType=ALL&response=json,f6a6ed012bb83ebff612fcaa7209dc778101a75ceb2591c0689e7a5c5d849e36,accepted_official_response,False
twse_three_institutional,2016-04-05,no_rows_official_response,200,很抱歉，沒有符合條件的資料!,很抱歉，沒有符合條件的資料!,https://www.twse.com.tw/rwd/zh/fund/T86?date=20160405&selectType=ALLBUT0999&response=json,b32125d0522389d773814d2be85a9d7363b2c21185aab3d55708a2a8014a18a9,no_rows_official_response,False
twse_three_institutional,2016-09-15,no_rows_official_response,200,很抱歉，沒有符合條件的資料!,很抱歉，沒有符合條件的資料!,https://www.twse.com.tw/rwd/zh/fund/T86?date=20160915&selectType=ALLBUT0999&response=json,b32125d0522389d773814d2be85a9d7363b2c21185aab3d55708a2a8014a18a9,no_rows_official_response,False
twse_three_institutional,2016-09-28,no_rows_official_response,200,很抱歉，沒有符合條件的資料!,很抱歉，沒有符合條件的資料!,https://www.twse.com.tw/rwd/zh/fund/T86?date=20160928&selectType=ALLBUT0999&response=json,b32125d0522389d773814d2be85a9d7363b2c21185aab3d55708a2a8014a18a9,no_rows_official_response,False
twse_three_institutional,2017-01-25,no_rows_official_response,200,很抱歉，沒有符合條件的資料!,很抱歉，沒有符合條件的資料!,https://www.twse.com.tw/rwd/zh/fund/T86?date=20170125&selectType=ALLBUT0999&response=json,b32125d0522389d773814d2be85a9d7363b2c21185aab3d55708a2a8014a18a9,no_rows_official_response,False
twse_three_institutional,2017-05-29,no_rows_official_response,200,很抱歉，沒有符合條件的資料!,很抱歉，沒有符合條件的資料!,https://www.twse.com.tw/rwd/zh/fund/T86?date=20170529&selectType=ALLBUT0999&response=json,b32125d0522389d773814d2be85a9d7363b2c21185aab3d55708a2a8014a18a9,no_rows_official_response,False
twse_three_institutional,2017-07-05,accepted_official_response,200,OK,OK,https://www.twse.com.tw/rwd/zh/fund/T86?date=20170705&selectType=ALLBUT0999&response=json,3c342ab9701309f3bbe52623cc69df35756c3d921172892e2744291500dee18d,accepted_official_response,False
twse_three_institutional,2019-06-06,accepted_official_response,200,OK,OK,https://www.twse.com.tw/rwd/zh/fund/T86?date=20190606&selectType=ALLBUT0999&response=json,757397c884b3802dae5bdee7ef919bda5f6238a7946f90eb1ac7e67e39e73c33,accepted_official_response,False
