period,rank_basis,top_n,avg_weekly_count,unique_ticker_count,median_active_weeks,avg_turnover_share_5d,diagnostic_only
P1,traded_value_rank_5d,200,200.0,1249,20.0,0.822267822597623,True
P1,traded_value_rank_5d,250,250.0,1383,24.0,0.8638433571990561,True
P1,traded_value_rank_5d,300,300.0,1498,29.0,0.8937486360571351,True
P1,traded_value_rank_5d,400,400.0,1668,40.0,0.9327420672131925,True
P1,traded_value_rank_20d,200,200.0,1032,28.0,0.8065924923410387,True
P1,traded_value_rank_20d,250,250.0,1165,34.0,0.850221214603122,True
P1,traded_value_rank_20d,300,300.0,1297,41.0,0.8821113112525126,True
P1,traded_value_rank_20d,400,400.0,1483,55.0,0.9243875212609046,True
P1,traded_value_rank_60d,200,200.0,872,39.5,0.7882879262683115,True
P1,traded_value_rank_60d,250,250.0,1005,46.0,0.8337025280657525,True
P1,traded_value_rank_60d,300,300.0,1123,55.0,0.8676681497217592,True
P1,traded_value_rank_60d,400,400.0,1342,68.5,0.913258472805874,True
P2,traded_value_rank_5d,200,200.0,1032,12.0,0.8330030998142869,True
P2,traded_value_rank_5d,250,250.0,1152,15.0,0.8718685772411529,True
P2,traded_value_rank_5d,300,300.0,1256,18.0,0.8999901532533616,True
P2,traded_value_rank_5d,400,400.0,1430,25.0,0.9367931468793661,True
P2,traded_value_rank_20d,200,200.0,828,19.0,0.8134691751067756,True
P2,traded_value_rank_20d,250,250.0,950,22.0,0.8557642245738935,True
P2,traded_value_rank_20d,300,300.0,1052,26.0,0.8865792646177842,True
P2,traded_value_rank_20d,400,400.0,1246,33.0,0.9276209334618813,True
P2,traded_value_rank_60d,200,200.0,665,27.0,0.7922008788575011,True
P2,traded_value_rank_60d,250,250.0,778,32.0,0.8359946324108285,True
P2,traded_value_rank_60d,300,300.0,908,33.0,0.8691392162854272,True
P2,traded_value_rank_60d,400,400.0,1083,43.0,0.9140693651605745,True
2024_latest,traded_value_rank_5d,200,200.0,905,11.0,0.8408794575119242,True
2024_latest,traded_value_rank_5d,250,250.0,1025,12.0,0.8783682468376215,True
2024_latest,traded_value_rank_5d,300,300.0,1119,15.0,0.9052690122066825,True
2024_latest,traded_value_rank_5d,400,400.0,1297,20.0,0.9402725465121766,True
2024_latest,traded_value_rank_20d,200,200.0,722,17.0,0.8224196138446113,True
2024_latest,traded_value_rank_20d,250,250.0,838,19.5,0.8630521494384719,True
2024_latest,traded_value_rank_20d,300,300.0,944,23.0,0.8925662970141756,True
2024_latest,traded_value_rank_20d,400,400.0,1125,28.0,0.9317179236451142,True
2024_latest,traded_value_rank_60d,200,200.0,587,24.0,0.8010212458454167,True
2024_latest,traded_value_rank_60d,250,250.0,706,28.0,0.8437835730599157,True
2024_latest,traded_value_rank_60d,300,300.0,813,30.0,0.8758051601256185,True
2024_latest,traded_value_rank_60d,400,400.0,1003,35.0,0.9186099218344099,True
2026YTD,traded_value_rank_5d,200,200.0,506,7.0,0.8749138288123957,True
2026YTD,traded_value_rank_5d,250,250.0,604,8.0,0.907083198074943,True
2026YTD,traded_value_rank_5d,300,300.0,709,8.0,0.9294301781102846,True
2026YTD,traded_value_rank_5d,400,400.0,901,8.0,0.9575333177992718,True
2026YTD,traded_value_rank_20d,200,200.0,439,9.0,0.8616630625835044,True
2026YTD,traded_value_rank_20d,250,250.0,538,10.5,0.8967951856905481,True
2026YTD,traded_value_rank_20d,300,300.0,630,11.0,0.9209935554171476,True
2026YTD,traded_value_rank_20d,400,400.0,818,11.0,0.9522698499211926,True
2026YTD,traded_value_rank_60d,200,200.0,398,13.0,0.8497669986058143,True
2026YTD,traded_value_rank_60d,250,250.0,491,13.0,0.8865550055923911,True
2026YTD,traded_value_rank_60d,300,300.0,583,14.0,0.9122671054828773,True
2026YTD,traded_value_rank_60d,400,400.0,768,14.0,0.9458540992789383,True
