period,variant,requested_start,requested_end,actual_start,actual_end,weekly_snapshot_count,rows,avg_weekly_count,median_weekly_count,unique_ticker_count,median_active_weeks,ge52_ticker_count,ge104_ticker_count,short_1_4w_ticker_count,short_1_4w_share,avg_turnover_share_5d,median_turnover_share_5d,estimated_layer1_period_scope_reduction_vs_1900,diagnostic_only
ALL,top200_core_conditional_buffer50,2015-01-09,2026-06-29,2015-01-09,2026-06-29,592,146353,247.21790540540542,247.0,1541,30.0,608,391,294,0.190785204412719,0.8640530546966094,0.8665663529414755,0.8698853129445234,True
ALL,top250_core_conditional_buffer100,2015-01-09,2026-06-29,2015-01-09,2026-06-29,592,200245,338.25168918918916,338.0,1689,44.0,791,564,246,0.14564831261101244,0.9116410598339226,0.9134015559091326,0.8219727951635847,True
ALL,top250_core_conditional_buffer50,2015-01-09,2026-06-29,2015-01-09,2026-06-29,592,174755,295.1942567567568,296.0,1639,36.0,717,482,269,0.16412446613788895,0.8928393379901167,0.8952876480080509,0.8446346017069701,True
ALL,top300_buffer100_current_baseline,2015-01-09,2026-06-29,2015-01-09,2026-06-29,592,236800,400.0,400.0,1843,55.0,940,665,248,0.13456321215409658,0.9339828252604127,0.935598412840305,0.7894736842105263,True
ALL,top300_core_no_buffer_reference,2015-01-09,2026-06-29,2015-01-09,2026-06-29,592,177600,300.0,300.0,1686,36.0,727,492,278,0.16488730723606168,0.895655142824046,0.897397053927318,0.8421052631578947,True
P1,top200_core_conditional_buffer50,2015-01-02,2022-12-29,2015-01-09,2022-12-23,411,101665,247.36009732360097,248.0,1337,26.0,481,304,298,0.22288706058339566,0.8616740427216028,0.8645000560942229,0.8698104750928416,True
P1,top250_core_conditional_buffer100,2015-01-02,2022-12-29,2015-01-09,2022-12-23,411,138998,338.19464720194645,338.0,1497,37.0,655,448,265,0.17702070808283232,0.9099923264408779,0.9114390848132687,0.8220028172621334,True
P1,top250_core_conditional_buffer50,2015-01-02,2022-12-29,2015-01-09,2022-12-23,411,121355,295.2676399026764,296.0,1437,31.0,577,372,286,0.1990257480862909,0.8909300105092393,0.8922445385750046,0.8445959789985913,True
P1,top300_buffer100_current_baseline,2015-01-02,2022-12-29,2015-01-09,2022-12-23,411,164400,400.0,400.0,1668,40.0,770,532,279,0.1672661870503597,0.9327420672131925,0.93481771758824,0.7894736842105263,True
P1,top300_core_no_buffer_reference,2015-01-02,2022-12-29,2015-01-09,2022-12-23,411,123300,300.0,300.0,1498,29.0,593,374,310,0.20694259012016022,0.8937486360571351,0.8961537171534213,0.8421052631578947,True
P2,top200_core_conditional_buffer50,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,44441,246.89444444444445,247.0,1106,16.0,283,157,297,0.26853526220614826,0.8694713667779735,0.8708602224219202,0.8700555555555556,True
P2,top250_core_conditional_buffer100,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,60908,338.3777777777778,338.0,1256,23.0,392,224,284,0.22611464968152867,0.9153820388116841,0.9168054210567536,0.821906432748538,True
P2,top250_core_conditional_buffer50,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,53103,295.01666666666665,295.0,1215,19.0,343,195,300,0.24691358024691357,0.8971753917247257,0.8985916047823677,0.8447280701754386,True
P2,top300_buffer100_current_baseline,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,72000,400.0,400.0,1430,25.0,478,277,308,0.2153846153846154,0.9367931468793661,0.937900901400673,0.7894736842105263,True
P2,top300_core_no_buffer_reference,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,54000,300.0,300.0,1256,18.0,345,196,313,0.24920382165605096,0.8999901532533616,0.9013050178235631,0.8421052631578947,True
2024_latest,top200_core_conditional_buffer50,2024-01-02,2026-06-30,2024-01-05,2026-06-29,129,31860,246.97674418604652,247.0,983,13.0,228,114,288,0.29298067141403866,0.8761155439867517,0.8790801460626901,0.8700122399020808,True
2024_latest,top250_core_conditional_buffer100,2024-01-02,2026-06-30,2024-01-05,2026-06-29,129,43684,338.6356589147287,338.0,1123,19.0,319,170,274,0.2439893143365984,0.9200334082898202,0.921630266486308,0.8217707058343533,True
