period,variant,avg_weekly_count,unique_ticker_count,estimated_layer1_period_scope_reduction_vs_1900,full_universe_units,cost_policy,diagnostic_only
ALL,top200_core_conditional_buffer50,247.21790540540542,1541,0.8698853129445234,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
ALL,top250_core_conditional_buffer100,338.25168918918916,1689,0.8219727951635847,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
ALL,top250_core_conditional_buffer50,295.1942567567568,1639,0.8446346017069701,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
ALL,top300_buffer100_current_baseline,400.0,1843,0.7894736842105263,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
ALL,top300_core_no_buffer_reference,300.0,1686,0.8421052631578947,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P1,top200_core_conditional_buffer50,247.36009732360097,1337,0.8698104750928416,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P1,top250_core_conditional_buffer100,338.19464720194645,1497,0.8220028172621334,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P1,top250_core_conditional_buffer50,295.2676399026764,1437,0.8445959789985913,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P1,top300_buffer100_current_baseline,400.0,1668,0.7894736842105263,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P1,top300_core_no_buffer_reference,300.0,1498,0.8421052631578947,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P2,top200_core_conditional_buffer50,246.89444444444445,1106,0.8700555555555556,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P2,top250_core_conditional_buffer100,338.3777777777778,1256,0.821906432748538,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P2,top250_core_conditional_buffer50,295.01666666666665,1215,0.8447280701754386,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P2,top300_buffer100_current_baseline,400.0,1430,0.7894736842105263,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
P2,top300_core_no_buffer_reference,300.0,1256,0.8421052631578947,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2024_latest,top200_core_conditional_buffer50,246.97674418604652,983,0.8700122399020808,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2024_latest,top250_core_conditional_buffer100,338.6356589147287,1123,0.8217707058343533,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2024_latest,top250_core_conditional_buffer50,295.17054263565893,1076,0.8446470828233374,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2024_latest,top300_buffer100_current_baseline,400.0,1297,0.7894736842105263,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2024_latest,top300_core_no_buffer_reference,300.0,1119,0.8421052631578947,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2026YTD,top200_core_conditional_buffer50,247.3846153846154,575,0.8697975708502024,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2026YTD,top250_core_conditional_buffer100,339.46153846153845,753,0.821336032388664,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2026YTD,top250_core_conditional_buffer50,295.9230769230769,679,0.8442510121457489,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2026YTD,top300_buffer100_current_baseline,400.0,901,0.7894736842105263,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
2026YTD,top300_core_no_buffer_reference,300.0,709,0.8421052631578947,1900,period_scoped_layer1_source_fetch_not_all_history_unique_fetch,True
