ticker,market,report_period,official_asof_match_status,match_status,official_market_available_at,official_market_available_at_iso,signal_eligible_date,signal_eligible_date_policy,after_close_policy_applies,blocked_reason,quarter_end_date_used,query_response_datetime_used,conservative_deadline_proxy_used,diagnostic_only
1101,TWSE,115Q1,accepted,accepted,115/05/13 19:18:38,2026-05-13T19:18:38,2026-05-14,after_close_next_trading_day,True,,False,False,False,True
1101,TWSE,114Q4,accepted,accepted,115/03/11 19:21:45,2026-03-11T19:21:45,2026-03-12,after_close_next_trading_day,True,,False,False,False,True
1216,TWSE,115Q1,accepted,accepted,115/05/07 16:40:30,2026-05-07T16:40:30,2026-05-08,after_close_next_trading_day,True,,False,False,False,True
1216,TWSE,114Q4,accepted,accepted,115/03/05 17:12:10,2026-03-05T17:12:10,2026-03-06,after_close_next_trading_day,True,,False,False,False,True
1301,TWSE,115Q1,accepted,accepted,115/05/13 15:37:52,2026-05-13T15:37:52,2026-05-14,after_close_next_trading_day,True,,False,False,False,True
1301,TWSE,114Q4,accepted,accepted,115/03/06 17:05:08,2026-03-06T17:05:08,2026-03-09,after_close_next_trading_day,True,,False,False,False,True
2330,TWSE,115Q1,accepted,accepted,115/05/12 18:33:04,2026-05-12T18:33:04,2026-05-13,after_close_next_trading_day,True,,False,False,False,True
2330,TWSE,114Q4,accepted,accepted,115/02/10 18:16:19,2026-02-10T18:16:19,2026-02-11,after_close_next_trading_day,True,,False,False,False,True
2308,TWSE,115Q1,accepted,accepted,115/04/29 17:36:13,2026-04-29T17:36:13,2026-04-30,after_close_next_trading_day,True,,False,False,False,True
2308,TWSE,114Q4,accepted,accepted,115/02/25 18:50:01,2026-02-25T18:50:01,2026-02-26,after_close_next_trading_day,True,,False,False,False,True
2317,TWSE,115Q1,accepted,accepted,115/05/14 14:15:12,2026-05-14T14:15:12,2026-05-15,after_close_next_trading_day,True,,False,False,False,True
2317,TWSE,114Q4,accepted,accepted,115/03/16 14:15:14,2026-03-16T14:15:14,2026-03-17,after_close_next_trading_day,True,,False,False,False,True
2454,TWSE,115Q1,accepted,accepted,115/04/30 17:58:34,2026-04-30T17:58:34,2026-05-04,after_close_next_trading_day,True,,False,False,False,True
2454,TWSE,114Q4,accepted,accepted,115/02/26 17:08:56,2026-02-26T17:08:56,2026-03-02,after_close_next_trading_day,True,,False,False,False,True
2881,TWSE,115Q1,accepted,accepted,115/05/21 17:54:45,2026-05-21T17:54:45,2026-05-22,after_close_next_trading_day,True,,False,False,False,True
