ticker,market,report_period,field,available,source_quality,diagnostic_only
2881,TWSE,115Q1,capex_proxy,False,human_review_proxy_label_required,True
2881,TWSE,115Q1,inventory,False,exact_pit_after_official_asof_join,True
2881,TWSE,115Q1,receivables_trade,False,human_review_proxy_label_required,True
2881,TWSE,115Q1,current_assets,False,exact_pit_after_official_asof_join,True
2881,TWSE,115Q1,current_liabilities,False,exact_pit_after_official_asof_join,True
2881,TWSE,115Q1,current_ratio,False,derived_pit_after_official_asof_join,True
2881,TWSE,114Q4,operating_cash_flow,True,exact_pit_after_official_asof_join,True
2881,TWSE,114Q4,investing_cash_flow,True,exact_pit_after_official_asof_join,True
2881,TWSE,114Q4,capex_proxy,False,human_review_proxy_label_required,True
2881,TWSE,114Q4,inventory,False,exact_pit_after_official_asof_join,True
2881,TWSE,114Q4,receivables_trade,False,human_review_proxy_label_required,True
2881,TWSE,114Q4,current_assets,False,exact_pit_after_official_asof_join,True
2881,TWSE,114Q4,current_liabilities,False,exact_pit_after_official_asof_join,True
2881,TWSE,114Q4,current_ratio,False,derived_pit_after_official_asof_join,True
2882,TWSE,115Q1,operating_cash_flow,True,exact_pit_after_official_asof_join,True
2882,TWSE,115Q1,investing_cash_flow,True,exact_pit_after_official_asof_join,True
2882,TWSE,115Q1,capex_proxy,False,human_review_proxy_label_required,True
2882,TWSE,115Q1,inventory,False,exact_pit_after_official_asof_join,True
2882,TWSE,115Q1,receivables_trade,False,human_review_proxy_label_required,True
2882,TWSE,115Q1,current_assets,False,exact_pit_after_official_asof_join,True
2882,TWSE,115Q1,current_liabilities,False,exact_pit_after_official_asof_join,True
2882,TWSE,115Q1,current_ratio,False,derived_pit_after_official_asof_join,True
2882,TWSE,114Q4,operating_cash_flow,True,exact_pit_after_official_asof_join,True
2882,TWSE,114Q4,investing_cash_flow,True,exact_pit_after_official_asof_join,True
2882,TWSE,114Q4,capex_proxy,False,human_review_proxy_label_required,True
2882,TWSE,114Q4,inventory,False,exact_pit_after_official_asof_join,True
2882,TWSE,114Q4,receivables_trade,False,human_review_proxy_label_required,True
2882,TWSE,114Q4,current_assets,False,exact_pit_after_official_asof_join,True
2882,TWSE,114Q4,current_liabilities,False,exact_pit_after_official_asof_join,True
2882,TWSE,114Q4,current_ratio,False,derived_pit_after_official_asof_join,True
3008,TWSE,115Q1,operating_cash_flow,True,exact_pit_after_official_asof_join,True
3008,TWSE,115Q1,investing_cash_flow,True,exact_pit_after_official_asof_join,True
3008,TWSE,115Q1,capex_proxy,True,human_review_proxy_label_required,True
3008,TWSE,115Q1,inventory,True,exact_pit_after_official_asof_join,True
3008,TWSE,115Q1,receivables_trade,True,human_review_proxy_label_required,True
3008,TWSE,115Q1,current_assets,True,exact_pit_after_official_asof_join,True
3008,TWSE,115Q1,current_liabilities,True,exact_pit_after_official_asof_join,True
3008,TWSE,115Q1,current_ratio,True,derived_pit_after_official_asof_join,True
3008,TWSE,114Q4,operating_cash_flow,True,exact_pit_after_official_asof_join,True
3008,TWSE,114Q4,investing_cash_flow,True,exact_pit_after_official_asof_join,True
3008,TWSE,114Q4,capex_proxy,True,human_review_proxy_label_required,True
3008,TWSE,114Q4,inventory,True,exact_pit_after_official_asof_join,True
3008,TWSE,114Q4,receivables_trade,True,human_review_proxy_label_required,True
3008,TWSE,114Q4,current_assets,True,exact_pit_after_official_asof_join,True
3008,TWSE,114Q4,current_liabilities,True,exact_pit_after_official_asof_join,True
3008,TWSE,114Q4,current_ratio,True,derived_pit_after_official_asof_join,True
3711,TWSE,115Q1,operating_cash_flow,True,exact_pit_after_official_asof_join,True
3711,TWSE,115Q1,investing_cash_flow,True,exact_pit_after_official_asof_join,True
3711,TWSE,115Q1,capex_proxy,True,human_review_proxy_label_required,True
3711,TWSE,115Q1,inventory,True,exact_pit_after_official_asof_join,True
3711,TWSE,115Q1,receivables_trade,True,human_review_proxy_label_required,True
3711,TWSE,115Q1,current_assets,True,exact_pit_after_official_asof_join,True
3711,TWSE,115Q1,current_liabilities,True,exact_pit_after_official_asof_join,True
3711,TWSE,115Q1,current_ratio,True,derived_pit_after_official_asof_join,True
3711,TWSE,114Q4,operating_cash_flow,True,exact_pit_after_official_asof_join,True
3711,TWSE,114Q4,investing_cash_flow,True,exact_pit_after_official_asof_join,True
3711,TWSE,114Q4,capex_proxy,True,human_review_proxy_label_required,True
3711,TWSE,114Q4,inventory,True,exact_pit_after_official_asof_join,True
3711,TWSE,114Q4,receivables_trade,True,human_review_proxy_label_required,True
3711,TWSE,114Q4,current_assets,True,exact_pit_after_official_asof_join,True
3711,TWSE,114Q4,current_liabilities,True,exact_pit_after_official_asof_join,True
3711,TWSE,114Q4,current_ratio,True,derived_pit_after_official_asof_join,True
6669,TWSE,115Q1,operating_cash_flow,True,exact_pit_after_official_asof_join,True
6669,TWSE,115Q1,investing_cash_flow,True,exact_pit_after_official_asof_join,True
6669,TWSE,115Q1,capex_proxy,True,human_review_proxy_label_required,True
6669,TWSE,115Q1,inventory,True,exact_pit_after_official_asof_join,True
6669,TWSE,115Q1,receivables_trade,True,human_review_proxy_label_required,True
6669,TWSE,115Q1,current_assets,True,exact_pit_after_official_asof_join,True
6669,TWSE,115Q1,current_liabilities,True,exact_pit_after_official_asof_join,True
6669,TWSE,115Q1,current_ratio,True,derived_pit_after_official_asof_join,True
6669,TWSE,114Q4,operating_cash_flow,True,exact_pit_after_official_asof_join,True
6669,TWSE,114Q4,investing_cash_flow,True,exact_pit_after_official_asof_join,True
6669,TWSE,114Q4,capex_proxy,True,human_review_proxy_label_required,True
6669,TWSE,114Q4,inventory,True,exact_pit_after_official_asof_join,True
6669,TWSE,114Q4,receivables_trade,True,human_review_proxy_label_required,True
6669,TWSE,114Q4,current_assets,True,exact_pit_after_official_asof_join,True
6669,TWSE,114Q4,current_liabilities,True,exact_pit_after_official_asof_join,True
6669,TWSE,114Q4,current_ratio,True,derived_pit_after_official_asof_join,True
6488,TPEx,115Q1,operating_cash_flow,True,exact_pit_after_official_asof_join,True
6488,TPEx,115Q1,investing_cash_flow,True,exact_pit_after_official_asof_join,True
6488,TPEx,115Q1,capex_proxy,True,human_review_proxy_label_required,True
6488,TPEx,115Q1,inventory,True,exact_pit_after_official_asof_join,True
6488,TPEx,115Q1,receivables_trade,True,human_review_proxy_label_required,True
6488,TPEx,115Q1,current_assets,True,exact_pit_after_official_asof_join,True
6488,TPEx,115Q1,current_liabilities,True,exact_pit_after_official_asof_join,True
6488,TPEx,115Q1,current_ratio,True,derived_pit_after_official_asof_join,True
6488,TPEx,114Q4,operating_cash_flow,True,exact_pit_after_official_asof_join,True
6488,TPEx,114Q4,investing_cash_flow,True,exact_pit_after_official_asof_join,True
6488,TPEx,114Q4,capex_proxy,True,human_review_proxy_label_required,True
6488,TPEx,114Q4,inventory,True,exact_pit_after_official_asof_join,True
6488,TPEx,114Q4,receivables_trade,True,human_review_proxy_label_required,True
6488,TPEx,114Q4,current_assets,True,exact_pit_after_official_asof_join,True
6488,TPEx,114Q4,current_liabilities,True,exact_pit_after_official_asof_join,True
6488,TPEx,114Q4,current_ratio,True,derived_pit_after_official_asof_join,True
8299,TPEx,115Q1,operating_cash_flow,True,exact_pit_after_official_asof_join,True
8299,TPEx,115Q1,investing_cash_flow,True,exact_pit_after_official_asof_join,True
8299,TPEx,115Q1,capex_proxy,True,human_review_proxy_label_required,True
8299,TPEx,115Q1,inventory,True,exact_pit_after_official_asof_join,True
8299,TPEx,115Q1,receivables_trade,True,human_review_proxy_label_required,True
8299,TPEx,115Q1,current_assets,True,exact_pit_after_official_asof_join,True
8299,TPEx,115Q1,current_liabilities,True,exact_pit_after_official_asof_join,True
8299,TPEx,115Q1,current_ratio,True,derived_pit_after_official_asof_join,True
8299,TPEx,114Q4,operating_cash_flow,True,exact_pit_after_official_asof_join,True
8299,TPEx,114Q4,investing_cash_flow,True,exact_pit_after_official_asof_join,True
