path,size_mb,deleted,reason
tmp/pdf_render,2.176,False,missing
tmp/gh_artifacts_28486753205,1.463,False,missing
tmp/gh_artifacts_28487162287,1.463,False,missing
tmp/stock_pool_observation_28581444293,1.298,False,missing
tmp/gh_run_28576778501,1.285,False,missing
tmp/stock_pool_observation_28582214016,1.281,False,missing
tmp/gh_artifacts_28486420303,1.238,False,missing
tmp/gh_run_28575639487,0.952,False,missing
tmp/gh_run_28576492255,0.952,False,missing
tmp/gh_run_28576209563,0.952,False,missing
tmp/pdf_verify,0.83,False,missing
work/tmp_general_report_check,0.67,False,missing
tmp/gh_artifacts_27994647602,0.623,False,missing
tmp/gh_artifacts_27865665442,0.62,False,missing
tmp/gh_artifacts_27864842060,0.617,False,missing
backtest_outputs/charts,0.419,False,missing
work/stock_pools,0.375,False,missing
work/pdf_check,0.348,False,missing
tmp/pdf_render_table_layout,0.291,False,missing
tmp/gh_run_28276066715,0.273,False,missing
tmp/gh_run_28275817290,0.273,False,missing
work/gh_run_28275236428,0.269,False,missing
tmp/pdf_render_remove_cap,0.236,False,missing
tmp/pdf_render_remove_cashflow,0.235,False,missing
work/ledger_builder,0.018,False,missing
work/report_wording_boundary_smoke,0.008,False,missing
work/portfolio_app,0.0,False,missing
