counterfactual_id,date,prior_target,new_target,NAV_open,NAV_before_transition,outgoing_proceeds_before_cost,exit_cost,incoming_notional_before_entry_cost,entry_cost,incoming_shares,incoming_entry_raw_close,NAV_after_transition,transition_type,stock_etf_cost_split,cross_asset_nominal_price_return_used,scenario,slippage_bp_per_side
H1_continuity_fix_only_5bp,2023-10-27,,3548,1.0,1.0,1.0,0.0,1.0,0.001925,0.007154659498207885,139.5,0.998075,no_position_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2023-11-01,3548,4162,1.0624670525613944,1.0803536882983005,1.0803536882983005,0.0053207419148691305,1.0750329463834314,0.0020796808499742286,0.009370770878021458,114.5,1.072953265533457,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2023-11-08,4162,3548,1.0682678969632395,1.0542117124167985,1.0542117124167985,0.005191992683652733,1.0490197197331457,0.0020293575464023373,0.0058985372517563,177.5,1.0469903621867434,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2023-11-15,3548,2454,1.1472655373383633,1.1148236256849395,1.1148236256849395,0.005490506356498327,1.1093331193284413,0.0021460354794435085,0.0012193690350759886,908.0,1.1071870838489977,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2023-11-22,2454,3545,1.1291357740361458,1.1486457579181995,1.1486457579181995,0.005657080357747133,1.1429886775604523,0.002211143083992534,0.009237065056489552,123.5,1.1407775344764597,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2023-11-30,3545,3362,1.1915814041380213,1.1915814041380213,1.1915814041380213,0.005868538415379755,1.1857128657226415,0.002293794202965691,0.006414195509591739,184.5,1.1834190715196757,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2023-12-13,3362,2329,1.2058686693761802,1.1641764600290458,1.1641764600290458,0.005733569065643052,1.1584428909634028,0.0022410396855559135,0.01876951057269232,61.6,1.156201851277847,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2024-01-05,2329,3008,0.9853992912024404,1.0173074869038294,1.0173074869038294,0.00501023937300136,1.012297247530828,0.0019583169122898716,0.0003893406283693789,2595.0,1.0103389306185382,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2024-01-12,3008,2362,0.992818552019499,1.0122855011648095,1.0122855011648095,0.004985506093236687,1.0072999950715729,0.0019486495897422585,0.023191495858865756,43.35,1.0053513454818306,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
H1_continuity_fix_only_5bp,2024-01-17,2362,8227,0.970564114247948,0.9462130725410423,0.9462130725410423,0.004660099382264634,0.9415529731587776,0.0018214601646415064,0.002918420847807876,322.0,0.9397315129941362,stock_to_stock,stock_brokerage_0.1425pct_each_side+sell_tax_0.3pct+slippage_10bp_each_side,False,H1_continuity_fix_only,5
