scenario,decision_date,original_action,original_target,final_action,final_target,incumbent_valid,invalid_reason,architecture_reason
H1_continuity_fix_only,2023-07-17,forced_replacement,2388,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-18,hold_incumbent,2388,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-19,hold_incumbent,2388,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-20,hold_incumbent,2388,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-21,hold_incumbent,2388,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-24,forced_replacement,3515,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-25,hold_incumbent,3515,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-26,hold_incumbent,3515,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-27,hold_incumbent,3515,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-28,hold_incumbent,3515,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-07-31,forced_replacement,6531,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-01,hold_incumbent,6531,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-02,hold_incumbent,6531,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-04,hold_incumbent,6531,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-07,forced_replacement,8210,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-08,hold_incumbent,8210,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-09,hold_incumbent,8210,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-10,hold_incumbent,8210,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-11,hold_incumbent,8210,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-14,forced_replacement,2353,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-15,hold_incumbent,2353,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-16,hold_incumbent,2353,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-17,hold_incumbent,2353,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-18,hold_incumbent,2353,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-21,forced_replacement,3583,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-22,hold_incumbent,3583,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-23,hold_incumbent,3583,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-24,hold_incumbent,3583,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-25,hold_incumbent,3583,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-28,forced_replacement,1519,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-29,hold_incumbent,1519,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-30,hold_incumbent,1519,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-08-31,hold_incumbent,1519,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-01,hold_incumbent,1519,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-04,forced_replacement,9958,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-05,hold_incumbent,9958,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-06,forced_replacement,6274,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-07,hold_incumbent,6274,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-08,hold_incumbent,6274,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-11,forced_replacement,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-12,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-13,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-14,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-15,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-18,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-19,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-20,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-21,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-22,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-25,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-26,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-27,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-09-28,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-02,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-03,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-04,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-05,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-06,hold_incumbent,2436,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-11,forced_replacement,3325,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-12,hold_incumbent,3325,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-13,hold_incumbent,3325,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-16,forced_replacement,3483,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-17,hold_incumbent,3483,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-18,hold_incumbent,3483,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-19,hold_incumbent,3483,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-20,hold_incumbent,3483,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-23,forced_replacement,3548,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-24,hold_incumbent,3548,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-25,hold_incumbent,3548,not_model_ready,,False,no_incumbent,PIT_warmup_or_low_confidence_reference_only
H1_continuity_fix_only,2023-10-26,hold_incumbent,3548,hold_incumbent,3548,False,no_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-10-27,hold_incumbent,3548,hold_incumbent,3548,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-10-30,forced_replacement,4162,hold_incumbent,3548,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2023-10-31,hold_incumbent,4162,hold_incumbent,4162,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-01,hold_incumbent,4162,hold_incumbent,4162,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-02,hold_incumbent,4162,hold_incumbent,4162,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-03,hold_incumbent,4162,hold_incumbent,4162,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-06,forced_replacement,3548,hold_incumbent,4162,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2023-11-07,hold_incumbent,3548,hold_incumbent,3548,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-08,hold_incumbent,3548,hold_incumbent,3548,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-09,hold_incumbent,3548,hold_incumbent,3548,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-10,hold_incumbent,3548,hold_incumbent,3548,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-13,forced_replacement,2454,hold_incumbent,3548,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2023-11-14,hold_incumbent,2454,hold_incumbent,2454,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-15,hold_incumbent,2454,hold_incumbent,2454,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-16,hold_incumbent,2454,hold_incumbent,2454,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-17,hold_incumbent,2454,hold_incumbent,2454,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-11-20,forced_replacement,3545,hold_incumbent,2454,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2023-11-21,hold_incumbent,3545,hold_incumbent,3545,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-22,hold_incumbent,3545,hold_incumbent,3545,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-23,hold_incumbent,3545,hold_incumbent,3545,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-24,hold_incumbent,3545,hold_incumbent,3545,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-27,forced_replacement,2454,hold_incumbent,3545,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2023-11-28,forced_replacement,3362,hold_incumbent,3545,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2023-11-29,hold_incumbent,3362,hold_incumbent,3362,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-11-30,hold_incumbent,3362,hold_incumbent,3362,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-01,hold_incumbent,3362,hold_incumbent,3362,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-04,hold_incumbent,3362,hold_incumbent,3362,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2023-12-05,hold_incumbent,3362,hold_incumbent,3362,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-06,hold_incumbent,3362,hold_incumbent,3362,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-07,hold_incumbent,3362,hold_incumbent,3362,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-08,hold_incumbent,3362,hold_incumbent,3362,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-11,forced_replacement,2329,hold_incumbent,3362,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2023-12-12,hold_incumbent,2329,hold_incumbent,2329,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-13,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-14,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-15,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-18,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-19,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-20,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-21,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-22,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-25,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-26,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-27,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-28,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2023-12-29,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-02,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-03,hold_incumbent,2329,hold_incumbent,2329,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-04,forced_replacement,3008,forced_replacement,3008,False,confirmed_weakening,forced_replacement_confirmed_weakening_valid_replacement_available
H1_continuity_fix_only,2024-01-05,hold_incumbent,3008,hold_incumbent,3008,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-08,hold_incumbent,3008,hold_incumbent,3008,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-09,hold_incumbent,3008,hold_incumbent,3008,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-10,hold_incumbent,3008,hold_incumbent,3008,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-11,switch_to_challenger,2362,switch_to_challenger,2362,True,valid_incumbent,applied_controller_margin_blocks_weakening
H1_continuity_fix_only,2024-01-12,hold_incumbent,2362,hold_incumbent,2362,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-15,forced_replacement,8227,hold_incumbent,2362,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2024-01-16,hold_incumbent,8227,hold_incumbent,8227,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2024-01-17,hold_incumbent,8227,hold_incumbent,8227,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2024-01-18,hold_incumbent,8227,hold_incumbent,8227,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-19,hold_incumbent,8227,hold_incumbent,8227,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-22,forced_replacement,3036,hold_incumbent,8227,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2024-01-23,hold_incumbent,3036,hold_incumbent,3036,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2024-01-24,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-25,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-26,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2024-01-29,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-30,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-01-31,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-01,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-02,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2024-02-05,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-15,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-16,hold_incumbent,3036,hold_incumbent,3036,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-19,forced_replacement,3324,hold_incumbent,3036,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,forced_label_rejected_incumbent_still_valid
H1_continuity_fix_only,2024-02-20,hold_incumbent,3324,hold_incumbent,3324,True,outside_primary80_without_hard_invalid_evidence_continuity_allowed,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2024-02-21,hold_incumbent,3324,hold_incumbent,3324,True,valid_incumbent,valid_incumbent_no_better_challenger
H1_continuity_fix_only,2024-02-22,hold_incumbent,3324,hold_incumbent,3324,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-23,hold_incumbent,3324,hold_incumbent,3324,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-26,hold_incumbent,3324,hold_incumbent,3324,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-27,hold_incumbent,3324,hold_incumbent,3324,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-02-29,hold_incumbent,3324,hold_incumbent,3324,True,valid_incumbent,applied_controller_switch_gate_failed
H1_continuity_fix_only,2024-03-01,hold_incumbent,3324,hold_incumbent,3324,True,valid_incumbent,applied_controller_switch_gate_failed
