scenario,year,net_return,MDD,transition_count,stock_exposure_share
H1_continuity_fix_only,2023,0.016264559174217874,-0.17905272250260085,7,1.0
H1_continuity_fix_only,2024,0.19832386892299847,-0.2920595146438635,21,1.0
H1_continuity_fix_only,2025,-0.060520263807208874,-0.19535655550391584,12,0.5761316872427984
H1_continuity_fix_only,2026,-0.12121505085423012,-0.4062654219227607,16,0.8521739130434782
H2_forced_replacement_only,2023,0.016264559174217874,-0.17905272250260085,7,1.0
H2_forced_replacement_only,2024,0.24299532921665,-0.28684422738630266,21,1.0
H2_forced_replacement_only,2025,-0.059663199804251055,-0.19535655550391584,12,0.5761316872427984
H2_forced_replacement_only,2026,-0.08565718418108392,-0.4024490701020258,14,0.8521739130434782
