scenario,counterfactual_id,date,incumbent,counterfactual_target,NAV_open,NAV_before_transition,NAV_close,net_daily_return,gross_same_asset_return,transition_type,transition_cost,stock_etf_cost_split,execution_status,slippage_bp_per_side,metric_eligible
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-17,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-18,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-19,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-20,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-21,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-24,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-25,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-26,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-27,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-28,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-07-31,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-01,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-02,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-04,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-07,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-08,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-09,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-10,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-11,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-14,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-15,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-16,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-17,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-18,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-21,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-22,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
H1_continuity_fix_only,H1_continuity_fix_only_5bp,2023-08-23,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,False
