scenario,decision_date,requested_execution_date,selected_ticker,selected_action,action_reason,classified_market_state,applied_market_state,low_confidence_ordinary_fallback,confidence_floor,challenger_margin_required,architecture_reason,incumbent_valid_before_action,incumbent_invalid_reason,metric_eligible
H1_continuity_fix_only,2023-07-17,2023-07-18,,not_model_ready,invalid_or_weak_incumbent,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-18,2023-07-19,,not_model_ready,valid_incumbent_no_better_challenger,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-19,2023-07-20,,not_model_ready,valid_incumbent_no_better_challenger,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-20,2023-07-21,,not_model_ready,valid_incumbent_no_better_challenger,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-21,2023-07-24,,not_model_ready,applied_controller_switch_gate_failed,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-24,2023-07-25,,not_model_ready,invalid_or_weak_incumbent,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-25,2023-07-26,,not_model_ready,applied_controller_switch_gate_failed,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-26,2023-07-27,,not_model_ready,applied_controller_switch_gate_failed,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-27,2023-07-28,,not_model_ready,applied_controller_switch_gate_failed,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
H1_continuity_fix_only,2023-07-28,2023-07-31,,not_model_ready,applied_controller_switch_gate_failed,PIT_warmup_or_low_confidence,ordinary_market,True,0.7,5.0,PIT_warmup_or_low_confidence_reference_only,False,no_incumbent,False
