period,field,row_count,missing_count,missing_share
P1,layer4_c_quota_base_score,85535,0,0.0
P1,layer4_retention_constrained_score,85535,0,0.0
P1,layer4_risk_aware_score,85535,0,0.0
P1,momentum_continuation_score,85535,0,0.0
P1,pullback_repair_score,85535,0,0.0
P1,overlap_reacceleration_score,85535,0,0.0
P1,neutral_quality_liquidity_score,85535,0,0.0
P1,exhaustion_risk_score,85535,0,0.0
P1,breakdown_risk_score,85535,0,0.0
P1,traded_value_rank_20d,85535,0,0.0
P1,traded_value_rank_60d,85535,0,0.0
P1,RS20,85535,1476,0.017256093996609576
P1,RS30_proxy,85535,1476,0.017256093996609576
P1,RS60,85535,4305,0.050330274156777925
P1,BIAS20,85535,1181,0.013807213421406441
P1,BIAS60,85535,4094,0.04786344771146314
P1,volatility,85535,1476,0.017256093996609576
P2,layer4_c_quota_base_score,8932,0,0.0
P2,layer4_retention_constrained_score,8932,0,0.0
P2,layer4_risk_aware_score,8932,0,0.0
P2,momentum_continuation_score,8932,0,0.0
P2,pullback_repair_score,8932,0,0.0
P2,overlap_reacceleration_score,8932,0,0.0
P2,neutral_quality_liquidity_score,8932,0,0.0
P2,exhaustion_risk_score,8932,0,0.0
P2,breakdown_risk_score,8932,0,0.0
P2,traded_value_rank_20d,8932,0,0.0
P2,traded_value_rank_60d,8932,0,0.0
P2,RS20,8932,25,0.0027989252127183163
P2,RS30_proxy,8932,25,0.0027989252127183163
P2,RS60,8932,63,0.007053291536050157
P2,BIAS20,8932,25,0.0027989252127183163
P2,BIAS60,8932,63,0.007053291536050157
P2,volatility,8932,25,0.0027989252127183163
P2|2024_latest,layer4_c_quota_base_score,20492,0,0.0
P2|2024_latest,layer4_retention_constrained_score,20492,0,0.0
P2|2024_latest,layer4_risk_aware_score,20492,0,0.0
P2|2024_latest,momentum_continuation_score,20492,0,0.0
P2|2024_latest,pullback_repair_score,20492,0,0.0
P2|2024_latest,overlap_reacceleration_score,20492,0,0.0
P2|2024_latest,neutral_quality_liquidity_score,20492,0,0.0
P2|2024_latest,exhaustion_risk_score,20492,0,0.0
P2|2024_latest,breakdown_risk_score,20492,0,0.0
P2|2024_latest,traded_value_rank_20d,20492,0,0.0
P2|2024_latest,traded_value_rank_60d,20492,0,0.0
P2|2024_latest,RS20,20492,50,0.002439976576224868
P2|2024_latest,RS30_proxy,20492,50,0.002439976576224868
P2|2024_latest,RS60,20492,109,0.005319148936170213
P2|2024_latest,BIAS20,20492,49,0.002391177044700371
P2|2024_latest,BIAS60,20492,109,0.005319148936170213
P2|2024_latest,volatility,20492,50,0.002439976576224868
P2|2024_latest|2026YTD,layer4_c_quota_base_score,5477,0,0.0
P2|2024_latest|2026YTD,layer4_retention_constrained_score,5477,0,0.0
P2|2024_latest|2026YTD,layer4_risk_aware_score,5477,0,0.0
P2|2024_latest|2026YTD,momentum_continuation_score,5477,0,0.0
P2|2024_latest|2026YTD,pullback_repair_score,5477,0,0.0
P2|2024_latest|2026YTD,overlap_reacceleration_score,5477,0,0.0
P2|2024_latest|2026YTD,neutral_quality_liquidity_score,5477,0,0.0
P2|2024_latest|2026YTD,exhaustion_risk_score,5477,0,0.0
P2|2024_latest|2026YTD,breakdown_risk_score,5477,0,0.0
P2|2024_latest|2026YTD,traded_value_rank_20d,5477,0,0.0
P2|2024_latest|2026YTD,traded_value_rank_60d,5477,0,0.0
P2|2024_latest|2026YTD,RS20,5477,13,0.002373562169070659
P2|2024_latest|2026YTD,RS30_proxy,5477,13,0.002373562169070659
P2|2024_latest|2026YTD,RS60,5477,40,0.007303268212525105
P2|2024_latest|2026YTD,BIAS20,5477,13,0.002373562169070659
P2|2024_latest|2026YTD,BIAS60,5477,39,0.0071206865072119775
P2|2024_latest|2026YTD,volatility,5477,13,0.002373562169070659
outside_requested_periods,layer4_c_quota_base_score,178,0,0.0
outside_requested_periods,layer4_retention_constrained_score,178,0,0.0
outside_requested_periods,layer4_risk_aware_score,178,0,0.0
outside_requested_periods,momentum_continuation_score,178,0,0.0
outside_requested_periods,pullback_repair_score,178,0,0.0
outside_requested_periods,overlap_reacceleration_score,178,0,0.0
outside_requested_periods,neutral_quality_liquidity_score,178,0,0.0
outside_requested_periods,exhaustion_risk_score,178,0,0.0
outside_requested_periods,breakdown_risk_score,178,0,0.0
outside_requested_periods,traded_value_rank_20d,178,0,0.0
outside_requested_periods,traded_value_rank_60d,178,0,0.0
outside_requested_periods,RS20,178,2,0.011235955056179775
outside_requested_periods,RS30_proxy,178,2,0.011235955056179775
outside_requested_periods,RS60,178,3,0.016853932584269662
outside_requested_periods,BIAS20,178,2,0.011235955056179775
outside_requested_periods,BIAS60,178,3,0.016853932584269662
outside_requested_periods,volatility,178,2,0.011235955056179775
