signal_date,entry_date,exit_date,rerank_variant,selected_ticker_before,selected_ticker_after,selected_ticker_name_after,changed_reason,missing_field,next_owner
2015-04-30,2015-05-04,2015-05-11,mild_revenue_penalty,2316,2354,鴻準,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-04-30,2015-05-04,2015-05-11,balanced_revenue_penalty,2316,2354,鴻準,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-04-30,2015-05-04,2015-05-11,strict_revenue_penalty,2316,2354,鴻準,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-05-15,2015-05-18,2015-05-25,mild_revenue_penalty,3008,2892,第一金,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-05-15,2015-05-18,2015-05-25,balanced_revenue_penalty,3008,2892,第一金,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-05-15,2015-05-18,2015-05-25,strict_revenue_penalty,3008,2892,第一金,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-05-15,2015-05-18,2015-05-25,anomaly_veto_only_when_alternative_available,3008,2892,第一金,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-10-08,2015-10-12,2015-10-19,mild_revenue_penalty,6143,6176,瑞儀,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-10-08,2015-10-12,2015-10-19,balanced_revenue_penalty,6143,6176,瑞儀,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-10-08,2015-10-12,2015-10-19,strict_revenue_penalty,6143,6176,瑞儀,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-10-16,2015-10-19,2015-10-26,mild_revenue_penalty,8433,1319,東陽,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-10-16,2015-10-19,2015-10-26,balanced_revenue_penalty,8433,1319,東陽,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2015-10-16,2015-10-19,2015-10-26,strict_revenue_penalty,8433,1319,東陽,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2016-02-26,2016-03-01,2016-03-08,mild_revenue_penalty,3324,1216,統一,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2016-02-26,2016-03-01,2016-03-08,balanced_revenue_penalty,3324,1216,統一,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2016-02-26,2016-03-01,2016-03-08,strict_revenue_penalty,3324,1216,統一,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-02-03,2017-02-06,2017-02-13,mild_revenue_penalty,3346,3231,緯創,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-02-03,2017-02-06,2017-02-13,balanced_revenue_penalty,3346,3231,緯創,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-02-03,2017-02-06,2017-02-13,strict_revenue_penalty,3346,3231,緯創,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-05-12,2017-05-15,2017-05-22,mild_revenue_penalty,1301,2492,華新科,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-05-12,2017-05-15,2017-05-22,balanced_revenue_penalty,1301,2492,華新科,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-05-12,2017-05-15,2017-05-22,strict_revenue_penalty,1301,2492,華新科,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-08-25,2017-08-28,2017-09-04,mild_revenue_penalty,2603,2823,中壽,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-08-25,2017-08-28,2017-09-04,balanced_revenue_penalty,2603,2823,中壽,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-08-25,2017-08-28,2017-09-04,strict_revenue_penalty,2603,2823,中壽,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-10-27,2017-10-30,2017-11-06,mild_revenue_penalty,6121,3023,信邦,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-10-27,2017-10-30,2017-11-06,balanced_revenue_penalty,6121,3023,信邦,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-10-27,2017-10-30,2017-11-06,strict_revenue_penalty,6121,2345,智邦,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-10-27,2017-10-30,2017-11-06,anomaly_veto_only_when_alternative_available,6121,3023,信邦,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-11-24,2017-11-27,2017-12-04,mild_revenue_penalty,6573,2379,瑞昱,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-11-24,2017-11-27,2017-12-04,balanced_revenue_penalty,6573,2379,瑞昱,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-11-24,2017-11-27,2017-12-04,strict_revenue_penalty,6573,2379,瑞昱,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2017-11-24,2017-11-27,2017-12-04,anomaly_veto_only_when_alternative_available,6573,2379,瑞昱,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-03-16,2018-03-19,2018-03-26,mild_revenue_penalty,6150,6213,聯茂,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-03-16,2018-03-19,2018-03-26,balanced_revenue_penalty,6150,6213,聯茂,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-03-16,2018-03-19,2018-03-26,strict_revenue_penalty,6150,6213,聯茂,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-03-16,2018-03-19,2018-03-26,anomaly_veto_only_when_alternative_available,6150,6213,聯茂,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-06-08,2018-06-11,2018-06-19,mild_revenue_penalty,3090,2344,華邦電,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-06-08,2018-06-11,2018-06-19,balanced_revenue_penalty,3090,2344,華邦電,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-06-08,2018-06-11,2018-06-19,strict_revenue_penalty,3090,2344,華邦電,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-06-29,2018-07-02,2018-07-09,mild_revenue_penalty,8163,2027,大成鋼,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-06-29,2018-07-02,2018-07-09,balanced_revenue_penalty,8163,2027,大成鋼,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
2018-06-29,2018-07-02,2018-07-09,strict_revenue_penalty,8163,2027,大成鋼,revenue_anomaly_soft_penalty_rerank_selected_alternative,entry_open/entry_close/exit_close official unadjusted OHLC for reranked selected ticker,Radar/Data bounded selected-ticker OHLC gap fill
