signal_date,regime_label,selected_branch,selected_ticker,selected_ticker_name,selected_asset_type,fallback_asset,branch_reason,triggered_features,c2_pass_flag,consensus_trigger_flag,r6_override_flag,p1_risk_veto_flag,bear_guard_flag,cash_guard_flag,rs20_top3_reference_tickers,rs20_reference_only,data_readiness,blocked_reason
2015-01-09,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0130;0050_ret40=0.0177;0050_ret60=0.0000;bias20=0.0072;bias60=0.0000;breadth20=0.000;breadth60=0.000;breakout_count=0,False,True,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-01-16,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0307;0050_ret40=-0.0053;0050_ret60=0.0000;bias20=-0.0063;bias60=0.0000;breadth20=0.000;breadth60=0.000;breakout_count=0,False,True,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-01-23,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0362;0050_ret40=0.0277;0050_ret60=0.0000;bias20=0.0347;bias60=0.0000;breadth20=0.000;breadth60=0.000;breakout_count=2,False,True,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-01-30,多頭_C2_route_support_default,route_support,2603,,stock,,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0172;0050_ret40=0.0172;0050_ret60=0.0382;bias20=0.0168;bias60=0.0260;breadth20=0.000;breadth60=0.000;breakout_count=0,True,True,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-02-06,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0393;0050_ret40=0.0528;0050_ret60=0.0577;bias20=0.0166;bias60=0.0330;breadth20=0.600;breadth60=0.000;breakout_count=0,True,False,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-02-13,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0603;0050_ret40=0.0928;0050_ret60=0.0547;bias20=0.0153;bias60=0.0391;breadth20=0.500;breadth60=0.000;breakout_count=3,True,False,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-02-26,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0454;0050_ret40=0.0652;0050_ret60=0.0524;bias20=0.0194;bias60=0.0489;breadth20=0.725;breadth60=0.000;breakout_count=0,True,False,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-03-06,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0094;0050_ret40=0.0387;0050_ret60=0.0449;bias20=0.0078;bias60=0.0378;breadth20=1.000;breadth60=0.000;breakout_count=0,True,False,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-03-13,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0007;0050_ret40=0.0685;0050_ret60=0.0467;bias20=0.0000;bias60=0.0292;breadth20=0.988;breadth60=0.000;breakout_count=0,True,False,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-03-20,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0225;0050_ret40=0.0755;0050_ret60=0.0837;bias20=0.0118;bias60=0.0399;breadth20=0.988;breadth60=0.000;breakout_count=0,True,False,False,True,False,False,,True,ready_unadjusted_diagnostic,
2015-03-27,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=-0.0220;0050_ret40=0.0223;0050_ret60=0.0417;bias20=-0.0139;bias60=0.0068;breadth20=0.963;breadth60=0.000;breakout_count=0,False,False,False,True,False,False,,True,ready_unadjusted_diagnostic,
