ticker,market,report_period,source_scope,t164sb05_status,t164sb03_status,official_asof_match_status,match_status,official_market_available_at,official_market_available_at_iso,signal_eligible_date,signal_eligible_date_policy,accepted_subject,accepted_match_status,blocked_reason,operating_cash_flow,investing_cash_flow,capex_proxy,inventory,receivables_trade,current_assets,current_liabilities,current_ratio,operating_cash_flow_available,investing_cash_flow_available,capex_proxy_available,inventory_available,receivables_trade_available,current_assets_available,current_liabilities_available,current_ratio_available,cashflow_source_quality,inventory_source_quality,current_ratio_source_quality,capex_proxy_source_quality,receivables_trade_source_quality,quarter_end_date_used,query_response_datetime_used,conservative_deadline_proxy_used,after_close_policy_applies,full_universe,full_period_range,accepted_for_experiments,accepted_for_formal,diagnostic_only,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=75,code=200 rows=70,accepted,accepted,115/05/13 19:18:38,2026-05-13T19:18:38,2026-05-14,after_close_next_trading_day,公告本公司董事會通過115年第1季合併財務報告,accepted_direct_financial_report_detail,,3358179,4029757,-8613010.0,20812552.0,23524066.0,184722314.0,82516661.0,2.238606261588796,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
1101,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=91,code=200 rows=69,accepted,accepted,115/03/11 19:21:45,2026-03-11T19:21:45,2026-03-12,after_close_next_trading_day,公告本公司董事會通過114年第4季合併財務報告,accepted_direct_financial_report_detail,,33191582,-13562136,-25939976.0,19023915.0,23113996.0,178163742.0,85947537.0,2.0729359818653093,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
1216,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=88,code=200 rows=77,accepted,accepted,115/05/07 16:40:30,2026-05-07T16:40:30,2026-05-08,after_close_next_trading_day,公告本公司董事會通過115年第1季合併財務報告,accepted_direct_financial_report_detail,,12205671,-11053120,-8079303.0,58206374.0,19755075.0,241807588.0,273723981.0,0.883399354037599,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
1216,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=90,code=200 rows=77,accepted,accepted,115/03/05 17:12:10,2026-03-05T17:12:10,2026-03-06,after_close_next_trading_day,公告本公司董事會通過114年度合併財務報告,accepted_direct_financial_report_detail,,75383767,-44997097,-29031117.0,62285424.0,19211872.0,237174040.0,271227631.0,0.8744464534293706,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
1301,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=62,code=200 rows=61,accepted,accepted,115/05/13 15:37:52,2026-05-13T15:37:52,2026-05-14,after_close_next_trading_day,公告本公司115年第1季合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,1178822,-3867473,-4445555.0,19807664.0,8661491.0,175217601.0,95826345.0,1.8284909123894895,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
1301,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=77,code=200 rows=64,accepted,accepted,115/03/06 17:05:08,2026-03-06T17:05:08,2026-03-09,after_close_next_trading_day,公告本公司114年度合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,6619088,-6096434,-14548253.0,17297286.0,8911320.0,155423904.0,75827629.0,2.0497001693142747,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2330,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=74,code=200 rows=69,accepted,accepted,115/05/12 18:33:04,2026-05-12T18:33:04,2026-05-13,after_close_next_trading_day,"本公司民國115年度第一季合併財務報告業經
董事會決議通過",accepted_direct_financial_report_detail,,698976265,-356853756,-350762799.0,311453459.0,357742772.0,4265512176.0,1714253448.0,2.4882622700724473,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2330,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=81,code=200 rows=68,accepted,accepted,115/02/10 18:16:19,2026-02-10T18:16:19,2026-02-11,after_close_next_trading_day,"本公司民國114年度合併財務報告業經
董事會決議通過",accepted_direct_financial_report_detail,,2274975625,-1144393407,-1272410529.0,288109485.0,279051553.0,3817130817.0,1458019289.0,2.618024909408452,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2308,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=76,code=200 rows=74,accepted,accepted,115/04/29 17:36:13,2026-04-29T17:36:13,2026-04-30,after_close_next_trading_day,公告本公司115年第1季合併財務報告業經董事會通過,accepted_direct_financial_report_detail,,19931192,-12318347,-11091192.0,119107625.0,126864149.0,431011083.0,220629087.0,1.95355512213129,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2308,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=80,code=200 rows=73,accepted,accepted,115/02/25 18:50:01,2026-02-25T18:50:01,2026-02-26,after_close_next_trading_day,公告本公司114年度合併財務報告業經提報董事會通過,accepted_direct_financial_report_detail,,98474281,-53214206,-45722154.0,101478308.0,119225016.0,395780787.0,209664989.0,1.887681815107433,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2317,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=83,code=200 rows=77,accepted,accepted,115/05/14 14:15:12,2026-05-14T14:15:12,2026-05-15,after_close_next_trading_day,公告本公司董事會通過115年第一季合併財務報告,accepted_subject_strict,,3217154,-29019834,-35774345.0,1209878099.0,1149891836.0,4052387707.0,2792211149.0,1.4513185037783831,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2317,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=89,code=200 rows=77,accepted,accepted,115/03/16 14:15:14,2026-03-16T14:15:14,2026-03-17,after_close_next_trading_day,公告本公司董事會通過114年第四季合併財務報告,accepted_subject_strict,,226852474,-304689272,-173763139.0,1095574319.0,1151546008.0,3961827499.0,2710848518.0,1.4614713705666382,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2454,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=71,code=200 rows=65,accepted,accepted,115/04/30 17:58:34,2026-04-30T17:58:34,2026-05-04,after_close_next_trading_day,公告本公司115年第1季合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,-17656664,-4090712,-4260191.0,85470342.0,79121488.0,378185472.0,309807293.0,1.220711973362099,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2454,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=81,code=200 rows=65,accepted,accepted,115/02/26 17:08:56,2026-02-26T17:08:56,2026-03-02,after_close_next_trading_day,公告本公司114年度合併財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,162792872,-37753968,-15059115.0,67234559.0,62056117.0,397456191.0,303349808.0,1.3102239741651658,True,True,True,True,True,True,True,True,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2881,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=83,code=200 rows=59,accepted,accepted,115/05/21 17:54:45,2026-05-21T17:54:45,2026-05-22,after_close_next_trading_day,公告本公司董事會決議通過115年第1季合併財務報告,accepted_direct_financial_report_detail,,-32098859,-4418895,,,,,,,True,True,False,False,False,False,False,False,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2881,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=88,code=200 rows=58,accepted,accepted,115/03/12 16:40:19,2026-03-12T16:40:19,2026-03-13,after_close_next_trading_day,公告本公司董事會決議通過114年度合併財務報告,accepted_direct_financial_report_detail,,14407546,-23173577,,,,,,,True,True,False,False,False,False,False,False,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2882,TWSE,115Q1,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=80,code=200 rows=58,accepted,accepted,115/05/14 17:43:48,2026-05-14T17:43:48,2026-05-15,after_close_next_trading_day,公告本公司董事會通過115年度第1季決算財務報告,accepted_direct_financial_report_detail,,-30157900,-6642587,,,,,,,True,True,False,False,False,False,False,False,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
2882,TWSE,114Q4,bounded_pruning_v2_seed_20_tickers_2_periods,code=200 rows=97,code=200 rows=57,accepted,accepted,115/03/11 16:26:16,2026-03-11T16:26:16,2026-03-12,after_close_next_trading_day,公告本公司董事會通過114年度決算財務報告,accepted_direct_financial_report_detail,,188257172,-47209127,,,,,,,True,True,False,False,False,False,False,False,exact_pit_after_official_asof_join,exact_pit_after_official_asof_join,derived_pit_after_official_asof_join,human_review_proxy_label_required,human_review_proxy_label_required,False,False,False,True,False,False,False,False,True,True,False
