period,requested_start,requested_end,actual_start,actual_end,field,rows,available_rows,missing_rows,available_share,diagnostic_only
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,monthly_revenue_yoy,42069,34098,7971,0.8105255651429794,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,monthly_revenue_mom,42069,38554,3515,0.9164467897977133,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,monthly_revenue_rolling_3m_yoy,42069,33356,8713,0.7928878746820699,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,quarterly_revenue_yoy,42069,32903,9166,0.7821198507214339,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,eps_yoy,42069,32953,9116,0.7833083743373981,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,operating_income_yoy,42069,32859,9210,0.7810739499393853,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,gross_margin,42069,37530,4539,0.8921058261427655,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,operating_margin,42069,37650,4419,0.8949582828210797,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,roe,42069,0,42069,0.0,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,roa,42069,0,42069,0.0,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,capital_stock,42069,19361,22708,0.46022011457367656,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,issued_shares,42069,0,42069,0.0,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,listing_board_proxy,42069,38976,3093,0.9264779291164515,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,average_traded_value_proxy_available,42069,42069,0,1.0,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,turnover_proxy_available,42069,42067,2,0.9999524590553615,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,monthly_revenue_yoy,18482,18312,170,0.9908018612704252,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,monthly_revenue_mom,18482,18317,165,0.9910723947624716,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,monthly_revenue_rolling_3m_yoy,18482,18310,172,0.9906936478736067,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,quarterly_revenue_yoy,18482,18286,196,0.9893950871117845,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,eps_yoy,18482,18300,182,0.9901525808895141,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,operating_income_yoy,18482,18287,195,0.9894491938101937,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,gross_margin,18482,18230,252,0.9863651120008657,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,operating_margin,18482,18300,182,0.9901525808895141,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,roe,18482,0,18482,0.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,roa,18482,0,18482,0.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,capital_stock,18482,9375,9107,0.5072502975868413,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,issued_shares,18482,0,18482,0.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,listing_board_proxy,18482,18368,114,0.993831836381344,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,average_traded_value_proxy_available,18482,18482,0,1.0,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,turnover_proxy_available,18482,18482,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,monthly_revenue_yoy,13234,13139,95,0.9928215203264319,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,monthly_revenue_mom,13234,13141,93,0.9929726462142965,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,monthly_revenue_rolling_3m_yoy,13234,13145,89,0.9932748979900257,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,quarterly_revenue_yoy,13234,13120,114,0.9913858243917183,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,eps_yoy,13234,13134,100,0.9924437056067704,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,operating_income_yoy,13234,13122,112,0.9915369502795829,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,gross_margin,13234,13075,159,0.987985491914765,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,operating_margin,13234,13119,115,0.991310261447786,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,roe,13234,0,13234,0.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,roa,13234,0,13234,0.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,capital_stock,13234,6754,6480,0.5103521233187245,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,issued_shares,13234,0,13234,0.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,listing_board_proxy,13234,13179,55,0.9958440380837238,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,average_traded_value_proxy_available,13234,13234,0,1.0,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,turnover_proxy_available,13234,13234,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,monthly_revenue_yoy,2674,2669,5,0.9981301421091997,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,monthly_revenue_mom,2674,2669,5,0.9981301421091997,True
