date,ticker,name,market,close,layer0_active_scope,layer0_core_top250,layer0_buffer_candidate_251_300,buffer_confirmation,RS20,rs20_rank,rs20_rank_within_layer0_active,RS60,bias20_raw,bias60_raw,bias120_raw,bias20_stock_specific_percentile_proxy,bias60_stock_specific_percentile_proxy,bias20_stock_specific_zscore,bias60_stock_specific_zscore,volatility20,volatility_percentile_cross_section_proxy,traded_value_rank_20d,traded_value_rank_60d,layer1_quality_risk_pctile_proxy,layer1_pass_bottom30_proxy,route_support_score,route_support_variant_count,route_support_flags,layer4_risk_aware_score,layer4_pool_rank,overheat_bias60_flag,overheat_volatility_flag,rs60_high_short_rs_weakening_proxy,recent_runup_penalty,recent_runup_penalty_flag,low_base_score,risk_adjusted_rs20_score,risk_adjusted_rs20_rank_active,source_quality,route_support_source_quality,layer4_source_quality,bias120_source_quality,diagnostic_only,not_live_trade_decision,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-08,5007,三星,TWSE,55.5,False,False,False,False,-0.0370931971736551,1034.0,,-0.342072638204275,-0.0102541239411503,-0.0266004092370651,,0.2837374336117921,0.12942572969832988,-0.5717743343811101,-1.1291099382593406,0.0079820389579141,0.05225409836065574,1480.0,1457.0,,False,,,,,,False,False,False,0.0,False,0.5084315118319829,0.5150677271088423,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,4303,信立,TPEx,45.55,False,False,False,False,-0.046119958280795,1118.0,,-0.46594341589477,-0.0199558926362218,-0.0769230769230769,,0.49722630714396054,0.3562060504536636,-0.0069526729526602,-0.3686185044188798,0.0194522718677857,0.34989754098360654,990.0,913.0,,False,,,,,,False,False,False,0.0,False,0.6281551035894486,0.5150430399814437,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,6767,台微醫,TPEx,27.5,False,False,False,False,0.0454012293464163,384.0,,-0.3371091618978507,0.0851336687382855,0.0377032168799724,,0.9995010811329548,0.9286307872300632,3.2911356795151034,1.465669212466202,0.0231954467127791,0.4421106557377049,1879.0,1881.0,,False,,,,,,False,False,False,0.0900500277932184,False,0.4935464025180397,0.514895933071055,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,1219,福壽,TWSE,12.2,False,False,False,False,-0.0486376811594202,1144.0,,-0.4801404103744264,-0.0204737053392212,-0.0576725025746652,,0.31902527253433877,0.1586297345550507,-0.4704262057875433,-1.000105470289003,0.005854775435688,0.020491803278688523,1334.0,1322.0,,False,,,,,,False,False,False,0.0,False,0.5851637908068217,0.514744965642533,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,2701,萬企,TWSE,10.75,False,False,False,False,0.0140096618357488,545.0,,-0.3249734385923419,0.0141509433962263,0.0179924242424243,,0.806969730620277,0.9266354237252845,0.8667836926551635,1.4511821264038711,0.0069337825788868,0.03432377049180328,1797.0,1768.0,,False,,,,,,False,False,False,0.0496894409937887,False,0.5193203405592652,0.5146522728876078,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,6028,公勝保經,TPEx,79.4,False,False,False,False,-0.0195743900201796,850.0,,-0.3533326063063483,0.0044275774826061,-0.0023036649214658,,,,,,0.006060008357619,0.022540983606557378,1640.0,1638.0,,False,,,,,,False,False,False,0.0065099457504521,False,0.5645313961624308,0.51454597917809,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,3188,鑫龍騰,TPEx,23.7,False,False,False,False,-0.0330058819962403,993.0,,-0.4379790709528131,-0.0222772277227724,-0.0311041460838754,,0.3758763200004932,0.4461872154009435,-0.3163292129132893,-0.135300321618886,0.0268487837154187,0.5204918032786885,1149.0,1209.0,,False,,,,,,False,False,False,0.0,False,0.6522661090025148,0.5143928796968407,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,8107,大億金茂,TPEx,12.65,False,False,False,False,0.0122475647422191,553.0,,-0.3157568487305908,0.0261610221050496,0.0238769728854715,,0.8255032906625589,0.8911116348062433,0.936543515462392,1.2324615251855764,0.0202341250196443,0.36936475409836067,1679.0,1661.0,,False,,,,,,False,False,False,0.047423887587822,False,0.5638848248036705,0.5143478902753181,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,2109,華豐,TWSE,14.75,False,False,False,False,0.0068308503091112,601.0,,-0.3191352271089692,0.0111396743787488,0.0267416903532689,,0.7340049639870785,0.9397049829712945,0.624971029832718,1.5523017723251618,0.0077014818280049,0.04764344262295082,1539.0,1577.0,,False,,,,,,False,False,False,0.0404595404595404,False,0.4795145599737146,0.5137749907012131,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,3294,英濟,TPEx,38.6,False,False,False,False,-0.0285086489013556,951.0,,-0.128064541038283,0.0108681419405525,0.0659793339930499,,0.5496138317210113,0.6393110645742923,0.1246857533475586,0.3566179058144472,0.0449947372139705,0.8186475409836066,710.0,697.0,,False,,,,,,False,False,False,0.1376410256410257,False,0.611513720390841,0.513375301747507,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,9911,櫻花,TWSE,83.3,False,False,False,False,-0.0434833819839197,1092.0,,-0.3357568487305908,-0.0032308244585378,0.0017638098292309,,0.481056686796736,0.5362100333840076,-0.0475017023455632,0.0908900791790267,0.0073818698109561,0.0430327868852459,980.0,968.0,,False,,,,,,False,False,False,0.0,False,0.5867389701426089,0.5128799109534287,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,6216,居易,TWSE,23.0,False,False,False,False,-0.0180731297371008,836.0,,-0.3939131613558413,0.0065645514223193,-0.0169189670525378,,0.7211247901844997,0.6952601701525245,0.5861861623312612,0.510816349505032,0.0159435538022238,0.26383196721311475,1343.0,1369.0,,False,,,,,,False,False,False,0.008440137542982,False,0.60114713111382,0.512680733736169,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,6658,聯策,TWSE,192.0,False,False,False,True,-0.0060700419021257,688.0,,1.005887649455624,-0.0369905956112852,0.0982725088662623,,0.3057575649584535,0.4574593716899959,-0.5079118985342803,-0.106836433174296,0.0582310319183115,0.9456967213114754,399.0,446.0,,False,,,,,,False,True,True,0.5738726790450929,False,0.3836126646388158,0.5125575935463097,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
2026-07-08,1109,信大,TWSE,14.7,False,False,False,False,-0.0212247118761439,872.0,,-0.3612113941851363,0.0056439199589533,-0.0145251396648045,,0.7084822773730844,0.5360954046533144,0.5489562922768727,0.0906015620619105,0.0053833980309056,0.010758196721311475,1578.0,1567.0,,False,,,,,,False,False,False,0.0043881033642123,False,0.5699868909007071,0.5123873917519021,,same_date_layer0_candidate_unadjusted_ohlcv_with_risk_proxy_fields,blocked_20260708_route_support_not_materialized,blocked_20260708_layer4_primary80_not_materialized,blocked_not_materialized_in_same_date_contract,True,True,False,False,False,False,False,False,False,True,False
