ticker,market,report_period,t164sb05_status,t164sb03_status,cashflow_fields_available,balance_sheet_fields_available,current_ratio_available,official_announcement_timestamp_matched,market_available_at,announcement_subject,after_close_next_trading_day_policy,candidate_count,t05st01_query_payload,detail_payload,detail_period,detail_note,official_asof_policy,quarter_end_date_used_as_available_at,query_response_datetime_used_as_available_at,conservative_deadline_proxy_used_as_available_at,exact_internal_upload_timestamp_found,after_close_next_trading_day_policy_applies,accepted_for_experiments,accepted_for_formal,diagnostic_only
2317,TWSE,114Q4,code=200 rows=89,code=200 rows=77,True,True,True,True,115/03/16 14:15:14,公告本公司董事會通過114年第四季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2317"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2317"", ""marketKind"": ""sii"", ""enterDate"": ""1150316""}",114/1/1~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2454,TWSE,115Q1,code=200 rows=71,code=200 rows=65,True,True,True,True,115/04/30 17:58:34,公告本公司115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2454"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2454"", ""marketKind"": ""sii"", ""enterDate"": ""1150428""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2454,TWSE,114Q4,code=200 rows=81,code=200 rows=65,True,True,True,True,115/02/26 17:08:56,公告本公司114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2454"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2454"", ""marketKind"": ""sii"", ""enterDate"": ""1150224""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2881,TWSE,115Q1,code=200 rows=83,code=200 rows=59,True,False,False,True,115/05/21 17:54:45,公告本公司董事會決議通過115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2881"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""2881"", ""marketKind"": ""sii"", ""enterDate"": ""1150521""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2881,TWSE,114Q4,code=200 rows=88,code=200 rows=58,True,False,False,True,115/03/12 16:40:19,公告本公司董事會決議通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2881"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""2"", ""companyId"": ""2881"", ""marketKind"": ""sii"", ""enterDate"": ""1150312""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2882,TWSE,115Q1,code=200 rows=80,code=200 rows=58,True,False,False,True,115/05/14 17:43:48,公告本公司董事會通過115年度第1季決算財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2882"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""2"", ""companyId"": ""2882"", ""marketKind"": ""sii"", ""enterDate"": ""1150513""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
2882,TWSE,114Q4,code=200 rows=97,code=200 rows=57,True,False,False,True,115/03/11 16:26:16,公告本公司董事會通過114年度決算財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""2882"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""5"", ""companyId"": ""2882"", ""marketKind"": ""sii"", ""enterDate"": ""1150309""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
3008,TWSE,115Q1,code=200 rows=54,code=200 rows=59,True,True,True,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,0,"{""companyId"": ""3008"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",,,,unmatched_blocked_no_silent_backfill,False,False,False,False,False,False,False,True
3008,TWSE,114Q4,code=200 rows=59,code=200 rows=59,True,True,True,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,0,"{""companyId"": ""3008"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",,,,unmatched_blocked_no_silent_backfill,False,False,False,False,False,False,False,True
3711,TWSE,115Q1,code=200 rows=75,code=200 rows=64,True,True,True,True,115/05/12 16:36:40,公告本公司115年第1季合併財務報告經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""3711"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""2"", ""companyId"": ""3711"", ""marketKind"": ""sii"", ""enterDate"": ""1150512""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
