period,decision_architecture_variant,row_count,weekly_snapshot_count,stock_allowed_day_share,stock_exposure_share,fallback_00631L_exposure_share,weak_stock_environment_share,forward_eval_available_20d_share
P1,0050_reference,411,411,0.0,0.0,0.0,0.1654501216545012,1.0
P1,00631L_always_baseline,411,411,0.0,0.0,1.0,0.1654501216545012,1.0
P1,always_stock_best_previous_baseline,411,411,1.0,1.0,0.0,0.1654501216545012,0.9927007299270073
P1,hybrid_stock_eligibility_gate_then_best_incumbent_or_reentry_selector,411,411,0.8345498783454988,0.8345498783454988,0.1654501216545012,0.1654501216545012,0.9927007299270073
P1,stock_allowed_only_when_pool_breadth_positive_else_00631L,411,411,0.9610705596107056,0.9610705596107056,0.038929440389294405,0.1654501216545012,0.9951338199513382
P1,stock_allowed_when_31_confidence_breadth_positive_else_00631L,411,411,0.7737226277372263,0.7737226277372263,0.22627737226277372,0.1654501216545012,0.9951338199513382
P1,stock_allowed_when_reentry_breadth_confirmed_else_00631L,411,411,0.9975669099756691,0.9975669099756691,0.0024330900243309003,0.1654501216545012,0.9951338199513382
P1,stock_allowed_when_top10_dispersion_clear_else_00631L,411,411,0.26034063260340634,0.26034063260340634,0.7396593673965937,0.1654501216545012,1.0
P2,0050_reference,51,51,0.0,0.0,0.0,0.13725490196078433,1.0
P2,00631L_always_baseline,51,51,0.0,0.0,1.0,0.13725490196078433,1.0
P2,always_stock_best_previous_baseline,51,51,1.0,1.0,0.0,0.13725490196078433,1.0
P2,hybrid_stock_eligibility_gate_then_best_incumbent_or_reentry_selector,51,51,0.8627450980392157,0.8627450980392157,0.13725490196078433,0.13725490196078433,1.0
P2,stock_allowed_only_when_pool_breadth_positive_else_00631L,51,51,1.0,1.0,0.0,0.13725490196078433,1.0
P2,stock_allowed_when_31_confidence_breadth_positive_else_00631L,51,51,0.7843137254901961,0.7843137254901961,0.21568627450980393,0.13725490196078433,1.0
P2,stock_allowed_when_reentry_breadth_confirmed_else_00631L,51,51,1.0,1.0,0.0,0.13725490196078433,1.0
P2,stock_allowed_when_top10_dispersion_clear_else_00631L,51,51,0.27450980392156865,0.27450980392156865,0.7254901960784313,0.13725490196078433,1.0
P2|2024_latest,0050_reference,103,103,0.0,0.0,0.0,0.4368932038834951,1.0
P2|2024_latest,00631L_always_baseline,103,103,0.0,0.0,1.0,0.4368932038834951,1.0
P2|2024_latest,always_stock_best_previous_baseline,103,103,1.0,1.0,0.0,0.4368932038834951,1.0
P2|2024_latest,hybrid_stock_eligibility_gate_then_best_incumbent_or_reentry_selector,103,103,0.5631067961165048,0.5631067961165048,0.4368932038834951,0.4368932038834951,1.0
P2|2024_latest,stock_allowed_only_when_pool_breadth_positive_else_00631L,103,103,0.883495145631068,0.883495145631068,0.11650485436893204,0.4368932038834951,1.0
P2|2024_latest,stock_allowed_when_31_confidence_breadth_positive_else_00631L,103,103,0.47572815533980584,0.47572815533980584,0.5242718446601942,0.4368932038834951,1.0
P2|2024_latest,stock_allowed_when_reentry_breadth_confirmed_else_00631L,103,103,1.0,1.0,0.0,0.4368932038834951,1.0
P2|2024_latest,stock_allowed_when_top10_dispersion_clear_else_00631L,103,103,0.22330097087378642,0.22330097087378642,0.7766990291262136,0.4368932038834951,1.0
P2|2024_latest|2026YTD,0050_reference,26,26,0.0,0.0,0.0,0.6153846153846154,0.8076923076923077
P2|2024_latest|2026YTD,00631L_always_baseline,26,26,0.0,0.0,1.0,0.6153846153846154,0.8076923076923077
P2|2024_latest|2026YTD,always_stock_best_previous_baseline,26,26,1.0,1.0,0.0,0.6153846153846154,0.7692307692307693
P2|2024_latest|2026YTD,hybrid_stock_eligibility_gate_then_best_incumbent_or_reentry_selector,26,26,0.38461538461538464,0.38461538461538464,0.6153846153846154,0.6153846153846154,0.8076923076923077
P2|2024_latest|2026YTD,stock_allowed_only_when_pool_breadth_positive_else_00631L,26,26,0.8846153846153846,0.8846153846153846,0.11538461538461539,0.6153846153846154,0.7692307692307693
P2|2024_latest|2026YTD,stock_allowed_when_31_confidence_breadth_positive_else_00631L,26,26,0.19230769230769232,0.19230769230769232,0.8076923076923077,0.6153846153846154,0.8076923076923077
P2|2024_latest|2026YTD,stock_allowed_when_reentry_breadth_confirmed_else_00631L,26,26,1.0,1.0,0.0,0.6153846153846154,0.7692307692307693
P2|2024_latest|2026YTD,stock_allowed_when_top10_dispersion_clear_else_00631L,26,26,0.2692307692307692,0.2692307692307692,0.7307692307692307,0.6153846153846154,0.8076923076923077
outside_requested_periods,0050_reference,1,1,0.0,0.0,0.0,0.0,1.0
outside_requested_periods,00631L_always_baseline,1,1,0.0,0.0,1.0,0.0,1.0
outside_requested_periods,always_stock_best_previous_baseline,1,1,1.0,1.0,0.0,0.0,1.0
outside_requested_periods,hybrid_stock_eligibility_gate_then_best_incumbent_or_reentry_selector,1,1,1.0,1.0,0.0,0.0,1.0
outside_requested_periods,stock_allowed_only_when_pool_breadth_positive_else_00631L,1,1,1.0,1.0,0.0,0.0,1.0
outside_requested_periods,stock_allowed_when_31_confidence_breadth_positive_else_00631L,1,1,1.0,1.0,0.0,0.0,1.0
outside_requested_periods,stock_allowed_when_reentry_breadth_confirmed_else_00631L,1,1,1.0,1.0,0.0,0.0,1.0
outside_requested_periods,stock_allowed_when_top10_dispersion_clear_else_00631L,1,1,1.0,1.0,0.0,0.0,1.0
