period,field,row_count,missing_count,missing_share
outside_requested_periods,00631L_BIAS60,8,0,0.0
outside_requested_periods,forward_excess_vs_0050_5d,8,0,0.0
outside_requested_periods,forward_excess_vs_0050_10d,8,0,0.0
outside_requested_periods,forward_excess_vs_0050_20d,8,0,0.0
outside_requested_periods,forward_excess_vs_0050_30d,8,0,0.0
outside_requested_periods,forward_excess_vs_0050_40d,8,0,0.0
outside_requested_periods,forward_excess_vs_00631L_5d,8,0,0.0
outside_requested_periods,forward_excess_vs_00631L_10d,8,0,0.0
outside_requested_periods,forward_excess_vs_00631L_20d,8,0,0.0
outside_requested_periods,forward_excess_vs_00631L_30d,8,0,0.0
outside_requested_periods,forward_excess_vs_00631L_40d,8,0,0.0
