signal_date,entry_date,exit_date,ticker,name,variant,timing_variant,entry_price_column,exit_price_column,entry_price,exit_price,gross_return,formal_cost_model_cost,net_return_formal_cost,roundtrip_10bp_net_return,roundtrip_20bp_net_return,roundtrip_40bp_net_return,holding_days,selected_rank,RS20,RS60,pool_rank,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,00631L_plus_excess_return_reconstruction_used,forward_return_as_rule,future_return_as_rule,diagnostic_only,not_live_rule,blocked_reason
2015-01-09,2015-01-09,2015-01-16,1216,統一,dynamic80_top1_rs20_31_bonus_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-09,2015-01-12,2015-01-19,1216,統一,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-09,2015-01-12,2015-01-16,1216,統一,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-09,2015-01-12,2015-01-19,1216,統一,dynamic80_top1_rs20_31_bonus_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-16,2015-01-16,2015-01-23,1314,中石化,dynamic80_top1_rs20_31_bonus_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,,,,22,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-16,2015-01-19,2015-01-26,1314,中石化,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,,,,22,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-16,2015-01-19,2015-01-23,1314,中石化,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,,,,22,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-16,2015-01-19,2015-01-26,1314,中石化,dynamic80_top1_rs20_31_bonus_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,,,,22,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-23,2015-01-23,2015-01-30,1303,南亞,dynamic80_top1_rs20_31_bonus_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,,,,12,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-23,2015-01-26,2015-02-02,1303,南亞,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,,,,12,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-23,2015-01-26,2015-01-30,1303,南亞,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,,,,12,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-23,2015-01-26,2015-02-02,1303,南亞,dynamic80_top1_rs20_31_bonus_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,,,,12,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-30,2015-01-30,2015-02-06,1101,台泥,dynamic80_top1_rs20_31_bonus_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-30,2015-02-02,2015-02-09,1101,台泥,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-30,2015-02-02,2015-02-06,1101,台泥,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-01-30,2015-02-02,2015-02-09,1101,台泥,dynamic80_top1_rs20_31_bonus_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,,,,30,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-02-06,2015-02-06,2015-02-13,5474,聰泰,dynamic80_top1_rs20_31_bonus_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.2842861405395422,,76,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-02-06,2015-02-09,2015-02-24,5474,聰泰,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,15.0,1.0,0.2842861405395422,,76,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2015-02-06,2015-02-09,2015-02-13,5474,聰泰,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.2842861405395422,,76,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
