signal_date,signal_variant,ticker,name,market,selected_rank,RS20,RS60,RS20_rank_within_80,pool_rank,within80_rank,is_legacy_7_core,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,capital_support_context,high_exhaustion_or_breakdown_context,layer4_risk_aware_score,rs20_31_bonus_score,rs20_risk_context_score,signal_timing,selection_rule_basis,registry_source_found,source_path,source_type,exact_adjusted_close_path_ready,tradable_close_proxy_available,blocked_reason,price_source_hierarchy,exact_stock_return_reconstruction_method,00631L_plus_excess_return_reconstruction_used,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2015-01-09,dynamic80_top1_rs20_31_bonus_proxy,1216,統一,TWSE,,,,,30,30,False,True,True,True,True,0.3846936028717948,0.02,-0.0107653198564102,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-01-16,dynamic80_top1_rs20_31_bonus_proxy,1314,中石化,TWSE,,,,,22,22,False,True,True,True,True,0.4331651430354609,0.02,-0.0083417428482269,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-01-23,dynamic80_top1_rs20_31_bonus_proxy,1303,南亞,TWSE,,,,,12,12,False,True,True,True,True,0.4498075328226951,0.02,-0.0075096233588652,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-01-30,dynamic80_top1_rs20_31_bonus_proxy,1101,台泥,TWSE,,,,,30,30,False,True,True,True,True,0.4344871887163923,0.02,-0.0082756405641803,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-02-06,dynamic80_top1_rs20_31_bonus_proxy,5474,聰泰,TPEx,1.0,0.2842861405395422,,1.0,76,76,False,False,True,True,False,0.6274688103711632,0.2842861405395422,0.3156595810581004,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-02-13,dynamic80_top1_rs20_31_bonus_proxy,9938,百和,TWSE,1.0,0.216290352136216,,1.0,71,71,False,False,True,True,False,0.6285978759114448,0.216290352136216,0.2477202459317882,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-02-26,dynamic80_top1_rs20_31_bonus_proxy,9938,百和,TWSE,1.0,0.3121026551376851,,1.0,76,76,False,False,True,True,False,0.6335600417340088,0.3121026551376851,0.3437806572243855,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-03-06,dynamic80_top1_rs20_31_bonus_proxy,9938,百和,TWSE,1.0,0.3286853365133673,,1.0,70,70,False,False,True,True,False,0.6389479486109879,0.3286853365133673,0.3606327339439167,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-03-13,dynamic80_top1_rs20_31_bonus_proxy,1589,永冠-KY,TWSE,1.0,0.2969895381185843,,1.0,61,61,False,False,True,True,False,0.6376165733158319,0.2969895381185843,0.3288703667843759,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-03-20,dynamic80_top1_rs20_31_bonus_proxy,4733,上緯,TWSE,1.0,0.4857330290549246,,1.0,73,73,False,False,True,True,False,0.628893535482546,0.4857330290549246,0.5171777058290519,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-03-27,dynamic80_top1_rs20_31_bonus_proxy,4733,上緯,TWSE,1.0,0.4196021850702121,,1.0,69,69,False,False,True,True,False,0.6388508611523461,0.4196021850702121,0.4515447281278293,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-04-02,dynamic80_top1_rs20_31_bonus_proxy,1452,宏益,TWSE,1.0,0.3923722908314008,,1.0,38,38,False,False,True,True,False,0.6666131937753005,0.3923722908314008,0.4257029505201658,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-04-10,dynamic80_top1_rs20_31_bonus_proxy,3455,由田,TPEx,1.0,0.4837221593320531,0.5142651243103862,1.0,79,79,False,False,True,True,False,0.6069227739638147,0.4837221593320531,0.5140682980302438,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-04-17,dynamic80_top1_rs20_31_bonus_proxy,4153,鈺緯,TPEx,1.0,0.2339343883135315,0.4065406421359554,1.0,66,66,False,False,True,True,False,0.6373811844179628,0.2339343883135315,0.2658034475344296,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-04-24,dynamic80_top1_rs20_31_bonus_proxy,8341,日友,TWSE,1.0,0.4671914622122437,,1.0,41,41,False,False,True,True,False,0.6438590220364038,0.4671914622122437,0.4993844133140639,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-04-30,dynamic80_top1_rs20_31_bonus_proxy,1464,得力,TWSE,1.0,0.3955454854922073,0.6578124725616907,1.0,80,80,False,False,True,True,False,0.6247347956154388,0.3955454854922073,0.4267822252729792,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-05-08,dynamic80_top1_rs20_31_bonus_proxy,3008,大立光,TWSE,1.0,0.1482789190814333,0.1450535034547706,1.0,34,34,False,False,True,True,False,0.6993349067377522,0.1482789190814333,0.1832456644183209,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-05-15,dynamic80_top1_rs20_31_bonus_proxy,6147,頎邦,TPEx,1.0,0.1497941068985955,0.1100231653902119,1.0,40,40,False,False,True,True,False,0.6849058425983826,0.1497941068985955,0.1840393990285146,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-05-22,dynamic80_top1_rs20_31_bonus_proxy,3552,同致,TPEx,1.0,0.2573425457051304,0.4030540083157443,1.0,74,74,False,False,True,True,False,0.6227062158320278,0.2573425457051304,0.2884778564967317,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-05-29,dynamic80_top1_rs20_31_bonus_proxy,3556,禾瑞亞,TPEx,1.0,0.2530948711268721,0.3365101781350725,1.0,46,46,False,False,True,True,False,0.6339784073876802,0.2530948711268721,0.2847937914962561,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-06-05,dynamic80_top1_rs20_31_bonus_proxy,1457,宜進,TWSE,1.0,0.2659202244151356,0.3424789311102377,1.0,64,64,False,False,True,True,False,0.6086489762626317,0.2659202244151356,0.2963526732282671,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-06-12,dynamic80_top1_rs20_31_bonus_proxy,6414,樺漢,TWSE,1.0,0.2497816509966501,0.2912930500587187,1.0,17,17,False,True,True,True,False,0.7111634138882917,0.2697816509966501,0.2853398216910647,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-06-18,dynamic80_top1_rs20_31_bonus_proxy,3529,力旺,TPEx,1.0,0.3091145032045271,0.4288038284850882,1.0,12,12,False,True,True,True,False,0.7072111872357784,0.3291145032045271,0.344475062566316,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-06-26,dynamic80_top1_rs20_31_bonus_proxy,9802,鈺齊-KY,TWSE,1.0,0.1877896504001577,0.0635506746029999,1.0,52,52,False,False,True,True,False,0.6261641602300977,0.1877896504001577,0.2190978584116625,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-07-03,dynamic80_top1_rs20_31_bonus_proxy,2455,全新,TWSE,1.0,0.306416859676935,0.3432310400809761,1.0,63,63,False,False,True,True,False,0.6125883216937744,0.306416859676935,0.3370462757616237,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-07-09,dynamic80_top1_rs20_31_bonus_proxy,6217,中探針,TPEx,1.0,0.2600212193411133,0.0728464430646238,1.0,67,67,False,False,True,True,False,0.6016849435485092,0.2600212193411133,0.2901054665185387,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-07-17,dynamic80_top1_rs20_31_bonus_proxy,8096,擎亞,TPEx,1.0,0.3895633306274597,-0.0678772327720957,1.0,67,67,False,False,True,True,False,0.600973947045907,0.3895633306274597,0.419612027979755,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-07-24,dynamic80_top1_rs20_31_bonus_proxy,6217,中探針,TPEx,1.0,0.0949825440481971,0.0622534120063339,1.0,15,15,False,True,True,True,False,0.72166706007055,0.1149825440481971,0.1310658970517246,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-07-31,dynamic80_top1_rs20_31_bonus_proxy,1707,葡萄王,TWSE,1.0,0.1297659186717495,0.245393948889063,1.0,67,67,False,False,True,True,False,0.5799188807511996,0.1297659186717495,0.1587618627093094,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-08-07,dynamic80_top1_rs20_31_bonus_proxy,2383,台光電,TWSE,1.0,0.2067773294660638,0.3701983198796651,1.0,55,55,False,False,True,True,False,0.6023994943950431,0.2067773294660638,0.2368973041858159,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-08-14,dynamic80_top1_rs20_31_bonus_proxy,2327,國巨*,TWSE,1.0,0.1664298291216331,-0.0576108292832057,1.0,66,66,False,False,True,True,False,0.5611918482178335,0.1664298291216331,0.1944894215325247,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-08-21,dynamic80_top1_rs20_31_bonus_proxy,9951,皇田,TPEx,1.0,0.2913706584412193,0.4317213708801344,1.0,80,80,False,False,True,True,False,0.5391857936818936,0.2913706584412193,0.3183299481253139,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-08-28,dynamic80_top1_rs20_31_bonus_proxy,2231,為升,TWSE,2.0,0.1292516973392005,-0.0623264061530067,2.0,22,22,False,True,True,True,False,0.6235573047237061,0.1492516973392005,0.1604295625753858,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-09-04,dynamic80_top1_rs20_31_bonus_proxy,9951,皇田,TPEx,1.0,0.2904604971435524,0.3425388713821066,1.0,64,64,False,False,True,True,False,0.5630550129085946,0.2904604971435524,0.3186132477889821,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-09-11,dynamic80_top1_rs20_31_bonus_proxy,6176,瑞儀,TWSE,1.0,0.2016597936367199,0.0150336032018668,1.0,40,40,False,False,True,True,False,0.5820361131308354,0.2016597936367199,0.2307615992932616,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-09-18,dynamic80_top1_rs20_31_bonus_proxy,4162,智擎,TPEx,1.0,0.3322186683008827,0.0179179952335577,1.0,61,61,False,False,True,True,False,0.5569596698472263,0.3322186683008827,0.360066651793244,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-09-25,dynamic80_top1_rs20_31_bonus_proxy,4162,智擎,TPEx,1.0,0.4050559069078443,0.0220246570383294,1.0,65,65,False,False,True,True,False,0.5616590056265393,0.4050559069078443,0.4331388571891713,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-10-02,dynamic80_top1_rs20_31_bonus_proxy,1464,得力,TWSE,1.0,0.3807074606922913,0.2573770915133526,1.0,58,58,False,False,True,True,False,0.560568822258055,0.3807074606922913,0.408735901805194,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-10-08,dynamic80_top1_rs20_31_bonus_proxy,6143,振曜,TPEx,1.0,0.3564414802216904,0.2682307448361871,1.0,72,72,False,False,True,True,False,0.6173938981992134,0.3564414802216904,0.3873111751316511,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-10-16,dynamic80_top1_rs20_31_bonus_proxy,8433,弘帆,TPEx,1.0,0.411140835283921,0.5620987596844308,1.0,60,60,False,False,True,True,False,0.6194199075186287,0.411140835283921,0.4421118306598524,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-10-23,dynamic80_top1_rs20_31_bonus_proxy,1527,鑽全,TWSE,1.0,0.189898761096994,0.5641632228479401,1.0,24,24,False,True,True,True,False,0.698022739702628,0.2098987610969939,0.2247998980821254,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-10-30,dynamic80_top1_rs20_31_bonus_proxy,4129,聯合,TPEx,1.0,0.2343333965682059,0.5634993920562257,1.0,49,49,False,False,True,True,False,0.6499425325880696,0.2343333965682059,0.2668305231976093,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
2015-11-06,dynamic80_top1_rs20_31_bonus_proxy,2439,美律,TWSE,1.0,0.411254619287835,0.6491337660117944,1.0,61,61,False,False,True,True,False,0.6123962436872494,0.411254619287835,0.4418744314721975,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,False,,,False,False,missing_selected_stock_price_registry_row,adjusted_close_exact > tradable_close_proxy > blocked,selected_ticker_adjusted_close_path_only,False,True,False,False,False,False,False,False,True,False
