signal_date,period_label,selected_ticker,consensus_trigger_source_quality,route_support_weighted_score,route_support_variant_count,route_support_variant_flags,c2_market_health_gate,c2_definition,score_formula,future_return_used
2015-01-30,P1,2603,p1_exact_consensus4_trigger,0.6966148551220627,4.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2015-04-30,P1,2316,p1_exact_consensus4_trigger,0.6107819115601689,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2015-05-15,P1,3008,p1_exact_consensus4_trigger,0.6388777407677176,4.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2015-10-08,P1,6143,p1_exact_consensus4_trigger,0.584283207569169,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2015-10-16,P1,8433,p1_exact_consensus4_trigger,0.5721224022835281,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2016-02-26,P1,3324,p1_exact_consensus4_trigger,0.5694226343389187,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2017-02-03,P1,3346,p1_exact_consensus4_trigger,0.6984874173044445,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2017-05-12,P1,1301,p1_exact_consensus4_trigger,0.5341679415703848,0.0,,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2017-08-25,P1,2603,p1_exact_consensus4_trigger,0.635916844991342,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2017-10-27,P1,6121,p1_exact_consensus4_trigger,0.607802997832062,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
