period,contract_rows,stock_exception_rows,stock_unadjusted_ready_rows,official_unadjusted_ohlc_ready_share,adjusted_close_ready_share,proxy_trigger_stock_rows
full,592,26,26,1.0,0.0,0
P1,411,21,21,1.0,0.0,0
P2,180,5,5,1.0,0.0,0
2024_latest,129,4,4,1.0,0.0,0
2026YTD,26,3,3,1.0,0.0,0
