snapshot_date,ticker,name,market,pool_rank,pool_selection_score,layer4_risk_aware_score,layer4_broad_opportunity_net_score,layer4_c_quota_base_score,route_support_variant_count,route_support_mode_count,two_plus_opportunity_labels,signal_date,baseline_candidate_score,candidate_source,candidate_rank_before_penalty,latest_revenue_year_month,revenue_month_count_available,revenue_spike_anomaly_score,revenue_lumpiness_score,revenue_concentration_ratio_top1_12m,revenue_concentration_ratio_top3_12m,revenue_growth_persistence_score,revenue_reversion_risk_score,low_base_distortion_flag,ttm_vs_recent_growth_gap,long_revenue_stability_context,source_quality,data_coverage,missingness,pit_asof_audit,monthly_revenue_yoy,trailing_3m_revenue_yoy,trailing_6m_revenue_yoy,ttm_revenue_yoy,3y_revenue_cagr,5y_revenue_cagr,abnormal_revenue_review_flag,revenue_anomaly_report_text,revenue_anomaly_penalty_score,revenue_hygiene_confidence_level,business_model_keyword_proxy_used_as_risk_basis,industry_classification_used_as_risk_basis,hard_exclude_applied,future_data_violation_count
2015-01-09,2330,台積電,TWSE,1,0.4359781813333332,0.4359781813333332,0.3747209333333333,0.5215047546666667,,,True,2015-01-09,0.4359781813333332,layer4_primary80_top10_pool_selection_score,1,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,2454,聯發科,TWSE,2,0.4356362244102563,0.4356362244102563,0.37426292664437,0.5211042505863991,,,True,2015-01-09,0.4356362244102563,layer4_primary80_top10_pool_selection_score,2,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,3481,群創,TWSE,3,0.4352942674871795,0.4352942674871795,0.3738049199554069,0.5207037465061315,,,True,2015-01-09,0.4352942674871795,layer4_primary80_top10_pool_selection_score,3,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,2317,鴻海,TWSE,4,0.4349523105641025,0.4349523105641025,0.3733469132664436,0.520303242425864,,,True,2015-01-09,0.4349523105641025,layer4_primary80_top10_pool_selection_score,4,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,2409,友達,TWSE,5,0.4346103536410255,0.4346103536410255,0.3728889065774804,0.5199027383455963,,,True,2015-01-09,0.4346103536410255,layer4_primary80_top10_pool_selection_score,5,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,3474,華亞科,TWSE,6,0.4342683967179486,0.4342683967179486,0.3724308998885172,0.5195022342653288,,,True,2015-01-09,0.4342683967179486,layer4_primary80_top10_pool_selection_score,6,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,3008,大立光,TWSE,7,0.4339264397948718,0.4339264397948718,0.371972893199554,0.5191017301850613,,,True,2015-01-09,0.4339264397948718,layer4_primary80_top10_pool_selection_score,7,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,3673,TPK-KY,TWSE,8,0.4335844828717948,0.4335844828717948,0.3715148865105908,0.5187012261047937,,,True,2015-01-09,0.4335844828717948,layer4_primary80_top10_pool_selection_score,8,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,2498,宏達電,TWSE,9,0.4332425259487178,0.4332425259487178,0.3710568798216275,0.518300722024526,,,True,2015-01-09,0.4332425259487178,layer4_primary80_top10_pool_selection_score,9,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
2015-01-09,2474,可成,TWSE,10,0.432900569025641,0.432900569025641,0.3705988731326644,0.5179002179442587,,,True,2015-01-09,0.432900569025641,layer4_primary80_top10_pool_selection_score,10,,0,,,,,,,False,,blocked,blocked_no_monthly_revenue_rows,blocked,blocked_no_monthly_revenue_rows,blocked_no_monthly_revenue_rows,,,,,,,False,營收時間序列資料不足，無法判斷 revenue anomaly。,0.0,blocked_missing_revenue_anomaly_context,False,False,False,0
