raw_field,owner_block,ownership,applicability_aware,not_applicable_fill_zero,double_count_allowed,source_block,derived_flag,no_double_count
RS5,A_momentum_opportunity,exclusive,False,False,False,,,
RS10,A_momentum_opportunity,exclusive,False,False,False,,,
RS20,A_momentum_opportunity,exclusive,False,False,False,,,
RS5_10_acceleration,A_momentum_opportunity,exclusive,False,False,False,,,
RS20_change,A_momentum_opportunity,exclusive,False,False,False,,,
relative_0050_spread_change,A_momentum_opportunity,exclusive,False,False,False,,,
short_cycle_repair_trigger,A_momentum_opportunity,exclusive,False,False,False,,,
RS40,B_trend_persistence,exclusive,False,False,False,,,
RS60_context,B_trend_persistence,exclusive,False,False,False,,,
MA20_slope,B_trend_persistence,exclusive,False,False,False,,,
MA60_slope,B_trend_persistence,exclusive,False,False,False,,,
above_MA20,B_trend_persistence,exclusive,False,False,False,,,
above_MA60,B_trend_persistence,exclusive,False,False,False,,,
above_MA120,B_trend_persistence,exclusive,False,False,False,,,
RS_persistence,B_trend_persistence,exclusive,False,False,False,,,
return20_continuity,B_trend_persistence,exclusive,False,False,False,,,
return40_continuity,B_trend_persistence,exclusive,False,False,False,,,
traded_value_rank_5D,C_capital_chip_support,exclusive,True,False,False,,,
traded_value_rank_20D,C_capital_chip_support,exclusive,True,False,False,,,
traded_value_rank_60D,C_capital_chip_support,exclusive,True,False,False,,,
turnover_rank_change,C_capital_chip_support,exclusive,True,False,False,,,
volume_concentration,C_capital_chip_support,exclusive,True,False,False,,,
institutional_flow,C_capital_chip_support,exclusive,True,False,False,,,
margin_balance_change,C_capital_chip_support,exclusive,True,False,False,,,
short_balance_change,C_capital_chip_support,exclusive,True,False,False,,,
securities_lending_change,C_capital_chip_support,exclusive,True,False,False,,,
foreign_ownership_change,C_capital_chip_support,exclusive,True,False,False,,,
TDCC_bucket_change_optional_P3_2,C_capital_chip_support,exclusive,True,False,False,,,
BIAS20_self_percentile,D_risk_overheat_crowding,exclusive,False,False,False,,,
BIAS20_zscore,D_risk_overheat_crowding,exclusive,False,False,False,,,
BIAS60_self_percentile,D_risk_overheat_crowding,exclusive,False,False,False,,,
BIAS60_zscore,D_risk_overheat_crowding,exclusive,False,False,False,,,
volatility20,D_risk_overheat_crowding,exclusive,False,False,False,,,
volatility60,D_risk_overheat_crowding,exclusive,False,False,False,,,
drawdown,D_risk_overheat_crowding,exclusive,False,False,False,,,
large_down_day_count,D_risk_overheat_crowding,exclusive,False,False,False,,,
blowoff_turnover,D_risk_overheat_crowding,exclusive,False,False,False,,,
risk_score,D_risk_overheat_crowding,exclusive,False,False,False,,,
risk_bucket,D_risk_overheat_crowding,exclusive,False,False,False,,,
market_crowding_warning,D_risk_overheat_crowding,exclusive,False,False,False,,,
lifecycle_state,E_lifecycle_fit,exclusive,False,False,False,,,
state_transition_direction,E_lifecycle_fit,exclusive,False,False,False,,,
cooling_flag,E_lifecycle_fit,exclusive,False,False,False,,,
turning_flag,E_lifecycle_fit,exclusive,False,False,False,,,
healthy_flag,E_lifecycle_fit,exclusive,False,False,False,,,
overheat_flag,E_lifecycle_fit,exclusive,False,False,False,,,
weakening_flag,E_lifecycle_fit,exclusive,False,False,False,,,
state_confidence,E_lifecycle_fit,exclusive,False,False,False,,,
state_age,E_lifecycle_fit,exclusive,False,False,False,,,
revenue_yoy_mom_3m,F_fundamental_quality,exclusive,False,False,False,,,
quarterly_revenue_growth,F_fundamental_quality,exclusive,False,False,False,,,
EPS,F_fundamental_quality,exclusive,False,False,False,,,
profitability,F_fundamental_quality,exclusive,False,False,False,,,
margin,F_fundamental_quality,exclusive,False,False,False,,,
current_ratio,F_fundamental_quality,exclusive,False,False,False,,,
operating_cashflow,F_fundamental_quality,exclusive,False,False,False,,,
free_cashflow,F_fundamental_quality,exclusive,False,False,False,,,
inventory_receivable_risk,F_fundamental_quality,exclusive,False,False,False,,,
debt_leverage_solvency,F_fundamental_quality,exclusive,False,False,False,,,
listing_status,F_fundamental_quality,exclusive,False,False,False,,,
market_cap_investability,F_fundamental_quality,exclusive,False,False,False,,,
PE_PB_PS_self_percentile_risk_context,F_fundamental_quality,exclusive,False,False,False,,,
overheat_warning_derived,D_risk_overheat_crowding,derived_crosswalk_to_E,False,False,False,D_risk_overheat_crowding,overheat_flag,True
short_cycle_repair_derived,A_momentum_opportunity,derived_crosswalk_to_E,False,False,False,A_momentum_opportunity,turning_flag,True
