date,ticker,name,market,close,turnover_value,turnover_5d,turnover_20d,turnover_60d,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,top300_count_last20_trading_days,layer0_core_top250,layer0_buffer_candidate_251_300,buffer_confirmation,layer0_active_scope,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-08,4550,長佳,TPEx,25.9,2573737,1829105.4,1361771.75,1070143.9,1614.0,1708.0,1780.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1525,江申,TWSE,66.9,866090,1802359.2,1924838.6,2870768.1666666665,1615.0,1637.0,1561.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1526,日馳,TWSE,14.45,978200,1801991.0,1482495.0,2132893.433333333,1616.0,1693.0,1646.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2947,振宇五金,TPEx,69.0,1208715,1792415.0,1225239.75,1323588.4333333333,1617.0,1736.0,1742.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2949,欣新網,TPEx,76.7,2567837,1784821.0,1192475.9,886312.6833333333,1618.0,1739.0,1802.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1796,金穎生技,TPEx,38.2,5564157,1767011.6,836288.85,872238.5,1619.0,1798.0,1807.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2012,春雨,TWSE,16.1,1525738,1754798.0,3512109.55,1946716.8666666667,1620.0,1486.0,1667.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6474,華豫寧,TPEx,37.35,1551734,1754539.0,2591113.55,3150676.4833333334,1621.0,1566.0,1545.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,7753,星亞,TPEx,42.75,432313,1748637.6,3142452.45,3046813.9,1622.0,1514.0,1549.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4439,冠星-KY,TWSE,95.0,3733658,1744963.6,1593838.8,2231186.8833333333,1623.0,1678.0,1636.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1324,地球,TWSE,10.5,704250,1744592.0,1136101.25,1408740.2333333334,1624.0,1749.0,1728.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3710,連展投控,TPEx,5.91,1470545,1739529.4,2471155.0,4850745.583333333,1625.0,1581.0,1424.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8429,金麗-KY,TWSE,6.3,1028079,1734534.2,1717529.0,2404505.05,1626.0,1664.0,1609.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8107,大億金茂,TPEx,12.65,570445,1733183.2,1577685.85,1980645.8,1627.0,1679.0,1661.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6955,邦睿生技-創,TWSE,118.0,1440910,1732479.0,2208245.4,2246038.6333333333,1628.0,1603.0,1631.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8440,綠電,TPEx,21.3,1002283,1708803.4,1986181.65,5627736.933333334,1629.0,1632.0,1389.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6649,台生材,TPEx,39.4,4266442,1699489.0,1616826.7,1891663.6666666667,1630.0,1674.0,1674.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4995,晶達,TPEx,45.3,1359058,1697161.6,1383403.75,2561954.683333333,1631.0,1706.0,1593.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6921,嘉雨思-創,TWSE,67.9,541760,1690586.4,2713534.5,5419630.4,1632.0,1550.0,1402.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4205,中華食,TPEx,73.1,914511,1668939.6,2272360.65,2925956.2666666666,1633.0,1598.0,1559.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8092,建暐,TPEx,14.0,830989,1663172.4,1150522.5,3600691.7,1634.0,1745.0,1508.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3521,台鋼建設,TPEx,12.4,1083558,1647795.4,1386411.35,1499931.0,1635.0,1705.0,1716.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2008,高興昌,TWSE,29.55,396964,1643215.4,1175133.9,2395268.25,1636.0,1742.0,1613.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
