item,requested_date_ready,actual_date,row_count,source_path
radar_historical_window_source,True,2026-07-08,7892,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_adhoc_20260708_eod_historical_window_source_fill_20260708\vnext_adhoc_20260708_historical_window_scoped_common_stock_etf_rows.csv
benchmark_etf_gap_source,True,2026-07-01|2026-07-02,4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_adhoc_20260708_benchmark_etf_gap_fill_20260708\vnext_adhoc_20260708_benchmark_etf_gap_rows.csv
common_stock_feature_refresh,True,2026-07-08,1955,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_dynamic_candidate_pool_data_materialization_20260706\daily_market_features.csv
layer0_compact_active_universe,True,2026-07-08,299,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_adhoc_20260708_eod_historical_window_source_fill_20260708\vnext_adhoc_20260708_historical_window_scoped_common_stock_etf_rows.csv
rs20_top3_reference,True,2026-07-08,3,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_adhoc_20260708_eod_historical_window_source_fill_20260708\vnext_adhoc_20260708_historical_window_scoped_common_stock_etf_rows.csv
c2_market_health_gate_exact,True,2026-07-08,2,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_dynamic_candidate_pool_data_materialization_20260706\benchmark_features.csv
benchmark_gap_readiness_json,True,2026-07-08,1,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_adhoc_20260708_benchmark_etf_gap_fill_20260708\readiness_for_core_vnext_adhoc_20260708_benchmark_etf_gap_fill.json
window_readiness_json,True,2026-07-08,1,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_adhoc_20260708_eod_historical_window_source_fill_20260708\readiness_for_core_vnext_adhoc_20260708_historical_window_source_fill.json
