period,requested_start,requested_end,actual_start,actual_end,field,rows,available_rows,missing_rows,available_share,diagnostic_only
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,current_assets,42069,46,42023,0.0010934417266871093,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,current_liabilities,42069,46,42023,0.0010934417266871093,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,current_ratio,42069,46,42023,0.0010934417266871093,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,current_ratio_available,42069,46,42023,0.0010934417266871093,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,current_assets,18482,22,18460,0.0011903473650037874,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,current_liabilities,18482,22,18460,0.0011903473650037874,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,current_ratio,18482,22,18460,0.0011903473650037874,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,current_ratio_available,18482,22,18460,0.0011903473650037874,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,current_assets,13234,21,13213,0.0015868218225782076,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,current_liabilities,13234,21,13213,0.0015868218225782076,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,current_ratio,13234,21,13213,0.0015868218225782076,True
2024-latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,current_ratio_available,13234,21,13213,0.0015868218225782076,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,current_assets,2674,3,2671,0.0011219147344801795,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,current_liabilities,2674,3,2671,0.0011219147344801795,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,current_ratio,2674,3,2671,0.0011219147344801795,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,current_ratio_available,2674,3,2671,0.0011219147344801795,True
