ticker,name,market,fiscal_period,source_period,table_index,source_file,available_date,current_assets,current_liabilities,current_ratio,current_ratio_sample_from_radar,source_quality,parser_status,pit_timing_policy,full_universe_materialized,diagnostic_only,not_live_rule
1101,台泥,sii,2015Q4,104q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,90593376,68083832,1.3306151157884298,1.330615,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1101,台泥,sii,2024Q4,113q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,173380580,86373382,2.007338094043834,2.007338,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1101,台泥,sii,2026Q1,115q01,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,184722314,82516661,2.238606261588796,2.238606,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1102,亞泥,sii,2015Q4,104q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,52844285,65223927,0.8101978434999781,0.810198,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1102,亞泥,sii,2024Q4,113q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,116609749,79652998,1.4639718771162888,1.463972,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1102,亞泥,sii,2026Q1,115q01,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,94593171,73132379,1.293451304243774,1.293451,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1103,嘉泥,sii,2015Q4,104q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,10683575,1526371,6.999330438012777,6.99933,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1103,嘉泥,sii,2024Q4,113q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,9848540,2925659,3.36626380586391,3.366264,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1103,嘉泥,sii,2026Q1,115q01,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,9362513,3870134,2.4191702406169915,2.41917,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1104,環泥,sii,2015Q4,104q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,3040355,2461629,1.2350987902726203,1.235099,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
