date,ticker,name,market,close,return_20d,return_60d,RS20,RS60,traded_value_rank_20d,traded_value_rank_60d,drawdown_from_60d_high,drawdown_from_120d_high,bias20,bias60,bias20_zscore_252d,bias60_zscore_252d,volatility20,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,price_position_low_base,stock_specific_bias_score,recent_runup_penalty,recent_runup_inverse,improving_rs_score,liquidity_improvement,quality_support,overheat_veto_flag,overheat_inverse,sample_scope,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-08,1101,台泥,TWSE,23.1,-0.035490605427974886,-0.08514851485148511,-0.06012828658739511,-0.40090536358207596,256.0,281.0,-0.09411764705882353,-0.32258064516129026,-0.0389016018306636,-0.05123729335660754,-0.6911591174435588,-0.4534119268598261,0.014912660751469627,,,0.560067467847354,0.8186352292560696,0.0,1.0,0.30496912985064506,0.7231684083484045,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1102,亞泥,TWSE,35.8,0.05604719764011801,0.007032348804500765,0.031409516480697786,-0.3087244999260901,265.0,312.0,-0.020519835841313228,-0.04787234042553201,0.0035741817926973063,0.02241896330144222,0.27002696003563237,1.0542790243334585,0.012947451032062992,,,0.08966877201152613,0.5782883902666166,0.07721773847011895,0.9227822615298811,0.6649975577245835,0.7345089848675914,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1103,嘉泥,TWSE,13.45,0.003731343283581934,-0.025362318840579823,-0.020906337875838288,-0.34111916757117067,1412.0,1433.0,-0.03928571428571437,-0.05944055944055948,-0.00884303610906434,-0.0009285051067782213,-0.30459061569544904,0.35697627910756935,0.008402677129312293,,,0.12514430014430028,0.8572094883569723,0.004797441364605344,0.9952025586353946,0.4884326207469442,0.3807306800761901,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1104,環泥,TWSE,27.1,-0.06712564543889843,-0.07508532423208192,-0.09176332659831865,-0.39084217296267276,912.0,982.0,-0.07823129251700667,-0.1143790849673203,-0.029977628635346698,-0.03872302689920182,-0.7708603871909742,-0.6904299506494025,0.018005730164438485,,,0.24344552635869154,0.723828019740239,0.0,1.0,0.23897876862698564,0.5343532457180061,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1108,幸福,TWSE,13.9,0.01090909090909098,-0.0639730639730639,-0.013728590250329242,-0.37972991270365475,1366.0,1420.0,-0.06711409395973156,-0.09150326797385622,0.005606800506420706,-0.01214095350903166,0.18523666383004844,-0.09474367910952512,0.0078115291364899584,,,0.19928548103307941,0.9621025283561899,0.014025974025974117,0.9859740259740258,0.4823232767389425,0.3989508052412838,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1109,信大,TWSE,14.7,0.0034129692832762792,-0.045454545454545525,-0.021224711876143942,-0.36121139418513637,1578.0,1567.0,-0.05161290322580647,-0.0725552050473186,0.005643919958953303,-0.01452513966480451,0.5489562922768727,0.09060156206191051,0.005383398030905677,,,0.15641486607193333,0.9637593751752358,0.004388103364212359,0.9956118966357876,0.46691863779307313,0.32908140947513786,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1110,東泥,TWSE,15.95,0.03571428571428559,0.05280528052805278,0.011076604554865366,-0.26295156820253807,1427.0,1455.0,-0.0031250000000000444,-0.04491017964071853,0.02473498233215543,0.05286319379503812,1.0510096105445554,2.1315548809621423,0.01465632169857376,,,0.08487025948103788,0.14737804761514306,0.08464223973417734,0.9153577602658227,0.6596331606964246,0.3775368641203312,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1201,味全,TWSE,12.5,0.020408163265306145,-0.06015037593984962,-0.0042295178941140765,-0.37590722467044047,1347.0,1358.0,-0.06716417910447758,-0.3589743589743589,0.005631536604987941,0.002874908069800064,0.4664691745632201,0.9098320451927914,0.01083352722753217,,,0.5856826976229961,0.6360671819228835,0.026239067055393618,0.9737609329446064,0.5202119216946107,0.3975704839566383,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1203,味王,TWSE,43.4,0.033333333333333215,0.05212121212121201,0.008695652173912993,-0.26363563660937883,1785.0,1757.0,-0.019209039548022666,-0.019209039548022666,0.008071540560943058,0.008559587900383692,0.10809046377986074,-0.03734174171918038,0.01111383584895561,,,0.06333333333333334,0.9850633033123278,0.08107936507936485,0.9189206349206351,0.6527923525522572,0.26875040820325263,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
2026-07-08,1210,大成,TWSE,56.9,0.044036697247706424,0.03266787658802173,0.019399016088286203,-0.2830889721425691,487.0,527.0,-0.03231292517006801,-0.03231292517006801,0.017252167694645548,0.051464473805783895,0.4198517849952434,1.0473440104085392,0.012218120487717072,,,0.0789871504157218,0.5810623958365844,0.08057505357826705,0.919424946421733,0.6631369517859869,0.6551413234516441,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False
