date,ticker,name,market,close,return_20d,return_60d,RS20,RS60,traded_value_rank_20d,traded_value_rank_60d,drawdown_from_60d_high,drawdown_from_120d_high,bias20,bias60,bias20_zscore_252d,bias60_zscore_252d,volatility20,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,price_position_low_base,stock_specific_bias_score,recent_runup_penalty,recent_runup_inverse,improving_rs_score,liquidity_improvement,quality_support,overheat_veto_flag,overheat_inverse,sample_scope,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,score_variant,low_base_score,low_base_rank
2026-07-08,8070,長華*,TWSE,53.3,-0.10269360269360273,0.11740041928721157,-0.12733128385302295,-0.19835642944337928,330.0,361.0,-0.18376722817764168,-0.6246478873239436,-0.04634102701735554,0.03259553446021202,-0.30891511457219817,0.02747653561028339,0.027474055398290762,0.3902027027027027,True,0.8337672281776417,0.9890093857558866,0.08609364081062183,0.9139063591893781,0.33418396214420126,0.701621534557922,0.7597972972972974,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7600956143156973,1
2026-07-08,2231,為升,TWSE,115.5,0.2106918238993709,-0.07228915662650603,0.1860541427399507,-0.3880460053570969,543.0,571.0,-0.18947368421052635,-0.5800000000000001,0.15673510265398094,0.05608046327339222,0.6443392963155435,0.07652371065187447,0.03979362342793596,,,0.8394736842105264,0.9693905157392502,0.2708894878706198,0.7291105121293802,0.6879313185532406,0.6333181110217909,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7525648639411326,2
2026-07-08,1536,和大,TWSE,50.0,0.010101010101010166,0.007049345417925457,-0.014536671058410056,-0.3087075033126654,579.0,586.0,-0.11504424778761058,-0.6598639455782314,0.012196973531049204,-0.016941376937444796,0.14180188640042904,0.02192422228178327,0.02799987354129168,,,0.7650442477876106,0.9912303110872867,0.018156532960158407,0.9818434670398416,0.5509623412785869,0.6148291067532032,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.74931308109266,3
2026-07-08,8937,合騏*,TPEx,26.35,0.08436213991769548,-0.30657894736842106,0.059724458758275256,-0.6223357960990119,1284.0,1064.0,-0.3329113924050633,-0.8403030303030303,-0.03735500958991689,-0.1410409649027491,0.07914782181514589,-0.005329251814758298,0.056218214489679674,,,0.9829113924050633,0.9978682992740967,0.10846560846560849,0.8915343915343915,0.5486908132300338,0.3669764190188587,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7461970662237292,4
2026-07-08,6153,嘉聯益,TWSE,20.05,-0.02195121951219514,0.14899713467048725,-0.04658890067161536,-0.1667597140601036,371.0,489.0,-0.1799591002044989,-0.5109756097560976,-0.08811824900511656,0.022220333942303716,-0.7448639937891226,-0.26033525594101026,0.04497749755541026,,,0.8299591002044989,0.8958658976235959,0.109264565425024,0.8907354345749761,0.5252777094953125,0.7250424293472795,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7450892523189472,5
2026-07-08,2498,宏達電,TWSE,44.95,0.0405092592592593,0.13081761006289305,0.01587157809983908,-0.1849392386676978,376.0,333.0,-0.10813492063492058,-0.38424657534246576,0.0012808375563848617,0.03167316961211841,-0.05509901215582863,0.056394644267182964,0.04341922346728196,,,0.6631577516851489,0.9774421422931268,0.14801624737945498,0.851983752620545,0.7145618949938122,0.6402850852902082,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7415610715103218,6
2026-07-08,1460,宏遠,TWSE,7.31,0.05179856115107895,0.033946251768033786,0.027160879991658726,-0.28181059696255706,1124.0,1279.0,-0.14801864801864806,-0.4741007194244605,-0.0018433808971121124,0.026132934047680134,-0.060943689142846445,0.16702178753713898,0.03750076347941126,,,0.7980186480186481,0.9331912849851444,0.091492068014612,0.908507931985388,0.6789323283096276,0.485848339026391,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7413320322387347,7
2026-07-08,6550,北極星藥業-KY,TWSE,13.4,0.019011406844106515,-0.25139664804469264,-0.005626274315313706,-0.5671534967752835,1073.0,992.0,-0.31979695431472077,-0.6246498599439776,0.006950967499530503,-0.12883302633004656,0.6339355377779016,-0.14360943436259757,0.028384021469595073,,,0.9697969543147208,0.9425562262549609,0.024443237370994093,0.9755567626290059,0.433214998643769,0.45457884386567954,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7379660717288723,8
2026-07-08,1305,華夏,TWSE,13.2,0.05179282868525892,-0.2500000000000001,0.027155147525838697,-0.565756848730591,757.0,735.0,-0.2521246458923513,-0.5310834813499112,0.0024681982153027526,-0.018648163063007206,-0.06721715698055268,-0.26704248527233976,0.034503164329290306,,,0.9021246458923513,0.8931830058910641,0.06659077973819005,0.93340922026181,0.5041567289190839,0.5552530110404817,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7374951337087967,9
2026-07-08,6505,台塑化,TWSE,59.4,0.13358778625954204,0.07803992740471855,0.10895010510012182,-0.2377169213258723,271.0,324.0,-0.001680672268907557,-0.48347826086956525,0.08453532955997822,0.1085536547433903,0.4898720890140744,0.39991896276161876,0.030161381666252006,,,0.67,0.8400324148953525,0.22898500528763338,0.7710149947123666,0.7923736639005204,0.7357297358834245,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,balanced,0.7369767081687608,10
2026-07-08,6505,台塑化,TWSE,59.4,0.13358778625954204,0.07803992740471855,0.10895010510012182,-0.2377169213258723,271.0,324.0,-0.001680672268907557,-0.48347826086956525,0.08453532955997822,0.1085536547433903,0.4898720890140744,0.39991896276161876,0.030161381666252006,,,0.67,0.8400324148953525,0.22898500528763338,0.7710149947123666,0.7923736639005204,0.7357297358834245,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.75496343560552,1
2026-07-08,1301,台塑,TWSE,58.0,0.27332601536772794,0.12840466926070038,0.24868833420830772,-0.18735217946989047,78.0,138.0,-0.06602254428341392,-0.3875395987328406,0.1013529551388559,0.15407574451150774,0.7008881721647671,0.8120714663550087,0.051515011073356015,,,0.6258019646752948,0.6751714134579965,0.4455825867401638,0.5544174132598362,0.8594784920830014,0.8511303902352103,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7496602509609329,2
2026-07-08,2231,為升,TWSE,115.5,0.2106918238993709,-0.07228915662650603,0.1860541427399507,-0.3880460053570969,543.0,571.0,-0.18947368421052635,-0.5800000000000001,0.15673510265398094,0.05608046327339222,0.6443392963155435,0.07652371065187447,0.03979362342793596,,,0.8394736842105264,0.9693905157392502,0.2708894878706198,0.7291105121293802,0.6879313185532406,0.6333181110217909,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7415967203456627,3
2026-07-08,2867,三商壽,TWSE,8.86,0.07134220072551378,0.15064935064935048,0.04670451956609356,-0.16510749808124037,555.0,645.0,0.0,-0.4662650602409639,0.04149523921476428,0.10455452127659548,0.1480444987232643,0.3048545569295561,0.01432386351719233,,,0.67,0.8780581772281776,0.20220187712327953,0.7977981228767205,0.7740804912523098,0.6502990373617995,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7396307484031063,4
2026-07-08,5347,世界,TPEx,176.5,0.09627329192546585,0.40637450199203196,0.07163561076604563,0.09061765326144111,41.0,45.0,-0.19772727272727275,-0.19772727272727275,-0.052984574111334726,0.059158873831074654,-0.9202405541703937,-0.18019284528294008,0.054315228719131955,,,0.4833333333333334,0.9279228618868239,0.42178791488880335,0.5782120851111967,0.8339641000858975,0.7837295081967214,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7384404169359855,5
2026-07-08,2498,宏達電,TWSE,44.95,0.0405092592592593,0.13081761006289305,0.01587157809983908,-0.1849392386676978,376.0,333.0,-0.10813492063492058,-0.38424657534246576,0.0012808375563848617,0.03167316961211841,-0.05509901215582863,0.056394644267182964,0.04341922346728196,,,0.6631577516851489,0.9774421422931268,0.14801624737945498,0.851983752620545,0.7145618949938122,0.6402850852902082,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7360222581630389,6
2026-07-08,6919,康霈*,TWSE,104.5,0.14457831325301207,0.0,0.11994063209359185,-0.31575684873059084,233.0,275.0,-0.12552301255230125,-0.3852941176470588,0.04151093835650577,0.03363006923837797,0.3774919949301337,0.6737239556443428,0.051498380134578636,,,0.6820589602647195,0.7305104177422629,0.1858864027538727,0.8141135972461273,0.7381327665417805,0.7439947839046201,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7334408302394976,7
2026-07-08,1326,台化,TWSE,64.7,0.3409326424870467,0.2952952952952952,0.31629496132762647,-0.020461553435295654,95.0,140.0,-0.04852941176470582,-0.3418107833163784,0.15037560563630725,0.2539367217403945,0.6158138015643047,0.7192158784466719,0.0514436508789762,,,0.5422560987772524,0.7123136486213313,0.654891852128467,0.345108147871533,0.9138353577906997,0.8208357728337237,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7300671903300281,8
2026-07-08,3008,大立光,TWSE,3950.0,0.016731016731016624,0.6255144032921811,-0.007906664428403598,0.30975755456159026,18.0,30.0,-0.23965351299326276,-0.23965351299326276,-0.12615452685139095,0.10991429775675554,-1.407605249419129,0.2183357517006071,0.051701325340808624,0.3902027027027027,True,0.5858196984279755,0.9126656993197572,0.48022186963985897,0.519778130360141,0.6597724122648866,0.8602100409836066,0.7597972972972974,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7283883913898592,9
2026-07-08,4763,材料*-KY,TWSE,48.9,0.0782800441014333,0.16985645933014348,0.05364236294201308,-0.14590038940044736,336.0,387.0,-0.04678362573099415,-0.7009174311926605,0.05365223012281817,0.10788052713061203,0.522637293582037,1.001562903266564,0.03042477044146044,,,0.6967836257309942,0.5993748386933744,0.225207174496329,0.774792825503671,0.792040274763931,0.7102607939382386,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,momentum_low_base,0.7255538845273583,10
2026-07-08,8070,長華*,TWSE,53.3,-0.10269360269360273,0.11740041928721157,-0.12733128385302295,-0.19835642944337928,330.0,361.0,-0.18376722817764168,-0.6246478873239436,-0.04634102701735554,0.03259553446021202,-0.30891511457219817,0.02747653561028339,0.027474055398290762,0.3902027027027027,True,0.8337672281776417,0.9890093857558866,0.08609364081062183,0.9139063591893781,0.33418396214420126,0.701621534557922,0.7597972972972974,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,quality_low_base,0.7703013566067758,1
2026-07-08,1477,聚陽,TWSE,224.0,-0.008849557522123908,0.03944315545243615,-0.03348723868154413,-0.2763136932781547,258.0,314.0,-0.03239740820734338,-0.33825701624815363,0.011172553887823122,0.019185561537878204,0.17840582820597647,0.32254514923073263,0.020103201005669695,0.3902027027027027,True,0.5209908761213431,0.8709819403077069,0.028924980665119848,0.9710750193348802,0.5061529712055199,0.7427144786989663,0.7597972972972974,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,quality_low_base,0.7325229657740462,2
2026-07-08,3008,大立光,TWSE,3950.0,0.016731016731016624,0.6255144032921811,-0.007906664428403598,0.30975755456159026,18.0,30.0,-0.23965351299326276,-0.23965351299326276,-0.12615452685139095,0.10991429775675554,-1.407605249419129,0.2183357517006071,0.051701325340808624,0.3902027027027027,True,0.5858196984279755,0.9126656993197572,0.48022186963985897,0.519778130360141,0.6597724122648866,0.8602100409836066,0.7597972972972974,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,quality_low_base,0.7291285313507336,3
2026-07-08,8454,富邦媒,TWSE,271.0,-0.3645955451348183,0.5013850415512466,-0.3892332262942385,0.1856281928206558,266.0,348.0,-0.3971078976640712,-0.3971078976640712,-0.15995040297582153,0.09406540169559952,-1.3629353793388024,0.45736110235662497,0.054308623308096673,0.3902027027027027,True,0.9236002966258806,0.8170555590573501,0.36768236380424757,0.6323176361957524,0.26806451968267575,0.753350233182589,0.7597972972972974,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,quality_low_base,0.7245232743482817,4
2026-07-08,8937,合騏*,TPEx,26.35,0.08436213991769548,-0.30657894736842106,0.059724458758275256,-0.6223357960990119,1284.0,1064.0,-0.3329113924050633,-0.8403030303030303,-0.03735500958991689,-0.1410409649027491,0.07914782181514589,-0.005329251814758298,0.056218214489679674,,,0.9829113924050633,0.9978682992740967,0.10846560846560849,0.8915343915343915,0.5486908132300338,0.3669764190188587,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,quality_low_base,0.7221240952695025,5
2026-07-08,2231,為升,TWSE,115.5,0.2106918238993709,-0.07228915662650603,0.1860541427399507,-0.3880460053570969,543.0,571.0,-0.18947368421052635,-0.5800000000000001,0.15673510265398094,0.05608046327339222,0.6443392963155435,0.07652371065187447,0.03979362342793596,,,0.8394736842105264,0.9693905157392502,0.2708894878706198,0.7291105121293802,0.6879313185532406,0.6333181110217909,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,quality_low_base,0.7189553925165483,6
2026-07-08,1536,和大,TWSE,50.0,0.010101010101010166,0.007049345417925457,-0.014536671058410056,-0.3087075033126654,579.0,586.0,-0.11504424778761058,-0.6598639455782314,0.012196973531049204,-0.016941376937444796,0.14180188640042904,0.02192422228178327,0.02799987354129168,,,0.7650442477876106,0.9912303110872867,0.018156532960158407,0.9818434670398416,0.5509623412785869,0.6148291067532032,0.5,False,1.0,layer0_active_reference_not_exact_layer4_primary80,True,False,False,False,False,False,False,False,True,False,quality_low_base,0.7179190626530936,7
