period,requested_start,requested_end,actual_start,actual_end,weekly_snapshot_count,event_rows,unique_ticker_count,average_weekly_ticker_count,median_weekly_ticker_count,average_turnover_share_5d,median_turnover_share_5d,p25_turnover_share_5d,p75_turnover_share_5d,diagnostic_only
ALL,2015-01-09,2026-06-29,2015-01-09,2026-06-29,592,236800,1843,400.0,400.0,0.9339828252604127,0.9355984128403049,0.9217428308326843,0.9472815675076546,True
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,411,164400,1668,400.0,400.0,0.9327420672131925,0.93481771758824,0.9215871682774188,0.9459765941512257,True
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,180,72000,1430,400.0,400.0,0.9367931468793661,0.9379009014006727,0.9218280375454221,0.9496078920736097,True
2024_latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,129,51600,1297,400.0,400.0,0.9402725465121766,0.9419015662160394,0.9257443447395112,0.9541520178661592,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,26,10400,901,400.0,400.0,0.9575333177992718,0.9559861871933714,0.9539830192975366,0.9592750791067276,True
