signal_date,entry_date,exit_date,ticker,name,market,route_variant,source_family,selected_branch,selected_route_mode,timing_variant,entry_price_kind,exit_price_kind,entry_open,entry_close,exit_close,entry_price,exit_price,gross_return_unadjusted,path_ready,blocked_reason,entry_source_quality,exit_source_quality,entry_source_route,exit_source_route,adjusted_close_ready,adjustment_policy,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,diagnostic_unit_notional_twd,diagnostic_share_qty,buy_gross_twd,sell_gross_twd,buy_cost_twd,sell_cost_twd,total_cost_twd,net_return_local_ep05_cost_unit_notional,cost_application_status,radar_audit_rows
2023-01-06,2023-01-09,2023-01-16,1513,中興電,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_31_bonus_proxy,next_day_close_entry_fixed_5td_exit,unadjusted_close,unadjusted_close,72.6,73.2,71.6,73.2,71.6,-0.021857923497267895,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,13661.0,999985.2000000001,978127.6,1425.0,4328.0,5753.0,-0.02757171836276492,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-06,2023-01-13,1513,中興電,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_31_bonus_proxy,same_week_close_to_next_rebalance_close_comparator,unadjusted_close,unadjusted_close,71.7,72.7,70.6,72.7,70.6,-0.028885832187070304,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,13755.0,999988.5,971102.9999999999,1425.0,4297.0,5722.0,-0.03455865134632209,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-09,2023-01-16,1513,中興電,TWSE,dynamic80_top1_rs20_31_bonus_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_31_bonus_proxy,next_day_open_entry_fixed_5td_exit,unadjusted_open,unadjusted_close,72.6,73.2,71.6,72.6,71.6,-0.01377410468319562,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,13774.0,999992.3999999999,986218.3999999999,1425.0,4364.0,5789.0,-0.019535310650683722,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-09,2023-01-16,1720,生達,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_7core_context_proxy,next_day_close_entry_fixed_5td_exit,unadjusted_close,unadjusted_close,57.8,57.2,55.8,57.2,55.8,-0.02447552447552459,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17482.0,999970.4,975495.6,1425.0,4316.0,5741.0,-0.030173695625124747,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-06,2023-01-13,1720,生達,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_7core_context_proxy,same_week_close_to_next_rebalance_close_comparator,unadjusted_close,unadjusted_close,59.0,57.8,55.2,57.8,55.2,-0.04498269896193763,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17301.0,999997.7999999999,955015.2000000001,1425.0,4226.0,5651.0,-0.05056166086891557,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-09,2023-01-16,1720,生達,TWSE,dynamic80_top1_rs20_7core_context_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_7core_context_proxy,next_day_open_entry_fixed_5td_exit,unadjusted_open,unadjusted_close,57.8,57.2,55.8,57.8,55.8,-0.03460207612456745,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17301.0,999997.7999999999,965395.7999999999,1425.0,4272.0,5697.0,-0.04024174404657054,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-09,2023-01-16,1720,生達,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_proxy,next_day_close_entry_fixed_5td_exit,unadjusted_close,unadjusted_close,57.8,57.2,55.8,57.2,55.8,-0.02447552447552459,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17482.0,999970.4,975495.6,1425.0,4316.0,5741.0,-0.030173695625124747,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-06,2023-01-13,1720,生達,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_proxy,same_week_close_to_next_rebalance_close_comparator,unadjusted_close,unadjusted_close,59.0,57.8,55.2,57.8,55.2,-0.04498269896193763,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17301.0,999997.7999999999,955015.2000000001,1425.0,4226.0,5651.0,-0.05056166086891557,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-09,2023-01-16,1720,生達,TWSE,dynamic80_top1_rs20_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top1_rs20_proxy,next_day_open_entry_fixed_5td_exit,unadjusted_open,unadjusted_close,57.8,57.2,55.8,57.8,55.8,-0.03460207612456745,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17301.0,999997.7999999999,965395.7999999999,1425.0,4272.0,5697.0,-0.04024174404657054,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-09,2023-01-16,1720,生達,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,unadjusted_close,unadjusted_close,57.8,57.2,55.8,57.2,55.8,-0.02447552447552459,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17482.0,999970.4,975495.6,1425.0,4316.0,5741.0,-0.030173695625124747,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-06,2023-01-13,1720,生達,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,unadjusted_close,unadjusted_close,59.0,57.8,55.2,57.8,55.2,-0.04498269896193763,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17301.0,999997.7999999999,955015.2000000001,1425.0,4226.0,5651.0,-0.05056166086891557,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
2023-01-06,2023-01-09,2023-01-16,1720,生達,TWSE,dynamic80_top3_rs20_risk_tiebreak_proxy,legacy_rs20_operating_mode,mega_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,unadjusted_open,unadjusted_close,57.8,57.2,55.8,57.8,55.8,-0.03460207612456745,True,,official_unadjusted_ohlcv_twse_stock_day,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,False,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,True,False,False,False,False,False,False,False,True,False,1000000,17301.0,999997.7999999999,965395.7999999999,1425.0,4272.0,5697.0,-0.04024174404657054,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,1368
