period,lifecycle_selector_candidate_variant,row_count,weekly_snapshot_count,state_match_share,top10_scope_share,avoid_late_stage_share,forward_eval_available_20d_share,switch_rate_proxy,avg_consecutive_same_recommendation_snapshots_proxy
P1,clean_trend_low_risk_selector,411,411,0.9854014598540146,1.0,0.014598540145985401,0.9927007299270073,0.9148418491484185,1.0924574209245743
P1,high_confidence_bonus_lifecycle_selector,411,411,1.0,1.0,0.009732360097323601,0.9927007299270073,0.9002433090024331,1.1119221411192215
P1,incumbent_reentry_baseline,411,411,1.0,1.0,0.12408759124087591,0.9927007299270073,0.5498783454987834,1.8345498783454988
P1,lifecycle_top10_clean_state_selector,411,411,0.9902676399026764,1.0,0.009732360097323601,0.9951338199513382,0.9367396593673966,1.0608272506082725
P1,pullback_repair_reacceleration_selector,411,411,0.7177615571776156,1.0,0.058394160583941604,0.9951338199513382,0.9391727493917275,1.0632603406326033
P1,raw_top1_baseline,411,411,1.0,1.0,0.038929440389294405,0.9927007299270073,0.9099756690997567,1.0973236009732361
P1,reentry_confirmed_lifecycle_selector,411,411,0.8613138686131386,1.0,0.04866180048661801,0.9951338199513382,0.8880778588807786,1.1143552311435523
P1,stock_vs_00631L_best_baseline,411,411,1.0,1.0,0.12652068126520682,0.9927007299270073,0.5766423357664233,1.6666666666666667
P1,strengthening_not_overheated_selector,411,411,0.9854014598540146,1.0,0.014598540145985401,0.9927007299270073,0.9367396593673966,1.0656934306569343
P2,clean_trend_low_risk_selector,51,51,1.0,1.0,0.0,1.0,0.9019607843137255,1.0980392156862746
P2,high_confidence_bonus_lifecycle_selector,51,51,1.0,1.0,0.0,1.0,0.9215686274509803,1.0784313725490196
P2,incumbent_reentry_baseline,51,51,1.0,1.0,0.3333333333333333,1.0,0.6274509803921569,1.5686274509803921
P2,lifecycle_top10_clean_state_selector,51,51,1.0,1.0,0.0,1.0,0.9215686274509803,1.1176470588235294
P2,pullback_repair_reacceleration_selector,51,51,0.6078431372549019,1.0,0.0196078431372549,1.0,0.9411764705882353,1.0784313725490196
P2,raw_top1_baseline,51,51,1.0,1.0,0.13725490196078433,1.0,0.8823529411764706,1.1176470588235294
P2,reentry_confirmed_lifecycle_selector,51,51,0.9607843137254902,1.0,0.09803921568627451,1.0,0.8823529411764706,1.1372549019607843
P2,stock_vs_00631L_best_baseline,51,51,1.0,1.0,0.3137254901960784,1.0,0.6274509803921569,1.5686274509803921
P2,strengthening_not_overheated_selector,51,51,1.0,1.0,0.0,1.0,0.9803921568627451,1.0196078431372548
P2|2024_latest,clean_trend_low_risk_selector,103,103,0.9223300970873787,1.0,0.07766990291262135,1.0,0.9223300970873787,1.0776699029126213
P2|2024_latest,high_confidence_bonus_lifecycle_selector,103,103,1.0,1.0,0.009708737864077669,1.0,0.9223300970873787,1.0776699029126213
P2|2024_latest,incumbent_reentry_baseline,103,103,1.0,1.0,0.2815533980582524,1.0,0.5242718446601942,2.1067961165048543
P2|2024_latest,lifecycle_top10_clean_state_selector,103,103,0.9902912621359223,1.0,0.009708737864077669,1.0,0.8932038834951457,1.1262135922330097
P2|2024_latest,pullback_repair_reacceleration_selector,103,103,0.8446601941747572,1.0,0.1262135922330097,0.9902912621359223,0.8737864077669902,1.1553398058252426
P2|2024_latest,raw_top1_baseline,103,103,1.0,1.0,0.06796116504854369,1.0,0.9029126213592233,1.0970873786407767
P2|2024_latest,reentry_confirmed_lifecycle_selector,103,103,0.8252427184466019,1.0,0.1941747572815534,1.0,0.8932038834951457,1.1262135922330097
P2|2024_latest,stock_vs_00631L_best_baseline,103,103,1.0,1.0,0.27184466019417475,1.0,0.5728155339805825,1.9029126213592233
P2|2024_latest,strengthening_not_overheated_selector,103,103,0.9223300970873787,1.0,0.038834951456310676,1.0,0.941747572815534,1.058252427184466
P2|2024_latest|2026YTD,clean_trend_low_risk_selector,26,26,0.8076923076923077,1.0,0.19230769230769232,0.7692307692307693,0.8846153846153846,1.1538461538461537
P2|2024_latest|2026YTD,high_confidence_bonus_lifecycle_selector,26,26,1.0,1.0,0.038461538461538464,0.7692307692307693,0.9230769230769231,1.0769230769230769
P2|2024_latest|2026YTD,incumbent_reentry_baseline,26,26,1.0,1.0,0.5384615384615384,0.7692307692307693,0.8846153846153846,1.1153846153846154
P2|2024_latest|2026YTD,lifecycle_top10_clean_state_selector,26,26,0.9615384615384616,1.0,0.038461538461538464,0.7692307692307693,0.8846153846153846,1.1153846153846154
P2|2024_latest|2026YTD,pullback_repair_reacceleration_selector,26,26,0.5769230769230769,1.0,0.34615384615384615,0.7692307692307693,0.8846153846153846,1.1153846153846154
P2|2024_latest|2026YTD,raw_top1_baseline,26,26,1.0,1.0,0.38461538461538464,0.7692307692307693,0.8846153846153846,1.1153846153846154
P2|2024_latest|2026YTD,reentry_confirmed_lifecycle_selector,26,26,0.9615384615384616,1.0,0.5,0.7692307692307693,0.8846153846153846,1.1153846153846154
P2|2024_latest|2026YTD,stock_vs_00631L_best_baseline,26,26,1.0,1.0,0.5384615384615384,0.7692307692307693,0.8846153846153846,1.1153846153846154
