period,lifecycle_selector_candidate_variant,row_count,weekly_snapshot_count,state_match_share,top10_scope_share,avoid_late_stage_share,forward_eval_available_20d_share,switch_rate_proxy,avg_consecutive_same_recommendation_snapshots_proxy
P2|2024_latest|2026YTD,strengthening_not_overheated_selector,26,26,0.8076923076923077,1.0,0.15384615384615385,0.7692307692307693,0.8846153846153846,1.1538461538461537
outside_requested_periods,clean_trend_low_risk_selector,1,1,1.0,1.0,0.0,1.0,0.0,2.0
outside_requested_periods,high_confidence_bonus_lifecycle_selector,1,1,1.0,1.0,0.0,1.0,1.0,1.0
outside_requested_periods,incumbent_reentry_baseline,1,1,1.0,1.0,1.0,1.0,1.0,1.0
outside_requested_periods,lifecycle_top10_clean_state_selector,1,1,1.0,1.0,0.0,1.0,1.0,1.0
outside_requested_periods,pullback_repair_reacceleration_selector,1,1,1.0,1.0,0.0,1.0,1.0,1.0
outside_requested_periods,raw_top1_baseline,1,1,1.0,1.0,0.0,1.0,0.0,2.0
outside_requested_periods,reentry_confirmed_lifecycle_selector,1,1,1.0,1.0,0.0,1.0,1.0,1.0
outside_requested_periods,stock_vs_00631L_best_baseline,1,1,1.0,1.0,0.0,1.0,1.0,1.0
outside_requested_periods,strengthening_not_overheated_selector,1,1,1.0,1.0,0.0,1.0,1.0,1.0
