period,alternative_rule,rows,unique_ticker_count,avg_weekly_count,policy,diagnostic_only
P2,current_top300_buffer100,72000,1430,400.0,audit_only_not_rule_change,True
P2,core_top300_only,54000,1256,300.0,audit_only_not_rule_change,True
P2,core_top300_min_2_appearances_last_4w_proxy,48720,1078,272.1787709497207,audit_only_not_rule_change,True
P2,rank20_top300_plus_buffer100_proxy,64352,1222,357.5111111111111,audit_only_not_rule_change,True
P2,rank60_top300_plus_buffer100_proxy,60641,1048,336.89444444444445,audit_only_not_rule_change,True
P2,surge_exception_watchlist_only,72000,1430,400.0,audit_only_not_rule_change,True
2024_latest,current_top300_buffer100,51600,1297,400.0,audit_only_not_rule_change,True
2024_latest,core_top300_only,38700,1119,300.0,audit_only_not_rule_change,True
2024_latest,core_top300_min_2_appearances_last_4w_proxy,34863,942,272.3671875,audit_only_not_rule_change,True
2024_latest,rank20_top300_plus_buffer100_proxy,46180,1099,357.984496124031,audit_only_not_rule_change,True
2024_latest,rank60_top300_plus_buffer100_proxy,43523,958,337.38759689922483,audit_only_not_rule_change,True
2024_latest,surge_exception_watchlist_only,51600,1297,400.0,audit_only_not_rule_change,True
2026YTD,current_top300_buffer100,10400,901,400.0,audit_only_not_rule_change,True
2026YTD,core_top300_only,7800,709,300.0,audit_only_not_rule_change,True
2026YTD,core_top300_min_2_appearances_last_4w_proxy,6780,515,271.2,audit_only_not_rule_change,True
2026YTD,rank20_top300_plus_buffer100_proxy,9432,782,362.7692307692308,audit_only_not_rule_change,True
2026YTD,rank60_top300_plus_buffer100_proxy,9009,718,346.5,audit_only_not_rule_change,True
2026YTD,surge_exception_watchlist_only,10400,901,400.0,audit_only_not_rule_change,True
