period,appearance_bin,ticker_count,share_of_unique,diagnostic_only
ALL,1_4_weeks,248,0.13456321215409658,True
ALL,5_12_weeks,198,0.10743353228431904,True
ALL,13_26_weeks,234,0.12696690179055886,True
ALL,27_52_weeks,230,0.12479652740097667,True
ALL,53_104_weeks,269,0.14595767769940315,True
ALL,105_plus_weeks,664,0.3602821486706457,True
P1,1_4_weeks,279,0.1672661870503597,True
P1,5_12_weeks,216,0.12949640287769784,True
P1,13_26_weeks,209,0.12529976019184652,True
P1,27_52_weeks,200,0.11990407673860912,True
P1,53_104_weeks,234,0.14028776978417265,True
P1,105_plus_weeks,530,0.31774580335731417,True
P2,1_4_weeks,308,0.2153846153846154,True
P2,5_12_weeks,237,0.16573426573426572,True
P2,13_26_weeks,190,0.13286713286713286,True
P2,27_52_weeks,226,0.15804195804195803,True
P2,53_104_weeks,195,0.13636363636363635,True
P2,105_plus_weeks,274,0.1916083916083916,True
2024_latest,1_4_weeks,314,0.24209714726291442,True
2024_latest,5_12_weeks,223,0.17193523515805706,True
2024_latest,13_26_weeks,193,0.14880493446414803,True
2024_latest,27_52_weeks,183,0.14109483423284502,True
2024_latest,53_104_weeks,187,0.14417887432536622,True
2024_latest,105_plus_weeks,197,0.15188897455666925,True
2026YTD,1_4_weeks,357,0.39622641509433965,True
2026YTD,5_12_weeks,165,0.18312985571587126,True
2026YTD,13_26_weeks,379,0.42064372918978915,True
2026YTD,27_52_weeks,0,0.0,True
2026YTD,53_104_weeks,0,0.0,True
2026YTD,105_plus_weeks,0,0.0,True
