period,selection_bucket,rows,unique_ticker_count,avg_weeks_per_ticker,median_weeks_per_ticker,avg_turnover_share_5d,median_turnover_share_5d,surge_exception_rows,diagnostic_only
ALL,buffer,59200,1779,33.277121978639684,21.0,0.038327682436366785,0.0380568831287646,0,True
ALL,core,177600,1686,105.33807829181495,36.0,0.895655142824046,0.897397053927318,0,True
P1,buffer,41100,1584,25.946969696969695,17.0,0.03899343115605747,0.038706491949570855,0,True
P1,core,123300,1498,82.30974632843791,29.0,0.8937486360571351,0.8961537171534213,0,True
P2,buffer,18000,1330,13.533834586466165,9.0,0.0368029936260046,0.036541455704151286,0,True
P2,core,54000,1256,42.99363057324841,18.0,0.8999901532533616,0.9013050178235631,0,True
2024_latest,buffer,12900,1181,10.9229466553768,7.0,0.035003534305493994,0.03473408206043402,0,True
2024_latest,core,38700,1119,34.584450402144775,15.0,0.9052690122066825,0.9083682361625346,0,True
2026YTD,buffer,2600,670,3.8805970149253732,3.0,0.028103139688987193,0.028694147058542438,0,True
2026YTD,core,7800,709,11.001410437235544,8.0,0.9294301781102846,0.9282099839806688,0,True
