decision_date,simple_v0_market_state,full_spec_v1_market_state,state_changed,simple_transition,v1_transition
2023-07-17,ordinary_market,ordinary_market,False,True,True
2023-07-18,ordinary_market,ordinary_market,False,False,False
2023-07-19,ordinary_market,ordinary_market,False,False,False
2023-07-20,ordinary_market,ordinary_market,False,False,False
2023-07-21,ordinary_market,ordinary_market,False,False,False
2023-07-24,ordinary_market,ordinary_market,False,False,False
2023-07-25,ordinary_market,ordinary_market,False,False,False
2023-07-26,ordinary_market,ordinary_market,False,False,False
2023-07-27,ordinary_market,ordinary_market,False,False,False
2023-07-28,ordinary_market,strong_market,True,False,True
2023-07-31,ordinary_market,ordinary_market,False,False,True
2023-08-01,ordinary_market,strong_market,True,False,True
2023-08-02,ordinary_market,ordinary_market,False,False,True
2023-08-04,ordinary_market,ordinary_market,False,False,False
2023-08-07,ordinary_market,ordinary_market,False,False,False
2023-08-08,ordinary_market,ordinary_market,False,False,False
2023-08-09,ordinary_market,weak_market,True,False,True
2023-08-10,ordinary_market,weak_market,True,False,False
2023-08-11,ordinary_market,confirmed_bear,True,False,True
2023-08-14,ordinary_market,confirmed_bear,True,False,False
2023-08-15,ordinary_market,weak_market,True,False,True
2023-08-16,weak_market,weak_market,False,True,False
2023-08-17,ordinary_market,weak_market,True,True,False
2023-08-18,ordinary_market,weak_market,True,False,False
2023-08-21,ordinary_market,confirmed_bear,True,False,True
2023-08-22,ordinary_market,confirmed_bear,True,False,False
2023-08-23,ordinary_market,confirmed_bear,True,False,False
2023-08-24,ordinary_market,confirmed_bear,True,False,False
2023-08-25,ordinary_market,confirmed_bear,True,False,False
2023-08-28,ordinary_market,confirmed_bear,True,False,False
2023-08-29,ordinary_market,weak_market,True,False,True
2023-08-30,ordinary_market,ordinary_market,False,False,True
2023-08-31,ordinary_market,ordinary_market,False,False,False
2023-09-01,ordinary_market,ordinary_market,False,False,False
2023-09-04,ordinary_market,weak_market,True,False,True
2023-09-05,ordinary_market,ordinary_market,False,False,True
