decision_date,adj_close,ma20,ma60,ret20,taiwan_group,above,rspos,breadth_group,turnover,margin,capital_group,chg20,derivatives_group,session_date,sox20,external_group,bullish_count,bearish_count,market_state,market_confidence
2023-07-17,30.54181861877441,,,,neutral,0.8375,0.8625,bullish,491198291643,9547182,neutral,,neutral,2023-07-17,,neutral,1,0,ordinary_market,1.0
2023-07-18,30.483129501342773,,,,neutral,0.7875,0.825,bullish,610252638458,9551129,neutral,,neutral,2023-07-18,,neutral,1,0,ordinary_market,1.0
2023-07-19,30.224899291992188,,,,neutral,0.6875,0.8125,bullish,539434486870,9553174,neutral,,neutral,2023-07-19,,neutral,1,0,ordinary_market,1.0
2023-07-20,30.36575126647949,,,,neutral,0.7125,0.6875,bullish,422967513202,9572827,neutral,,neutral,2023-07-20,,neutral,1,0,ordinary_market,1.0
2023-07-21,29.86102294921875,,,,neutral,0.6375,0.75,bullish,535775114361,9556355,neutral,,neutral,2023-07-21,,neutral,1,0,ordinary_market,1.0
2023-07-24,29.87276077270508,,,,neutral,0.65,0.775,bullish,509850250824,9606219,neutral,,neutral,2023-07-24,,neutral,1,0,ordinary_market,1.0
2023-07-25,30.24837303161621,,,,neutral,0.675,0.75,bullish,538194184563,9566165,neutral,,neutral,2023-07-25,,neutral,1,0,ordinary_market,1.0
2023-07-26,30.166210174560547,,,,neutral,0.575,0.675,neutral,478189718685,9570641,neutral,,neutral,2023-07-26,,neutral,0,0,ordinary_market,1.0
2023-07-27,30.40096664428711,,,,neutral,0.625,0.6375,bullish,463882620952,9575718,neutral,,neutral,2023-07-27,,neutral,1,0,ordinary_market,1.0
2023-07-28,30.40096664428711,,,,neutral,0.6375,0.6625,bullish,505102121158,9576781,neutral,,neutral,2023-07-28,,neutral,1,0,ordinary_market,1.0
2023-07-31,30.23663711547852,,,,neutral,0.6625,0.8375,bullish,376015280493,9575025,neutral,,neutral,2023-07-31,,neutral,1,0,ordinary_market,1.0
