signal_date,signal_variant,ticker,name,market,selected_rank,RS20,RS60,RS20_rank_within_80,pool_rank,within80_rank,is_legacy_7_core,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,capital_support_context,high_exhaustion_or_breakdown_context,layer4_risk_aware_score,rs20_31_bonus_score,rs20_risk_context_score,forward_excess_vs_0050_5d,forward_excess_vs_00631L_5d,00631L_forward_return_5d,0050_forward_return_5d,proxy_stock_forward_return_5d,forward_eval_available_5d,signal_timing,selection_rule_basis,proxy_stock_forward_return_source,exact_stock_adjusted_close_path_available,next_day_exact_path_status,diagnostic_only,not_live_rule,forward_return_as_rule,future_return_as_rule,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2015-01-09,dynamic80_top1_rs20_31_bonus_proxy,1216,統一,TWSE,,,,,30,30,False,True,True,True,True,0.3846936028717948,0.02,-0.010765319856410258,0.0228651425177802,0.0010348721901964,0.012004245161859606,-0.009826025165724173,0.013039117352056005,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-01-16,dynamic80_top1_rs20_31_bonus_proxy,1314,中石化,TWSE,,,,,22,22,False,True,True,True,True,0.4331651430354609,0.02,-0.008341742848226953,-0.0066608773350187,0.0782785526780905,-0.03608445985108644,0.04885497016202289,0.042194092827004065,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-01-23,dynamic80_top1_rs20_31_bonus_proxy,1303,南亞,TWSE,,,,,12,12,False,True,True,True,True,0.4498075328226951,0.02,-0.007509623358865243,-0.0262295517194095,-0.0428305229086684,0.006411706520200955,-0.010189264669057896,-0.036418816388467445,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-01-30,dynamic80_top1_rs20_31_bonus_proxy,1101,台泥,TWSE,,,,,30,30,False,True,True,True,True,0.4344871887163923,0.02,-0.008275640564180384,-0.0122030805774998,0.005723206082102,-0.0068969150022899495,0.011029371657311993,-0.0011737089201879491,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-02-06,dynamic80_top1_rs20_31_bonus_proxy,5474,聰泰,TPEx,1.0,0.2842861405395422,,1.0,76,76,False,False,True,True,False,0.6274688103711632,0.2842861405395422,0.3156595810581004,-0.1032418707395336,-0.0871744738045322,-0.005885463103985078,0.010181933831016288,-0.09305993690851727,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-02-13,dynamic80_top1_rs20_31_bonus_proxy,9938,百和,TWSE,1.0,0.216290352136216,,1.0,71,71,False,False,True,True,False,0.6285978759114448,0.216290352136216,0.24772024593178824,0.1286082928902383,0.1447852335823991,-0.009697514284153552,0.0064794264080072494,0.13508771929824553,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-02-26,dynamic80_top1_rs20_31_bonus_proxy,9938,百和,TWSE,1.0,0.3121026551376851,,1.0,76,76,False,False,True,True,False,0.6335600417340088,0.3121026551376851,0.34378065722438556,0.0685017367312103,0.0581265402383819,0.0032627974029750817,-0.007112399089853283,0.061389337641356984,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-03-06,dynamic80_top1_rs20_31_bonus_proxy,9938,百和,TWSE,1.0,0.3286853365133673,,1.0,70,70,False,False,True,True,False,0.6389479486109879,0.3286853365133673,0.3606327339439167,-0.0223827617482617,-0.0312114559233951,0.003814195649422425,-0.005014498525711009,-0.027397260273972674,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-03-13,dynamic80_top1_rs20_31_bonus_proxy,1589,永冠-KY,TWSE,1.0,0.2969895381185843,,1.0,61,61,False,False,True,True,False,0.6376165733158319,0.2969895381185843,0.3288703667843759,0.0518085042521481,0.0833578929179392,-0.015710834094409876,0.01583855457138128,0.06764705882352932,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-03-20,dynamic80_top1_rs20_31_bonus_proxy,4733,上緯,TWSE,1.0,0.4857330290549246,,1.0,73,73,False,False,True,True,False,0.628893535482546,0.4857330290549246,0.5171777058290519,0.0189920213474361,-0.0274327735923006,0.02091103446186593,-0.025513760477870906,-0.006521739130434672,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-03-27,dynamic80_top1_rs20_31_bonus_proxy,4733,上緯,TWSE,1.0,0.4196021850702121,,1.0,69,69,False,False,True,True,False,0.6388508611523461,0.4196021850702121,0.45154472812782936,0.0992336930224946,0.1229174095816102,-0.011320035402179074,0.012363681156936535,0.11159737417943112,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-04-02,dynamic80_top1_rs20_31_bonus_proxy,1452,宏益,TWSE,1.0,0.3923722908314008,,1.0,38,38,False,False,True,True,False,0.6666131937753005,0.3923722908314008,0.4257029505201658,-0.0070239833236578,0.0028994921691837,-0.004887563739760181,0.005035911753081379,-0.001988071570576481,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-04-10,dynamic80_top1_rs20_31_bonus_proxy,3455,由田,TPEx,1.0,0.4837221593320531,0.5142651243103862,1.0,79,79,False,False,True,True,False,0.6069227739638147,0.4837221593320531,0.5140682980302438,-0.0930804611133565,-0.10549911345588,0.0038041982016427944,-0.00861445414088069,-0.10169491525423721,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-04-17,dynamic80_top1_rs20_31_bonus_proxy,4153,鈺緯,TPEx,1.0,0.2339343883135315,0.4065406421359554,1.0,66,66,False,False,True,True,False,0.6373811844179628,0.2339343883135315,0.26580344753442964,-0.1017245744516565,-0.0219734285987123,-0.0341321819623438,0.045618963890600384,-0.056105610561056105,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-04-24,dynamic80_top1_rs20_31_bonus_proxy,8341,日友,TWSE,1.0,0.4671914622122437,,1.0,41,41,False,False,True,True,False,0.6438590220364038,0.4671914622122437,0.4993844133140639,0.0173190638641456,0.0078861956433597,0.0011228133656491224,-0.008310054855136695,0.009009009009008822,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-04-30,dynamic80_top1_rs20_31_bonus_proxy,1464,得力,TWSE,1.0,0.3955454854922073,0.6578124725616907,1.0,80,80,False,False,True,True,False,0.6247347956154388,0.3955454854922073,0.42678222527297927,-0.0460258257897007,-0.0716262312172293,0.012304197318924182,-0.013296208108604435,-0.05932203389830512,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
2015-05-08,dynamic80_top1_rs20_31_bonus_proxy,3008,大立光,TWSE,1.0,0.1482789190814333,0.1450535034547706,1.0,34,34,False,False,True,True,False,0.6993349067377522,0.1482789190814333,0.18324566441832094,-0.005728442248197,-0.0315994569127864,0.018778944092273653,-0.007092070572315756,-0.012820512820512747,True,weekly_signal_close,RS20_plus_31_high_confidence_context_bonus,00631L_forward_return_5d_plus_forward_excess_vs_00631L_5d,False,blocked_no_full_dynamic80_adjusted_close_path,True,True,False,False,False,False,False,False,False,False,True,False
