signal_date,signal_variant,ticker,path_basis,exact_or_proxy,entry_price_available,exit_price_available,entry_date,exit_date,holding_days_target,proxy_stock_forward_return_5d,forward_excess_vs_00631L_5d,exact_price_blocked_reason,forward_return_as_rule,diagnostic_only
2015-01-09,dynamic80_top1_rs20_31_bonus_proxy,1216,same_week_close_to_next_5td_proxy,proxy,False,False,2015-01-09,,5,0.013039117352056005,0.0010348721901964,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-01-16,dynamic80_top1_rs20_31_bonus_proxy,1314,same_week_close_to_next_5td_proxy,proxy,False,False,2015-01-16,,5,0.042194092827004065,0.0782785526780905,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-01-23,dynamic80_top1_rs20_31_bonus_proxy,1303,same_week_close_to_next_5td_proxy,proxy,False,False,2015-01-23,,5,-0.036418816388467445,-0.0428305229086684,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-01-30,dynamic80_top1_rs20_31_bonus_proxy,1101,same_week_close_to_next_5td_proxy,proxy,False,False,2015-01-30,,5,-0.0011737089201879491,0.005723206082102,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-02-06,dynamic80_top1_rs20_31_bonus_proxy,5474,same_week_close_to_next_5td_proxy,proxy,False,False,2015-02-06,,5,-0.09305993690851727,-0.0871744738045322,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-02-13,dynamic80_top1_rs20_31_bonus_proxy,9938,same_week_close_to_next_5td_proxy,proxy,False,False,2015-02-13,,5,0.13508771929824553,0.1447852335823991,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-02-26,dynamic80_top1_rs20_31_bonus_proxy,9938,same_week_close_to_next_5td_proxy,proxy,False,False,2015-02-26,,5,0.061389337641356984,0.0581265402383819,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-03-06,dynamic80_top1_rs20_31_bonus_proxy,9938,same_week_close_to_next_5td_proxy,proxy,False,False,2015-03-06,,5,-0.027397260273972674,-0.0312114559233951,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-03-13,dynamic80_top1_rs20_31_bonus_proxy,1589,same_week_close_to_next_5td_proxy,proxy,False,False,2015-03-13,,5,0.06764705882352932,0.0833578929179392,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-03-20,dynamic80_top1_rs20_31_bonus_proxy,4733,same_week_close_to_next_5td_proxy,proxy,False,False,2015-03-20,,5,-0.006521739130434672,-0.0274327735923006,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-03-27,dynamic80_top1_rs20_31_bonus_proxy,4733,same_week_close_to_next_5td_proxy,proxy,False,False,2015-03-27,,5,0.11159737417943112,0.1229174095816102,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-04-02,dynamic80_top1_rs20_31_bonus_proxy,1452,same_week_close_to_next_5td_proxy,proxy,False,False,2015-04-02,,5,-0.001988071570576481,0.0028994921691837,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-04-10,dynamic80_top1_rs20_31_bonus_proxy,3455,same_week_close_to_next_5td_proxy,proxy,False,False,2015-04-10,,5,-0.10169491525423721,-0.10549911345588,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-04-17,dynamic80_top1_rs20_31_bonus_proxy,4153,same_week_close_to_next_5td_proxy,proxy,False,False,2015-04-17,,5,-0.056105610561056105,-0.0219734285987123,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-04-24,dynamic80_top1_rs20_31_bonus_proxy,8341,same_week_close_to_next_5td_proxy,proxy,False,False,2015-04-24,,5,0.009009009009008822,0.0078861956433597,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-04-30,dynamic80_top1_rs20_31_bonus_proxy,1464,same_week_close_to_next_5td_proxy,proxy,False,False,2015-04-30,,5,-0.05932203389830512,-0.0716262312172293,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-05-08,dynamic80_top1_rs20_31_bonus_proxy,3008,same_week_close_to_next_5td_proxy,proxy,False,False,2015-05-08,,5,-0.012820512820512747,-0.0315994569127864,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-05-15,dynamic80_top1_rs20_31_bonus_proxy,6147,same_week_close_to_next_5td_proxy,proxy,False,False,2015-05-15,,5,0.018465909090908932,0.0233455424545763,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-05-22,dynamic80_top1_rs20_31_bonus_proxy,3552,same_week_close_to_next_5td_proxy,proxy,False,False,2015-05-22,,5,0.021604938271604972,0.0319635222866495,full dynamic80 selected-stock adjusted-close path not materialized,False,True
2015-05-29,dynamic80_top1_rs20_31_bonus_proxy,3556,same_week_close_to_next_5td_proxy,proxy,False,False,2015-05-29,,5,-0.046242774566473896,-0.0864511601156998,full dynamic80 selected-stock adjusted-close path not materialized,False,True
