signal_date,signal_family,variant,route_or_mode,ticker,name,timing_variant,entry_date,exit_date,entry_price_kind,blocked_reason,radar_blocked_reason,source_quality,path_bucket
2015-07-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,6217,中探針,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,6217,中探針,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,6217,中探針,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,6217,中探針,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,6217,中探針,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,6217,中探針,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,6217,中探針,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,6217,中探針,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,regime_switch,dispersion_route,rs20_top3_risk_tiebreak,1464,得力,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-07-09,regime_switch,dispersion_route,rs20_top3_risk_tiebreak,1464,得力,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
