signal_family,variant,path_bucket,timing_variant,rows,ready_rows,blocked_rows,numeric_return_rows,ready_share,diagnostic_only
legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,408,3,408,0.9927007299270073,True
legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,408,3,408,0.9927007299270073,True
legacy_rs20,dynamic80_top1_rs20_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top1_rs20_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top1_rs20_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,408,3,408,0.9927007299270073,True
legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,408,3,408,0.9927007299270073,True
regime_switch,conservative_hurdle_route,00631L_reference,next_day_close_entry_fixed_5td_exit,57,57,0,57,1.0,True
regime_switch,conservative_hurdle_route,00631L_reference,next_day_open_entry_fixed_5td_exit,57,0,57,0,0.0,True
regime_switch,conservative_hurdle_route,00631L_reference,same_week_close_to_next_rebalance_close_comparator,57,57,0,57,1.0,True
regime_switch,conservative_hurdle_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,354,350,4,350,0.9887005649717514,True
regime_switch,conservative_hurdle_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,354,350,4,350,0.9887005649717514,True
regime_switch,conservative_hurdle_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,354,352,2,352,0.9943502824858758,True
regime_switch,dispersion_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
regime_switch,dispersion_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,405,6,405,0.9854014598540146,True
regime_switch,dispersion_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,408,3,408,0.9927007299270073,True
regime_switch,hybrid_pullback_base_mega_override,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,404,7,404,0.9829683698296837,True
regime_switch,hybrid_pullback_base_mega_override,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,404,7,404,0.9829683698296837,True
regime_switch,hybrid_pullback_base_mega_override,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,407,4,407,0.9902676399026764,True
regime_switch,market_bias_pool_trend_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,404,7,404,0.9829683698296837,True
regime_switch,market_bias_pool_trend_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,404,7,404,0.9829683698296837,True
regime_switch,market_bias_pool_trend_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,406,5,406,0.9878345498783455,True
regime_switch,pool_breadth_route,ordinary_stock,next_day_close_entry_fixed_5td_exit,411,404,7,404,0.9829683698296837,True
regime_switch,pool_breadth_route,ordinary_stock,next_day_open_entry_fixed_5td_exit,411,404,7,404,0.9829683698296837,True
regime_switch,pool_breadth_route,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,411,406,5,406,0.9878345498783455,True
