baseline_compact_universe_row_id,snapshot_date,ticker,name,market,horizon,target_date,blocked_reason,evaluation_metadata_only
2021-03-26|1101,2021-03-26,1101,台泥,TWSE,5,2021-04-06,benchmark_price_missing,True
2022-09-02|1101,2022-09-02,1101,台泥,TWSE,5,2022-09-09,benchmark_price_missing,True
2026-01-30|1101,2026-01-30,1101,台泥,TWSE,5,2026-02-06,stock_price_missing,True
2026-06-26|1101,2026-06-26,1101,台泥,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2026-06-29|1101,2026-06-29,1101,台泥,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2021-03-26|1102,2021-03-26,1102,亞泥,TWSE,5,2021-04-06,benchmark_price_missing,True
2022-09-02|1102,2022-09-02,1102,亞泥,TWSE,5,2022-09-09,benchmark_price_missing,True
2026-06-29|1102,2026-06-29,1102,亞泥,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2021-03-26|1216,2021-03-26,1216,統一,TWSE,5,2021-04-06,benchmark_price_missing,True
2022-09-02|1216,2022-09-02,1216,統一,TWSE,5,2022-09-09,benchmark_price_missing,True
2026-01-30|1216,2026-01-30,1216,統一,TWSE,5,2026-02-06,stock_price_missing,True
2026-06-26|1216,2026-06-26,1216,統一,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2026-06-29|1216,2026-06-29,1216,統一,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2021-03-26|1301,2021-03-26,1301,台塑,TWSE,5,2021-04-06,benchmark_price_missing,True
2022-09-02|1301,2022-09-02,1301,台塑,TWSE,5,2022-09-09,benchmark_price_missing,True
2026-01-30|1301,2026-01-30,1301,台塑,TWSE,5,2026-02-06,stock_price_missing,True
2026-06-26|1301,2026-06-26,1301,台塑,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2026-06-29|1301,2026-06-29,1301,台塑,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2021-03-26|1303,2021-03-26,1303,南亞,TWSE,5,2021-04-06,benchmark_price_missing,True
2022-09-02|1303,2022-09-02,1303,南亞,TWSE,5,2022-09-09,benchmark_price_missing,True
2026-01-30|1303,2026-01-30,1303,南亞,TWSE,5,2026-02-06,stock_price_missing,True
2026-06-26|1303,2026-06-26,1303,南亞,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2026-06-29|1303,2026-06-29,1303,南亞,TWSE,5,,insufficient_calendar_path;stock_price_missing;benchmark_price_missing,True
2021-03-26|1304,2021-03-26,1304,台聚,TWSE,5,2021-04-06,benchmark_price_missing,True
