period,requested_start,requested_end,actual_start,actual_end,rows,weekly_snapshot_count,unique_ticker_count,evaluation_metadata_only,forward_eval_available_share_5d,blocked_rows_5d,forward_eval_available_share_10d,blocked_rows_10d,forward_eval_available_share_20d,blocked_rows_20d,forward_eval_available_share_30d,blocked_rows_30d,forward_eval_available_share_40d,blocked_rows_40d
ALL,2015-01-09,2026-06-29,2015-01-09,2026-06-29,171499,592,1612,True,0.9911719601863568,1514,0.9891369628977429,1863,0.9856617239750669,2459,0.982081528172176,3073,0.9786354439384486,3664
P1,2015-01-02,2022-12-29,2015-01-09,2022-12-23,119058,411,1408,True,0.9944312855918964,663,0.994011322212703,713,0.9939105310016967,725,0.9918191133733139,974,0.9916763258243881,991
P2,2023-01-02,2026-06-30,2023-01-06,2026-06-29,52149,180,1181,True,0.9836813745230014,851,0.9779478034094613,1150,0.9667491227060921,1734,0.9597499472664864,2099,0.9487430247943393,2673
2024_latest,2024-01-02,2026-06-30,2024-01-05,2026-06-29,37387,129,1051,True,0.9773718137320458,846,0.9695081177949555,1140,0.9538342204509589,1726,0.9440447214272341,2092,0.9285848022039747,2670
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,7544,26,659,True,0.8946182396606575,795,0.8563096500530223,1084,0.7799575821845175,1660,0.730779427359491,2031,0.6533669141039237,2615
