signal_date,score_variant,candidate_rank,pool80_quant_rank,ticker,name,market,weighted_score,quality_component,rs_component,liquidity_component,bias_health_component,route_support_component,risk_inverse_component,pool_persistence_component_proxy,consensus_trigger,prior_c2_allowed_exception_ticker,prior_single_exception_ticker,route_support_variant_count,route_support_mode_count,route_support_variant_flags,route_support_mode_flags,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,RS20,RS40,RS60,RS30_proxy,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,exhaustion_risk_score,breakdown_risk_score,entry_date,exit_date,entry_open,entry_close,exit_close,gross_return_unadjusted,net_return_local_ep05_cost_unit_notional,official_unadjusted_ohlc_path_ready,adjusted_close_ready,source_quality,entry_source_route,exit_source_route,entry_adjustment_policy,exit_adjustment_policy,total_cost_twd,cost_application_status,adjustment_policy,future_data_violation_count,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-30,balanced,1,1,2603,長榮,TWSE,0.6708596594798083,0.6482638888888889,0.5,0.759375,0.7095596623317362,0.8,0.6741250000000001,1.0,True,2603.0,2603,4.0,2.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,low_risk_strength|pullback_repair,0.5017361111111112,True,,,,,26.0,27.0,27.0,0.0643394934976043,,,0.0435,0.6599999999999999,2015-02-02,2015-02-09,22.05,21.6,22.4,0.0370370370370369,0.0309788533985686,True,False,official_unadjusted_ohlcv_twse_stock_day,TWSE_STOCK_DAY,TWSE_STOCK_DAY,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,unadjusted_ohlcv; adjusted_close_blocked_not_fabricated,6014.0,applied_local_ep05_cost_model_to_unadjusted_ohlc_unit_notional,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-01-30,balanced,2,2,2317,鴻海,TWSE,0.5839975359342916,0.6482638888888889,0.5,0.9906250000000001,0.8966461327857632,0.0,0.6741250000000001,1.0,True,2603.0,2603,0.0,0.0,,,0.5017361111111112,True,,,,,2.0,2.0,2.0,0.6550308008213552,,,0.0435,0.6599999999999999,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-01-30,balanced,3,3,2454,聯發科,TWSE,0.5816604166666667,0.6482638888888889,0.5,0.98125,0.8888888888888888,0.0,0.6741250000000001,1.0,True,2603.0,2603,0.0,0.0,,,0.5017361111111112,True,,,,,3.0,3.0,3.0,0.3333333333333333,,,0.0435,0.6599999999999999,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-01-30,balanced,4,4,2882,國泰金,TWSE,0.571347168035592,0.6482638888888889,0.5,0.8343750000000001,0.9865389002966006,0.0,0.6741250000000001,1.0,True,2603.0,2603,0.0,0.0,,,0.5017361111111112,True,,,,,22.0,17.0,17.0,0.5201916495550992,,,0.0435,0.6599999999999999,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-01-30,balanced,5,5,2357,華碩,TWSE,0.5677356647843942,0.6482638888888889,0.5,0.8625,0.921286789869952,0.0,0.6741250000000001,1.0,True,2603.0,2603,0.0,0.0,,,0.5017361111111112,True,,,,,19.0,14.0,14.0,0.6180698151950719,,,0.0435,0.6599999999999999,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-04-30,balanced,1,1,2330,台積電,TWSE,0.7148730976806138,0.6482876712328768,0.8896756329113924,1.0,0.9379340277777777,0.0,0.9326706285657091,1.0,True,2316.0,2316,0.0,0.0,,,0.5017123287671232,True,-0.0244482664603076,-0.045430505484709,0.0099707459429856,-0.0349393859725083,1.0,1.0,1.0,0.5930989583333334,0.5,,0.0337835051546391,0.2355339805825242,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-04-30,balanced,2,2,2412,中華電,TWSE,0.6786986775063086,0.6482876712328768,0.8864319620253165,0.74375,0.9232230730316409,0.0,0.9642839751668285,1.0,True,2316.0,2316,0.0,0.0,,,0.5017123287671232,True,-0.0397826704389637,-0.0119706098985676,-0.0012044901535517,-0.0258766401687656,33.0,29.0,23.0,0.5423177083333334,0.5728476821192053,,0.0002989690721649,0.142565130260521,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-04-30,balanced,3,3,2317,鴻海,TWSE,0.677991025096043,0.6482876712328768,0.7634889240506328,0.9875,0.8418586736571009,0.0,0.9612242676275596,1.0,True,2316.0,2316,0.0,0.0,,,0.5017123287671232,True,-0.0303907325837486,0.0438739759079451,0.035994137755851,0.0067416216620982,2.0,3.0,2.0,0.3919270833333333,0.6291390728476821,,0.0059793814432989,0.1491235480464625,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-04-30,balanced,4,4,3481,群創,TWSE,0.6660365449904186,0.6482876712328768,0.877492088607595,0.809375,0.7628500965783664,0.0,0.9556549539028397,1.0,True,2316.0,2316,0.0,0.0,,,0.5017123287671232,True,-0.0187831039162542,0.0003333470539883,-0.0337001401329637,-0.0092248784311329,22.0,28.0,14.0,0.763671875,0.5920529801324503,,0.0229657699742268,0.1544144144144144,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2015-04-30,balanced,5,5,1101,台泥,TWSE,0.6329090752378204,0.6482876712328768,0.9084256329113924,0.39999999999999997,0.8916517200147167,0.0,0.995769658490868,1.0,True,2316.0,2316,0.0,0.0,,,0.5017123287671232,True,-0.0460954132915486,-0.0140822059820877,-0.0019340159617762,-0.0300888096368181,60.0,65.0,70.0,0.4388020833333333,0.6013245033112583,,0.0062783505154639,0.0106430155210642,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
