signal_date,score_variant,ticker,weighted_score,prior_single_exception_ticker,prior_c2_allowed_exception_ticker,matches_prior_single_exception,matches_prior_c2_allowed_exception
2015-01-30,balanced,2603,0.6708596594798083,2603,2603.0,False,False
2015-04-30,balanced,2330,0.7148730976806138,2316,2316.0,False,False
2015-05-15,balanced,2454,0.702980684653686,3008,3008.0,False,False
2015-10-08,balanced,2882,0.692162432853965,6143,6143.0,False,False
2015-10-16,balanced,2330,0.629068381005219,8433,8433.0,False,False
2016-02-26,balanced,2412,0.6769618531064759,3324,3324.0,False,False
2017-02-03,balanced,2002,0.6742779501309093,3346,3346.0,False,False
2017-05-12,balanced,1301,0.7044830856797631,1569,1569.0,False,False
2017-08-25,balanced,2409,0.7265207695069031,2603,2603.0,False,False
2017-10-27,balanced,3008,0.6709170911456057,6121,6121.0,False,False
2017-11-24,balanced,3008,0.6885906265712839,6573,6573.0,False,False
2018-03-16,balanced,2412,0.6551089799486881,6150,6150.0,False,False
2018-06-08,balanced,2317,0.7105316739686974,3090,3090.0,False,False
2018-06-29,balanced,2474,0.6761910784306783,8163,8163.0,False,False
2019-09-12,balanced,2317,0.7092906772285754,3661,3661.0,False,False
2019-12-06,balanced,1216,0.6565059948072526,8040,8040.0,False,False
2020-01-10,balanced,5880,0.6423963530334318,3260,3260.0,False,False
2021-06-18,balanced,2303,0.6706327536095208,2636,2636.0,False,False
2021-07-09,balanced,2317,0.6722633498063195,2351,2351.0,False,False
2021-12-30,balanced,2002,0.6493935026937823,8478,8478.0,False,False
2022-08-12,balanced,2330,0.6958772701656688,6796,6796.0,False,False
2015-01-30,momentum,2603,0.6485895205909196,2603,2603.0,False,False
2015-04-30,momentum,2330,0.7491253689665781,2316,2316.0,False,False
2015-05-15,momentum,2454,0.7371792676428486,3008,3008.0,False,False
2015-10-08,momentum,2882,0.7151904295822802,6143,6143.0,False,False
2015-10-16,momentum,2330,0.6010245943124597,8433,8433.0,False,False
2016-02-26,momentum,2891,0.6645011124156255,3324,3324.0,False,False
2017-02-03,momentum,2002,0.6522448413079959,3346,3346.0,False,False
2017-05-12,momentum,1301,0.7078194559863853,1569,1569.0,False,False
2017-08-25,momentum,2409,0.7449033609787782,2603,2603.0,False,False
2017-10-27,momentum,2317,0.6675893332183235,6121,6121.0,False,False
2017-11-24,momentum,3008,0.693074848519398,6573,6573.0,False,False
2018-03-16,momentum,2317,0.6911008138769926,6150,6150.0,False,False
2018-06-08,momentum,2317,0.7226821642065802,3090,3090.0,False,False
2018-06-29,momentum,2474,0.6668504915868179,8163,8163.0,False,False
2019-09-12,momentum,2317,0.7211680083140587,3661,3661.0,False,False
2019-12-06,momentum,1216,0.6446521530439931,8040,8040.0,False,False
2020-01-10,momentum,2352,0.6080626739349054,3260,3260.0,False,False
2021-06-18,momentum,2303,0.6990598577949543,2636,2636.0,False,False
2021-07-09,momentum,2317,0.7207637173568577,2351,2351.0,False,False
2021-12-30,momentum,2002,0.6524283739467105,8478,8478.0,False,False
2022-08-12,momentum,2303,0.6848173463316807,6796,6796.0,False,False
2015-01-30,quality_rs,2603,0.6383373551220626,2603,2603.0,False,False
2015-04-30,quality_rs,2330,0.7346238035398855,2316,2316.0,False,False
2015-05-15,quality_rs,2454,0.7418557565582464,3008,3008.0,False,False
