snapshot_date,variant,ticker,name,market,scope_type,active_for_layer1_source_scope,selection_bucket,traded_value_5d,traded_value_20d,traded_value_60d,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,rank_improvement_5d_vs_60d,top300_5d_count_last4w,buffer_candidate_rank_251_300,buffer_included_by_2in4,buffer_included_by_20d60d,pure_5d_burst_watchlist_only,listing_status,liquidity_flag,is_ky_name_proxy,instrument_type_source_quality,market_cap_rank_source_quality,event_ledger_source_quality,diagnostic_only,not_live_rule,forward_returns_live_rule_usage
2015-01-09,top250_core_conditional_buffer50,2330,台積電,TWSE,active_layer1_source_scope,True,core,33599764168.0,33599764168.0,33599764168.0,1.0,1.0,1.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2454,聯發科,TWSE,active_layer1_source_scope,True,core,18206293346.0,18206293346.0,18206293346.0,2.0,2.0,2.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3481,群創,TWSE,active_layer1_source_scope,True,core,16415918668.0,16415918668.0,16415918668.0,3.0,3.0,3.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2317,鴻海,TWSE,active_layer1_source_scope,True,core,15374593720.0,15374593720.0,15374593720.0,4.0,4.0,4.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2409,友達,TWSE,active_layer1_source_scope,True,core,15016748023.0,15016748023.0,15016748023.0,5.0,5.0,5.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3474,華亞科,TWSE,active_layer1_source_scope,True,core,14472298333.0,14472298333.0,14472298333.0,6.0,6.0,6.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3008,大立光,TWSE,active_layer1_source_scope,True,core,13921684130.0,13921684130.0,13921684130.0,7.0,7.0,7.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3673,TPK-KY,TWSE,active_layer1_source_scope,True,core,11778954214.0,11778954214.0,11778954214.0,8.0,8.0,8.0,0.0,1.0,False,False,False,False,listed,pass,True,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2498,宏達電,TWSE,active_layer1_source_scope,True,core,8911137492.0,8911137492.0,8911137492.0,9.0,9.0,9.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2474,可成,TWSE,active_layer1_source_scope,True,core,6308905154.0,6308905154.0,6308905154.0,10.0,10.0,10.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2408,南亞科,TWSE,active_layer1_source_scope,True,core,6235156903.0,6235156903.0,6235156903.0,11.0,11.0,11.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2303,聯電,TWSE,active_layer1_source_scope,True,core,5962067795.0,5962067795.0,5962067795.0,12.0,12.0,12.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2618,長榮航,TWSE,active_layer1_source_scope,True,core,5408186672.0,5408186672.0,5408186672.0,13.0,13.0,13.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,1314,中石化,TWSE,active_layer1_source_scope,True,core,4618633465.0,4618633465.0,4618633465.0,14.0,14.0,14.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2882,國泰金,TWSE,active_layer1_source_scope,True,core,4423077667.0,4423077667.0,4423077667.0,15.0,15.0,15.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,4938,和碩,TWSE,active_layer1_source_scope,True,core,4351253286.0,4351253286.0,4351253286.0,16.0,16.0,16.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3034,聯詠,TWSE,active_layer1_source_scope,True,core,4244740671.0,4244740671.0,4244740671.0,17.0,17.0,17.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3105,穩懋,TPEx,active_layer1_source_scope,True,core,4120066409.0,4120066409.0,4120066409.0,18.0,18.0,18.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2610,華航,TWSE,active_layer1_source_scope,True,core,4063621114.0,4063621114.0,4063621114.0,19.0,19.0,19.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2311,日月光,TWSE,active_layer1_source_scope,True,core,3943680074.0,3943680074.0,3943680074.0,20.0,20.0,20.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2357,華碩,TWSE,active_layer1_source_scope,True,core,3926928245.0,3926928245.0,3926928245.0,21.0,21.0,21.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2603,長榮,TWSE,active_layer1_source_scope,True,core,3807313471.0,3807313471.0,3807313471.0,22.0,22.0,22.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2344,華邦電,TWSE,active_layer1_source_scope,True,core,3680743630.0,3680743630.0,3680743630.0,23.0,23.0,23.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2881,富邦金,TWSE,active_layer1_source_scope,True,core,3679467480.0,3679467480.0,3679467480.0,24.0,24.0,24.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2609,陽明,TWSE,active_layer1_source_scope,True,core,3563832197.0,3563832197.0,3563832197.0,25.0,25.0,25.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3227,原相,TPEx,active_layer1_source_scope,True,core,3523289500.0,3523289500.0,3523289500.0,26.0,26.0,26.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,2891,中信金,TWSE,active_layer1_source_scope,True,core,3476384713.0,3476384713.0,3476384713.0,27.0,27.0,27.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2015-01-09,top250_core_conditional_buffer50,3658,漢微科,TPEx,active_layer1_source_scope,True,core,3475326390.0,3475326390.0,3475326390.0,28.0,28.0,28.0,0.0,1.0,False,False,False,False,listed,pass,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
