pool_variant,snapshot_date,period,selected_count,unique_ticker_count,target_pool_size,shortfall_count,momentum_medium_or_high_count,pullback_medium_or_high_count,overlap_medium_or_high_count,neutral_medium_or_high_count,high_exhaustion_count,high_breakdown_count,fallback_00631L_reference_rows,ordinary_stock_pool_rows
A_retention_friendly_broad_label_pool,2015-01-09,P1,31,31,31,0,13,0,0,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-01-16,P1,31,31,31,0,31,0,0,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-01-23,P1,31,31,31,0,31,0,0,31,0,2,0,31
A_retention_friendly_broad_label_pool,2015-01-30,P1,31,31,31,0,31,0,0,31,0,4,0,31
A_retention_friendly_broad_label_pool,2015-02-06,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-02-13,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-02-26,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-03-06,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-03-13,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-03-20,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-03-27,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-04-02,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-04-10,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-04-17,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-04-24,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-04-30,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-05-08,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-05-15,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-05-22,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-05-29,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-06-05,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-06-12,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-06-18,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-06-26,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-07-03,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-07-09,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-07-17,P1,31,31,31,0,31,31,31,31,0,0,0,31
A_retention_friendly_broad_label_pool,2015-07-24,P1,31,31,31,0,31,31,31,31,0,0,0,31
