period,decision_candidate_variant,row_count,weekly_snapshot_count,stock_exposure_share,fallback_00631L_exposure_share,reference_0050_share,forward_eval_available_20d_share
P1,0050_reference,411,411,0.0,0.0,1.0,1.0
P1,00631L_always_baseline,411,411,0.0,1.0,0.0,1.0
P1,always_stock_incumbent_reentry_baseline,411,411,1.0,0.0,0.0,0.9927007299270073
P1,stock_if_31_high_confidence_bonus_and_state_clean_else_00631L,411,411,0.9902676399026764,0.009732360097323601,0.0,0.9927007299270073
P1,stock_if_high_confidence_else_00631L,411,411,0.9902676399026764,0.009732360097323601,0.0,0.9927007299270073
P1,stock_if_incumbent_still_valid_else_00631L_or_best_confirmed_challenger,411,411,0.5669099756690997,0.43309002433090027,0.0,0.9902676399026764
P1,stock_if_reentry_confirmed_and_not_high_risk_else_00631L,411,411,0.6545012165450121,0.34549878345498786,0.0,0.9927007299270073
P2,0050_reference,51,51,0.0,0.0,1.0,1.0
P2,00631L_always_baseline,51,51,0.0,1.0,0.0,1.0
P2,always_stock_incumbent_reentry_baseline,51,51,1.0,0.0,0.0,1.0
P2,stock_if_31_high_confidence_bonus_and_state_clean_else_00631L,51,51,1.0,0.0,0.0,1.0
P2,stock_if_high_confidence_else_00631L,51,51,1.0,0.0,0.0,1.0
P2,stock_if_incumbent_still_valid_else_00631L_or_best_confirmed_challenger,51,51,0.5098039215686274,0.49019607843137253,0.0,1.0
P2,stock_if_reentry_confirmed_and_not_high_risk_else_00631L,51,51,0.8823529411764706,0.11764705882352941,0.0,1.0
P2|2024_latest,0050_reference,103,103,0.0,0.0,1.0,1.0
P2|2024_latest,00631L_always_baseline,103,103,0.0,1.0,0.0,1.0
P2|2024_latest,always_stock_incumbent_reentry_baseline,103,103,1.0,0.0,0.0,1.0
P2|2024_latest,stock_if_31_high_confidence_bonus_and_state_clean_else_00631L,103,103,1.0,0.0,0.0,1.0
P2|2024_latest,stock_if_high_confidence_else_00631L,103,103,1.0,0.0,0.0,1.0
P2|2024_latest,stock_if_incumbent_still_valid_else_00631L_or_best_confirmed_challenger,103,103,0.5825242718446602,0.4174757281553398,0.0,1.0
P2|2024_latest,stock_if_reentry_confirmed_and_not_high_risk_else_00631L,103,103,0.6990291262135923,0.30097087378640774,0.0,1.0
P2|2024_latest|2026YTD,0050_reference,26,26,0.0,0.0,1.0,0.8076923076923077
P2|2024_latest|2026YTD,00631L_always_baseline,26,26,0.0,1.0,0.0,0.8076923076923077
P2|2024_latest|2026YTD,always_stock_incumbent_reentry_baseline,26,26,1.0,0.0,0.0,0.7692307692307693
P2|2024_latest|2026YTD,stock_if_31_high_confidence_bonus_and_state_clean_else_00631L,26,26,0.9230769230769231,0.07692307692307693,0.0,0.7692307692307693
P2|2024_latest|2026YTD,stock_if_high_confidence_else_00631L,26,26,0.9230769230769231,0.07692307692307693,0.0,0.7692307692307693
P2|2024_latest|2026YTD,stock_if_incumbent_still_valid_else_00631L_or_best_confirmed_challenger,26,26,0.11538461538461539,0.8846153846153846,0.0,0.7692307692307693
P2|2024_latest|2026YTD,stock_if_reentry_confirmed_and_not_high_risk_else_00631L,26,26,0.6538461538461539,0.34615384615384615,0.0,0.7692307692307693
outside_requested_periods,0050_reference,1,1,0.0,0.0,1.0,1.0
outside_requested_periods,00631L_always_baseline,1,1,0.0,1.0,0.0,1.0
outside_requested_periods,always_stock_incumbent_reentry_baseline,1,1,1.0,0.0,0.0,1.0
outside_requested_periods,stock_if_31_high_confidence_bonus_and_state_clean_else_00631L,1,1,1.0,0.0,0.0,1.0
outside_requested_periods,stock_if_high_confidence_else_00631L,1,1,1.0,0.0,0.0,1.0
outside_requested_periods,stock_if_incumbent_still_valid_else_00631L_or_best_confirmed_challenger,1,1,1.0,0.0,0.0,1.0
outside_requested_periods,stock_if_reentry_confirmed_and_not_high_risk_else_00631L,1,1,1.0,0.0,0.0,1.0
