scenario,counterfactual_id,date,incumbent,counterfactual_target,NAV_open,NAV_before_transition,NAV_close,net_daily_return,gross_same_asset_return,transition_type,transition_cost,stock_etf_cost_split,execution_status,episode_id,variant
exact_episode_counterfactual,EP5_C1_actual,2023-07-17,,,1.0,1.0,1.0,0.0,0.0,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-18,,2388,1.0,1.0,0.997575,-0.0024250000000000105,0.0,no_position_to_stock,0.002425,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-19,2388,2388,0.997575,1.0175264632989918,1.0175264632989918,0.019999963209775373,0.019999963209775595,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-20,2388,2388,1.0175264632989918,1.077380975532661,1.077380975532661,0.058823543556411284,0.058823543556411284,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-21,2388,2388,1.077380975532661,1.1851191097869356,1.1851191097869356,0.10000003406502356,0.10000003406502356,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-24,2388,2388,1.1851191097869356,1.2050706342542745,1.2050706342542745,0.016835037341458303,0.016835037341458303,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-25,2388,3515,1.2050706342542745,1.1372354265979834,1.1283081284991892,-0.06369959035852513,-0.056291478464471134,stock_to_stock,0.00892729809879417,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-26,3515,3515,1.1283081284991892,1.0826781324200994,1.0826781324200994,-0.04044107715485856,-0.04044107715485867,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-27,3515,3515,1.0826781324200994,1.0702334927055186,1.0702334927055186,-0.011494311505824362,-0.01149431150582425,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-28,3515,3515,1.0702334927055186,1.0889003823691819,1.0889003823691819,0.017441885150196512,0.017441885150196512,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-07-31,3515,3515,1.0889003823691819,1.0494925663309664,1.0494925663309664,-0.03619046946468474,-0.03619046946468474,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-01,3515,6531,1.0494925663309664,1.0266775333373175,1.0186181147006195,-0.029418456710259777,-0.021739108713661914,stock_to_stock,0.008059418636697943,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-02,6531,6531,1.0186181147006195,0.9171515722938157,0.9171515722938157,-0.09961195559203817,-0.09961195559203817,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-04,6531,6531,0.9171515722938157,0.9039741365173879,0.9039741365173879,-0.014367784098620495,-0.014367784098620495,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-07,6531,6531,0.9039741365173879,0.9382354864142362,0.9382354864142362,0.03790080768111581,0.03790080768111581,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-08,6531,8210,0.9382354864142362,0.9250580506378082,0.9177963449403014,-0.021784660428960545,-0.014044912995978986,stock_to_stock,0.007261705697506796,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-09,8210,8210,0.9177963449403014,0.995059814085925,0.995059814085925,0.08418367492044143,0.08418367492044143,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-10,8210,8210,0.995059814085925,0.8967244354793393,0.8967244354793393,-0.09882358549160974,-0.09882358549160974,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-11,8210,8210,0.8967244354793393,0.8990657753259381,0.8990657753259381,0.0026109914640022325,0.0026109914640022325,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-14,8210,8210,0.8990657753259381,0.8592633708298268,0.8592633708298268,-0.044270848238752825,-0.044270848238752825,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-15,8210,2353,0.8592633708298268,0.9435507849360332,0.9361439112742853,0.08947261463061285,0.09809264186928668,stock_to_stock,0.007406873661747861,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-16,2353,2353,0.9361439112742853,0.9525675456539539,0.9525675456539539,0.017543920525330936,0.017543920525330936,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-17,2353,2353,0.9525675456539539,0.9740445560217231,0.9740445560217231,0.022546443520732096,0.022546443520732096,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-18,2353,2353,0.9740445560217231,0.9449874816718028,0.9449874816718028,-0.029831360557670772,-0.029831360557670772,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-21,2353,2353,0.9449874816718028,0.958884428057421,0.958884428057421,0.01470595817950171,0.01470595817950171,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-22,2353,3583,0.958884428057421,0.9500408576599035,0.9425830369272733,-0.01700037111163888,-0.00922276985500059,stock_to_stock,0.007457820732630243,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-23,3583,3583,0.9425830369272733,0.9503091506576126,0.9503091506576126,0.008196745992295362,0.008196745992295362,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-24,3583,3583,0.9503091506576126,0.9309939267184475,0.9309939267184475,-0.020325200410623134,-0.020325200410623134,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-25,3583,3583,0.9309939267184475,0.8730482549009531,0.8730482549009531,-0.062240655018814595,-0.062240655018814595,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-28,3583,3583,0.8730482549009531,0.8382808035011101,0.8382808035011101,-0.03982305812384601,-0.03982305812384601,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-29,3583,1519,0.8382808035011101,0.8305546897707713,0.8240348354560707,-0.01699426729747433,-0.009216617746786615,stock_to_stock,0.006519854314700554,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-30,1519,1519,0.8240348354560707,0.8354401617121223,0.8354401617121223,0.013840830223808664,0.013840830223808664,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-08-31,1519,1519,0.8354401617121223,0.8539737966936936,0.8539737966936936,0.022184275823643684,0.022184275823643684,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-01,1519,1519,0.8539737966936936,0.8340144892019451,0.8340144892019451,-0.023372271572060344,-0.023372271572060344,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-04,1519,1519,0.8340144892019451,0.8553994692038708,0.8553994692038708,0.02564101736696278,0.02564101736696278,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-05,1519,9958,0.8553994692038708,0.8240348354560709,0.8175661619977408,-0.04422881772576015,-0.03666665093560473,stock_to_stock,0.006468673458330157,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-06,9958,9958,0.8175661619977408,0.8225210832624011,0.8225210832624011,0.006060575272040181,0.006060575272040181,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-07,9958,6274,0.8225210832624011,0.8200435834477238,0.8136062413176591,-0.01083843578742405,-0.0030120806202933448,stock_to_stock,0.006437342130064631,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-08,6274,6274,0.8136062413176591,0.7774460192619068,0.7774460192619068,-0.04444437643102361,-0.04444437643102361,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-11,6274,6274,0.7774460192619068,0.7021121237073642,0.7021121237073642,-0.09689919774245326,-0.09689919774245326,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-12,6274,2436,0.7021121237073642,0.7051254755453437,0.6995902405623127,-0.0035918524405121888,0.004291838491647271,stock_to_stock,0.005535234983030948,stock_only_EP05+10bp_per_side,executed_exact_official_close,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-13,2436,2436,0.6995902405623127,0.6882609788286406,0.6882609788286406,-0.016194139192916568,-0.016194139192916568,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-14,2436,2436,0.6882609788286406,0.7033667130312193,0.7033667130312193,0.02194768360729582,0.02194768360729582,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-15,2436,2436,0.7033667130312193,0.698646161363348,0.698646161363348,-0.0067113663191817885,-0.0067113663191817885,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-18,2436,2436,0.698646161363348,0.69581384592993,0.69581384592993,-0.004054005575427455,-0.004054005575427455,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-19,2436,2436,0.69581384592993,0.681652035253268,0.681652035253268,-0.02035287276834119,-0.02035287276834108,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-20,2436,2436,0.681652035253268,0.6684345372851426,0.6684345372851426,-0.019390388768096956,-0.019390388768096956,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-21,2436,2436,0.6684345372851426,0.6495521360223474,0.6495521360223474,-0.02824869184570611,-0.02824869184570622,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-22,2436,2436,0.6495521360223474,0.6504961763030501,0.6504961763030501,0.0014533710665378674,0.0014533710665378674,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-25,2436,2436,0.6504961763030501,0.6448315454362141,0.6448315454362141,-0.008708169353169204,-0.008708169353169315,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-26,2436,2436,0.6448315454362141,0.6325580099122675,0.6325580099122675,-0.019033708277475525,-0.019033708277475525,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-27,2436,2436,0.6325580099122675,0.6391667978145922,0.6391667978145922,0.010447718310042875,0.010447718310042875,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-09-28,2436,2436,0.6391667978145922,0.6372786004984008,0.6372786004984008,-0.0029541542562089296,-0.0029541542562089296,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-10-02,2436,2436,0.6372786004984008,0.6514403333385388,0.6514403333385388,0.022222200508635437,0.022222200508635437,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-10-03,2436,2436,0.6514403333385388,0.670322617846548,0.670322617846548,0.028985439712091887,0.028985439712091887,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-10-04,2436,2436,0.670322617846548,0.6693785386475833,0.6693785386475833,-0.0014083952619674545,-0.0014083952619674545,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
exact_episode_counterfactual,EP5_C1_actual,2023-10-05,2436,2436,0.6693785386475833,0.6740991681519787,0.6740991681519787,0.007052257029233289,0.007052257029233289,hold_same,0.0,stock_only_EP05+10bp_per_side,hold,5,C1_actual
