counterfactual_id,peak_date,trough_date,peak_NAV,trough_NAV,MDD,held_target_at_trough,action_at_trough,controller_state_at_trough,exact_NAV_delta_vs_unit_start
EP11_C0_targets_during_episode,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP11_C1_actual,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP11_hold_pre_episode_incumbent,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP13_C0_targets_during_episode,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP13_C1_actual,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP13_hold_pre_episode_incumbent,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP15_C0_targets_during_episode,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP15_C1_actual,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP15_hold_pre_episode_incumbent,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP18_C0_targets_during_episode,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP18_C1_actual,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP18_forced_exit_no_position,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP18_hold_pre_episode_incumbent,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP5_C0_targets_during_episode,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP5_C1_actual,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP5_hold_pre_episode_incumbent,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP7_C0_targets_during_episode,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP7_C1_actual,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
EP7_hold_pre_episode_incumbent,2023-07-24,2023-10-27,1.2050706342542745,0.5172229548237813,-0.5707944911097673,3548,hold_same,ordinary_market,-0.48277704517621867
