snapshot_date,variant,ticker,name,market,scope_type,active_for_layer1_source_scope,selection_bucket,traded_value_5d,traded_value_20d,traded_value_60d,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,rank_improvement_5d_vs_60d,top300_5d_count_last4w,buffer_candidate_rank_251_300,buffer_included_by_2in4,buffer_included_by_20d60d,pure_5d_burst_watchlist_only,listing_status,liquidity_flag,is_ky_name_proxy,instrument_type_source_quality,market_cap_rank_source_quality,event_ledger_source_quality,diagnostic_only,not_live_rule,forward_returns_live_rule_usage
2026-07-09,top250_core_conditional_buffer50,2449,京元電子,TWSE,active_layer1_source_scope,True,core,59708416670.0,233323830010.0,751344387250.0,18.0,23.0,22.0,4.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,1303,南亞,TWSE,active_layer1_source_scope,True,core,59683536573.0,218394756897.0,514475233370.0,19.0,27.0,34.0,15.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2303,聯電,TWSE,active_layer1_source_scope,True,core,59614375088.0,789989648860.0,2034554995244.0,20.0,6.0,6.0,-14.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6274,台燿,TPEx,active_layer1_source_scope,True,core,56594298015.0,207613855225.0,520514511519.0,21.0,28.0,33.0,12.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3042,晶技,TWSE,active_layer1_source_scope,True,core,55429080708.0,168763281918.0,317732694918.0,22.0,33.0,55.0,33.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2317,鴻海,TWSE,active_layer1_source_scope,True,core,53787013701.0,303487617137.0,1319880722890.0,23.0,15.0,11.0,-12.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6770,力積電,TWSE,active_layer1_source_scope,True,core,51701522652.0,344193119401.0,930564821657.0,24.0,14.0,18.0,-6.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3017,奇鋐,TWSE,active_layer1_source_scope,True,core,50973584908.0,200483867006.0,783304368344.0,25.0,29.0,20.0,-5.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,8299,群聯,TPEx,active_layer1_source_scope,True,core,49197379395.0,252550159130.0,1133637866569.0,26.0,21.0,13.0,-13.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3443,創意,TWSE,active_layer1_source_scope,True,core,47841797660.0,228260810040.0,689577841920.0,27.0,26.0,24.0,-3.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3661,世芯-KY,TWSE,active_layer1_source_scope,True,core,44615028443.0,173146319663.0,605972956762.0,28.0,32.0,28.0,0.0,4.0,False,False,False,False,listed,True,True,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2337,旺宏,TWSE,active_layer1_source_scope,True,core,42671465355.0,299780349331.0,1322012888006.0,29.0,16.0,10.0,-19.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6669,緯穎,TWSE,active_layer1_source_scope,True,core,42589986550.0,181023935295.0,676040128065.0,30.0,30.0,25.0,-5.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6239,力成,TWSE,active_layer1_source_scope,True,core,42271767661.0,256937280948.0,521414898152.0,31.0,19.0,32.0,1.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3105,穩懋,TPEx,active_layer1_source_scope,True,core,41827228759.0,229391592707.0,916209433768.0,32.0,24.0,19.0,-13.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2345,智邦,TWSE,active_layer1_source_scope,True,core,40465561361.0,176761725233.0,632855463166.0,33.0,31.0,26.0,-7.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3008,大立光,TWSE,active_layer1_source_scope,True,core,38837765860.0,265665779815.0,564570530465.0,34.0,18.0,30.0,-4.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,5483,中美晶,TPEx,active_layer1_source_scope,True,core,38315198419.0,114129423065.0,233416131756.0,35.0,47.0,73.0,38.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2484,希華,TWSE,active_layer1_source_scope,True,core,37489138863.0,87426515492.0,132360929687.0,36.0,66.0,135.0,99.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6147,頎邦,TPEx,active_layer1_source_scope,True,core,35112277410.0,149795381726.0,595140806229.0,37.0,35.0,29.0,-8.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2313,華通,TWSE,active_layer1_source_scope,True,core,34487883700.0,228269733400.0,1046008070556.0,38.0,25.0,15.0,-23.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2368,金像電,TWSE,active_layer1_source_scope,True,core,33525249435.0,141574648380.0,481926706290.0,39.0,37.0,36.0,-3.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,8150,南茂,TWSE,active_layer1_source_scope,True,core,32563814005.0,127248663516.0,296348325334.0,40.0,43.0,60.0,20.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2382,廣達,TWSE,active_layer1_source_scope,True,core,31479306516.0,137945712325.0,690757746469.0,41.0,38.0,23.0,-18.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6446,藥華藥,TWSE,active_layer1_source_scope,True,core,28948513305.0,77933412763.0,176473395962.0,42.0,74.0,104.0,62.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,8261,富鼎,TWSE,active_layer1_source_scope,True,core,28944733549.0,83475775746.0,133012547995.0,43.0,68.0,133.0,90.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2360,致茂,TWSE,active_layer1_source_scope,True,core,28769063550.0,104857544435.0,462220728635.0,44.0,52.0,39.0,-5.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3665,貿聯-KY,TWSE,active_layer1_source_scope,True,core,27722031815.0,130362325425.0,435850188737.0,45.0,41.0,41.0,-4.0,4.0,False,False,False,False,listed,True,True,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,1326,台化,TWSE,active_layer1_source_scope,True,core,27218030162.0,60509522706.0,123466934008.0,46.0,89.0,143.0,97.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3374,精材,TPEx,active_layer1_source_scope,True,core,26881343885.0,78564086483.0,242772782351.0,47.0,73.0,70.0,23.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3231,緯創,TWSE,active_layer1_source_scope,True,core,26531144286.0,119331484732.0,513492546314.0,48.0,45.0,35.0,-13.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2059,川湖,TWSE,active_layer1_source_scope,True,core,26465123505.0,91453135675.0,238836635500.0,49.0,63.0,71.0,22.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6271,同欣電,TWSE,active_layer1_source_scope,True,core,26022994965.0,93504352722.0,160424753225.0,50.0,62.0,116.0,66.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,5371,中光電,TPEx,active_layer1_source_scope,True,core,25523644814.0,43606884021.0,59421003175.0,51.0,122.0,235.0,184.0,3.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6223,旺矽,TPEx,active_layer1_source_scope,True,core,25191802360.0,129535727545.0,472089456910.0,52.0,42.0,38.0,-14.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,8358,金居,TPEx,active_layer1_source_scope,True,core,25136508281.0,112774158755.0,422102097476.0,53.0,48.0,44.0,-9.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,1301,台塑,TWSE,active_layer1_source_scope,True,core,24931831143.0,73437156243.0,125540031194.0,54.0,77.0,141.0,87.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3211,順達,TPEx,active_layer1_source_scope,True,core,24870355170.0,59761257196.0,246831449231.0,55.0,92.0,68.0,13.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,5289,宜鼎,TPEx,active_layer1_source_scope,True,core,24274615605.0,121896869245.0,432488302348.0,56.0,44.0,43.0,-13.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2379,瑞昱,TWSE,active_layer1_source_scope,True,core,23621131622.0,97969599899.0,222673529470.0,57.0,56.0,78.0,21.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6173,信昌電,TPEx,active_layer1_source_scope,True,core,23248574248.0,61746551003.0,94600512015.0,58.0,87.0,179.0,121.0,3.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,5274,信驊,TPEx,active_layer1_source_scope,True,core,22745810560.0,93976956657.0,331371072862.0,59.0,61.0,54.0,-5.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3081,聯亞,TPEx,active_layer1_source_scope,True,core,22731105120.0,101311743940.0,433773439515.0,60.0,53.0,42.0,-18.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,5347,世界,TPEx,active_layer1_source_scope,True,core,21627303075.0,130795885211.0,418957102433.0,61.0,40.0,45.0,-16.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2492,華新科,TWSE,active_layer1_source_scope,True,core,21102885335.0,117727320263.0,230774855911.0,62.0,46.0,76.0,14.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,1717,長興,TWSE,active_layer1_source_scope,True,core,20920500719.0,33201844492.0,192528084270.0,63.0,160.0,94.0,31.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6139,亞翔,TWSE,active_layer1_source_scope,True,core,20147355245.0,98855540999.0,255297285493.0,64.0,55.0,63.0,-1.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,7769,鴻勁,TWSE,active_layer1_source_scope,True,core,20096591715.0,96833049108.0,372403162357.0,65.0,58.0,49.0,-16.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6515,穎崴,TWSE,active_layer1_source_scope,True,core,19926641535.0,75659577290.0,230628035050.0,66.0,76.0,77.0,11.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,1409,新纖,TWSE,active_layer1_source_scope,True,core,19023838158.0,30498456207.0,43567392570.0,67.0,175.0,284.0,217.0,3.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2301,光寶科,TWSE,active_layer1_source_scope,True,core,19023074566.0,111612293230.0,457821200736.0,68.0,49.0,40.0,-28.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2472,立隆電,TWSE,active_layer1_source_scope,True,core,18641069973.0,105761674134.0,198460952677.0,69.0,51.0,91.0,22.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2412,中華電,TWSE,active_layer1_source_scope,True,core,18631483584.0,48657651772.0,128083252915.0,70.0,108.0,138.0,68.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3532,台勝科,TWSE,active_layer1_source_scope,True,core,17936508179.0,36149675069.0,71212264724.0,71.0,149.0,210.0,139.0,2.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3167,大量,TWSE,active_layer1_source_scope,True,core,17711320980.0,39867460026.0,116175536646.0,72.0,133.0,154.0,82.0,3.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3363,上詮,TPEx,active_layer1_source_scope,True,core,17699549277.0,46041155687.0,171033509579.0,73.0,119.0,110.0,37.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2882,國泰金,TWSE,active_layer1_source_scope,True,core,17354160096.0,95311718922.0,234465697161.0,74.0,60.0,72.0,-2.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2891,中信金,TWSE,active_layer1_source_scope,True,core,17286506478.0,71131898626.0,206106674946.0,75.0,78.0,88.0,13.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,4991,環宇-KY,TPEx,active_layer1_source_scope,True,core,17154732258.0,41252667306.0,142061398744.0,76.0,130.0,128.0,52.0,3.0,False,False,False,False,listed,True,True,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2375,凱美,TWSE,active_layer1_source_scope,True,core,16849428074.0,79756640305.0,134510394068.0,77.0,71.0,131.0,54.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,2356,英業達,TWSE,active_layer1_source_scope,True,core,16726655233.0,50941401449.0,248446817592.0,78.0,105.0,67.0,-11.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6442,光聖,TWSE,active_layer1_source_scope,True,core,16687032130.0,66530367290.0,314538381330.0,79.0,82.0,56.0,-23.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,3006,晶豪科,TWSE,active_layer1_source_scope,True,core,16472020421.0,60351091373.0,280290433143.0,80.0,90.0,61.0,-19.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
2026-07-09,top250_core_conditional_buffer50,6257,矽格,TWSE,active_layer1_source_scope,True,core,16247600668.0,56836169119.0,176508909141.0,81.0,97.0,103.0,22.0,4.0,False,False,False,False,listed,True,False,proxy_partial_no_full_pit_master,blocked_or_proxy_not_used_primary,partial_blocked_no_full_delivery_disposition_master,True,True,False
