signal_date,next_signal_date,selected_ticker,selected_asset_type,state_reason,score_variant,route_support_weighted_score,entry_date,exit_date,entry_price,exit_price,gross_interval_return,transition_action,transition_cost_rate,net_interval_return_after_transition_cost,official_unadjusted_ohlc_ready,benchmark_adjusted_path_ready,adjusted_close_ready,source_quality,cash_condition_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-09,2015-01-16,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-01-09,2015-01-16,0.8713600039482117,0.881820023059845,0.012004245161859606,hold_same_state_no_trade,0.0,0.012004245161859606,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-01-16,2015-01-23,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-01-16,2015-01-23,0.881820023059845,0.8500000238418579,-0.03608445985108644,hold_same_state_no_trade,0.0,-0.03608445985108644,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-01-23,2015-01-30,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-01-23,2015-01-30,0.8500000238418579,0.8554499745368958,0.006411706520200955,hold_same_state_no_trade,0.0,0.006411706520200955,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-06,2603,stock,c2_consensus_trigger_route_support_top1_stock_exception,route_support,0.6966148551220627,2015-02-02,2015-02-09,21.6,22.4,0.0370370370370369,00631L_to_stock_exception,0.00385,0.033187037037036904,True,True,False,official_unadjusted_ohlcv_twse_stock_day,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-13,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-02-06,2015-02-13,0.8495500087738037,0.8445500135421753,-0.005885463103985078,stock_exception_to_00631L_base,0.00585,-0.011735463103985079,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-02-13,2015-02-26,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-02-13,2015-02-26,0.8445500135421753,0.8336399793624878,-0.01291816234059262,hold_same_state_no_trade,0.0,-0.01291816234059262,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-02-26,2015-03-06,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-02-26,2015-03-06,0.8336399793624878,0.836359977722168,0.0032627974029750817,hold_same_state_no_trade,0.0,0.0032627974029750817,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-03-06,2015-03-13,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-03-06,2015-03-13,0.836359977722168,0.8395500183105469,0.003814195649422425,hold_same_state_no_trade,0.0,0.003814195649422425,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-03-13,2015-03-20,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-03-13,2015-03-20,0.8395500183105469,0.8263599872589111,-0.015710834094409876,hold_same_state_no_trade,0.0,-0.015710834094409876,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
2015-03-20,2015-03-27,00631L,etf,default_00631L_base_no_c2_consensus_trigger,route_support,,2015-03-20,2015-03-27,0.8263599872589111,0.8436400294303894,0.02091103446186593,hold_same_state_no_trade,0.0,0.02091103446186593,True,True,True,benchmark_features_adjusted_close_exact_reference,blocked_no_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
