signal_date,entry_date,exit_date,ticker,entry_adjusted_close_ready,exit_adjusted_close_ready,adjusted_close_interval_ready,entry_adjusted_source,exit_adjusted_source,unadjusted_ohlc_comparator_ready,unadjusted_source_quality,blocked_reason,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-30,2015-02-02,2015-02-09,2603,True,True,True,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\2603_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\2603_TW.csv,True,official_unadjusted_ohlcv_twse_stock_day,,True,False,False,False,False,False,False,False,True,False
2015-04-30,2015-05-04,2015-05-11,2316,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2015-05-15,2015-05-18,2015-05-25,3008,True,True,True,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\3008_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\3008_TW.csv,True,official_unadjusted_ohlcv_twse_stock_day,,True,False,False,False,False,False,False,False,True,False
2015-10-08,2015-10-12,2015-10-19,6143,False,False,False,,,True,official_unadjusted_ohlcv_tpex_trading_stock,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2015-10-16,2015-10-19,2015-10-26,8433,False,False,False,,,True,official_unadjusted_ohlcv_tpex_trading_stock,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2016-02-26,2016-03-01,2016-03-07,3324,False,False,False,,,True,official_unadjusted_ohlcv_tpex_trading_stock,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2017-02-03,2017-02-06,2017-02-13,3346,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2017-05-12,2017-05-15,2017-05-22,1569,False,False,False,,,True,official_unadjusted_ohlcv_tpex_trading_stock,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2017-08-25,2017-08-28,2017-09-04,2603,True,True,True,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\2603_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\2603_TW.csv,True,official_unadjusted_ohlcv_twse_stock_day,,True,False,False,False,False,False,False,False,True,False
2017-10-27,2017-10-30,2017-11-06,6121,False,False,False,,,True,official_unadjusted_ohlcv_tpex_trading_stock,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
