source,source_type,tickers_checked,price_points_loaded,status,ticker
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_dynamic_candidate_pool_data_materialization_20260706\stock_features.csv,stock_features,20.0,11036,attempted,
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2316_TW.csv,cache_csv,,1061,attempted,2316
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool_top3_themes\2316_TW.csv,cache_csv,,1061,attempted,2316
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\radar_core_pool_v1_selected_themes\2316_TW.csv,cache_csv,,973,attempted,2316
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\2603_TW.csv,cache_csv,,1562,attempted,2603
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\2603_TW.csv,cache_csv,,2834,attempted,2603
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_triad_v1_corrected\2603_TW.csv,cache_csv,,1562,attempted,2603
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\radar_core_pool_v1_selected_themes\2603_TW.csv,cache_csv,,1562,attempted,2603
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\3008_TW.csv,cache_csv,,2834,attempted,3008
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3090_TW.csv,cache_csv,,1549,attempted,3090
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\radar_core_pool_v1_selected_themes\3090_TW.csv,cache_csv,,973,attempted,3090
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3260_TWO.csv,cache_csv,,1061,attempted,3260
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool_top3_themes\3260_TWO.csv,cache_csv,,1061,attempted,3260
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\radar_core_pool_v1_selected_themes\3260_TWO.csv,cache_csv,,973,attempted,3260
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3324_TWO.csv,cache_csv,,1549,attempted,3324
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\radar_core_pool_v1_selected_themes\3324_TWO.csv,cache_csv,,973,attempted,3324
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\sector_dynamic_pool\3661_TW.csv,cache_csv,,1549,attempted,3661
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\3661_TW.csv,cache_csv,,2834,attempted,3661
C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\radar_core_pool_v1_selected_themes\3661_TW.csv,cache_csv,,973,attempted,3661
