signal_date,state_start_date,state_end_date,holding_ticker,holding_asset_type,state_reason,c2_market_health_gate,raw_consensus4_exception_active,exception_allowed_by_c2,transition_action,previous_ticker,adjusted_entry_price,adjusted_exit_price,adjusted_interval_return,adjusted_path_ready,unadjusted_entry_price,unadjusted_exit_price,unadjusted_interval_return,unadjusted_comparator_ready,transition_cost_rate,net_adjusted_interval_return_after_transition_cost,net_unadjusted_interval_return_after_transition_cost,net_equity_after_cost_adjusted_path,net_equity_after_cost_unadjusted_comparator,adjusted_source_quality,unadjusted_source_quality,blocked_reason,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,0050_above_ma60_flag,0050_return_20d,0050_return_40d,diagnostic_notional_twd,sell_fee_twd,buy_fee_twd,securities_transaction_tax_twd,total_transition_cost_twd,cost_model_status,cost_model_version,gross_equity_adjusted_path,gross_drawdown_adjusted_path,net_drawdown_adjusted_path,cash_condition_status
,2015-01-05,2015-01-12,00631L,etf,initial_default_base_hold_before_first_signal,False,False,False,none_initial_state_already_holding_00631L,,0.8690900206565857,0.875,0.006800192388527693,True,0.8690900206565857,0.875,0.006800192388527693,True,0.0,0.006800192388527693,0.006800192388527693,1.0068001923885277,1.0068001923885277,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,
2015-01-09,2015-01-12,2015-01-19,00631L,etf,consensus4_exception_blocked_by_c2_market_health_gate,False,True,False,hold_same_state_no_trade,00631L,0.875,0.8777300119400024,0.0031200136457170125,True,0.875,0.8777300119400024,0.0031200136457170125,True,0.0,0.0031200136457170125,0.0031200136457170125,1.0099414227272905,1.0099414227272905,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,0.0,0.0,0.0,0.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,1.0099414227272905,0.0,0.0,blocked_no_bear_cash_classifier
2015-01-16,2015-01-19,2015-01-26,00631L,etf,consensus4_exception_blocked_by_c2_market_health_gate,False,True,False,hold_same_state_no_trade,00631L,0.8777300119400024,0.8504499793052673,-0.031080209476305187,True,0.8777300119400024,0.8504499793052673,-0.031080209476305187,True,0.0,-0.031080209476305187,-0.031080209476305187,0.9785522317501286,0.9785522317501286,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,0.0,0.0,0.0,0.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,0.9785522317501286,-0.031080209476305187,-0.031080209476305187,blocked_no_bear_cash_classifier
2015-01-23,2015-01-26,2015-02-02,00631L,etf,consensus4_exception_blocked_by_c2_market_health_gate,False,True,False,hold_same_state_no_trade,00631L,0.8504499793052673,0.8554499745368958,0.005879234938323874,True,0.8504499793052673,0.8554499745368958,0.005879234938323874,True,0.0,0.005879234938323874,0.005879234938323874,0.9843053702200087,0.9843053702200087,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,0.0,0.0,0.0,0.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,0.9843053702200087,-0.025383702391424845,-0.025383702391424845,blocked_no_bear_cash_classifier
2015-01-30,2015-02-02,2015-02-09,2603,stock,c2_gate_allows_consensus4_exception,True,True,True,base_00631L_to_stock_exception,00631L,16.710569381713867,17.32948112487793,0.037037142722457395,True,21.6,22.4,0.03703703703703698,True,0.00385,0.03304454972297588,0.03304444444444443,1.016831297968836,1.016831194342612,local_cache_adjusted_close_bounded_selected_ticker_attempt,official_unadjusted_ohlcv_twse_stock_day,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,1425.0,1425.0,1000.0,3850.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,1.0207612286993284,0.0,0.0,blocked_no_bear_cash_classifier
2015-02-06,2015-02-09,2015-02-24,00631L,etf,hold_00631L_base_no_consensus4_exception,True,False,False,stock_exception_to_base_00631L,2603,0.851360023021698,0.8359100222587585,-0.01814743509814265,True,0.851360023021698,0.8359100222587585,-0.01814743509814265,True,0.00585,-0.023891272602818536,-0.023891272602818536,0.9925379042379848,0.9925378030875232,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,1425.0,1425.0,3000.0,5850.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,1.002237030550807,-0.01814743509814265,-0.023891272602818536,blocked_no_bear_cash_classifier
2015-02-13,2015-02-24,2015-03-02,00631L,etf,hold_00631L_base_no_consensus4_exception,True,False,False,hold_same_state_no_trade,00631L,0.8359100222587585,0.8359100222587585,0.0,True,0.8359100222587585,0.8359100222587585,0.0,True,0.0,0.0,0.0,0.9925379042379848,0.9925378030875232,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,0.0,0.0,0.0,0.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,1.002237030550807,-0.01814743509814265,-0.023891272602818536,blocked_no_bear_cash_classifier
2015-02-26,2015-03-02,2015-03-09,00631L,etf,hold_00631L_base_no_consensus4_exception,True,False,False,hold_same_state_no_trade,00631L,0.8359100222587585,0.8395500183105469,0.004354530936179657,True,0.8359100222587585,0.8395500183105469,0.004354530936179657,True,0.0,0.004354530936179657,0.004354530936179657,0.99685994124732,0.9968598396563956,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,0.0,0.0,0.0,0.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,1.0066013027057255,-0.01387192772951007,-0.019640776952292605,blocked_no_bear_cash_classifier
2015-03-06,2015-03-09,2015-03-16,00631L,etf,hold_00631L_base_no_consensus4_exception,True,False,False,hold_same_state_no_trade,00631L,0.8395500183105469,0.842270016670227,0.0032398288373023387,True,0.8395500183105469,0.842270016670227,0.0032398288373023387,True,0.0,0.0032398288373023387,0.0032398288373023387,1.0000895968317247,1.000089494911663,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,0.0,0.0,0.0,0.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,1.0098625186338976,-0.010677041563694645,-0.016464580870547252,blocked_no_bear_cash_classifier
2015-03-13,2015-03-16,2015-03-23,00631L,etf,hold_00631L_base_no_consensus4_exception,True,False,False,hold_same_state_no_trade,00631L,0.842270016670227,0.8263599872589111,-0.018889464300550052,True,0.842270016670227,0.8263599872589111,-0.018889464300550052,True,0.0,-0.018889464300550052,-0.018889464300550052,0.9811984400950203,0.981198340100174,benchmark_features_adjusted_close_exact_reference,benchmark_features_adjusted_close_exact_reference,,True,False,False,False,False,False,False,False,True,False,,,,1000000.0,0.0,0.0,0.0,0.0,applied_local_ep05_TaiwanCostModel_unit_notional_transition_cost,taiwan_standard_fee_tax_v1,0.9907867566396991,-0.02936482226879178,-0.035043038058519604,blocked_no_bear_cash_classifier
