variant_id,period,date,ticker,role,blocker_class,blocked_reason
balanced_no_bear,P1,2018-02-05,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-02-08,6669,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-03-06,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-04-09,6669,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-06-25,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-06-25,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-01-21,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-03-13,6669,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-04-02,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-05-20,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-06-24,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-07-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-08-19,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-09-23,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-11-04,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2020-03-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2020-04-06,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2020-08-17,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-01-18,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-04-01,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-04-26,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-07-19,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-08-16,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-11-15,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2022-01-24,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2022-07-25,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2022-09-12,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2022-10-24,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2022-12-05,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P1,2019-12-23,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P1,2020-03-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P1,2020-07-13,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P1,2020-08-24,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P1,2021-04-12,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P1,2021-05-24,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2023-01-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2023-03-20,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2023-08-21,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2024-01-29,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2024-04-29,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2024-05-27,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2024-07-29,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2024-11-04,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2024-12-02,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2025-05-05,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2026-01-05,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2026-05-04,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P2,2026-06-29,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2023-01-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2023-06-12,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2023-08-21,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2024-02-15,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2024-03-25,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2024-06-24,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2024-08-05,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2024-11-11,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2024-12-23,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
strict_no_bear,P2,2026-05-25,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-02-05,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-02-08,6669,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-03-06,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-04-09,6669,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-06-25,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2018-06-25,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-01-21,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-03-13,6669,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-04-02,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-05-20,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-06-24,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-07-22,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-08-19,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-09-23,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2019-11-04,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2020-03-09,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2020-04-06,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2020-08-17,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-01-18,00631L,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-04-01,6669,sell,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
balanced_no_bear,P1,2021-04-26,00631L,buy,missing_official_raw_execution_close,no accepted official raw close source for exact execution leg
